product_id,branch_id,warehouse_bins,current_stock,opening_stock,reorder_level,safety_stock,max_stock,stock_allocation_pct,products_in_warehouse,warehouses_holding_product,stock_status,warehouse_alignment
P011,HYD001,1,107771,148,46,41,244,16.57,30,6,Overstock,Highly Distributed
P011,AHM001,1,101291,211,66,50,410,15.57,30,6,Overstock,Highly Distributed
P012,DEL001,1,119923,257,98,67,489,18.09,30,6,Overstock,Highly Distributed
P012,PUN001,1,112603,177,68,52,308,16.98,30,6,Overstock,Highly Distributed
P012,KOL001,1,109625,188,67,51,368,16.53,30,6,Overstock,Highly Distributed
P012,CHN001,1,107886,155,54,32,274,16.27,30,6,Overstock,Highly Distributed
P012,AHM001,1,106861,103,32,24,156,16.12,30,6,Overstock,Highly Distributed
P012,HYD001,1,106209,128,42,28,241,16.02,30,6,Overstock,Highly Distributed
P013,HYD001,1,111295,233,86,52,412,17.54,30,6,Overstock,Highly Distributed
P013,DEL001,1,108520,126,48,27,249,17.1,30,6,Overstock,Highly Distributed
P013,CHN001,1,106476,156,56,45,307,16.78,30,6,Overstock,Highly Distributed
P013,KOL001,1,105381,129,44,26,233,16.61,30,6,Overstock,Highly Distributed
P013,PUN001,1,104221,80,25,16,133,16.42,30,6,Overstock,Highly Distributed
P013,AHM001,1,98687,84,25,22,150,15.55,30,6,Overstock,Highly Distributed
P014,CHN001,1,114302,157,60,40,303,17.27,30,6,Overstock,Highly Distributed
P014,PUN001,1,113386,87,33,20,164,17.14,30,6,Overstock,Highly Distributed
P014,DEL001,1,111321,203,72,44,384,16.82,30,6,Overstock,Highly Distributed
P014,HYD001,1,111315,200,71,50,377,16.82,30,6,Overstock,Highly Distributed
P014,KOL001,1,105994,268,106,60,519,16.02,30,6,Overstock,Highly Distributed
P014,AHM001,1,105345,108,32,27,171,15.92,30,6,Overstock,Highly Distributed
P015,CHN001,1,113851,239,91,57,370,18.0,30,6,Overstock,Highly Distributed
P015,HYD001,1,110035,149,56,43,226,17.39,30,6,Overstock,Highly Distributed
P015,PUN001,1,106048,134,43,34,210,16.76,30,6,Overstock,Highly Distributed
P015,AHM001,1,105135,85,28,24,131,16.62,30,6,Overstock,Highly Distributed
P015,DEL001,1,100967,223,75,60,387,15.96,30,6,Overstock,Highly Distributed
P015,KOL001,1,96547,292,116,81,508,15.26,30,6,Overstock,Highly Distributed
P016,CHN001,1,112003,180,71,45,309,17.67,30,6,Overstock,Highly Distributed
P016,AHM001,1,110893,95,33,25,164,17.49,30,6,Overstock,Highly Distributed
P016,HYD001,1,106040,103,35,24,177,16.73,30,6,Overstock,Highly Distributed
P016,DEL001,1,104189,242,84,66,434,16.43,30,6,Overstock,Highly Distributed
P016,PUN001,1,103006,217,74,47,371,16.25,30,6,Overstock,Highly Distributed
P016,KOL001,1,97829,148,49,32,277,15.43,30,6,Overstock,Highly Distributed
P017,HYD001,1,117058,88,26,23,172,17.76,30,6,Overstock,Highly Distributed
P017,DEL001,1,112971,243,93,72,479,17.14,30,6,Overstock,Highly Distributed
P017,AHM001,1,109921,276,99,82,542,16.68,30,6,Overstock,Highly Distributed
P017,KOL001,1,108003,208,72,56,344,16.39,30,6,Overstock,Highly Distributed
P017,CHN001,1,106266,178,59,45,300,16.12,30,6,Overstock,Highly Distributed
P017,PUN001,1,104847,206,63,56,331,15.91,30,6,Overstock,Highly Distributed
P018,DEL001,1,114627,282,106,74,508,17.62,30,6,Overstock,Highly Distributed
P018,CHN001,1,113318,283,98,74,564,17.42,30,6,Overstock,Highly Distributed
P018,HYD001,1,112953,210,78,58,322,17.37,30,6,Overstock,Highly Distributed
P018,PUN001,1,111530,155,55,41,293,17.15,30,6,Overstock,Highly Distributed
P018,AHM001,1,101420,262,89,64,438,15.59,30,6,Overstock,Highly Distributed
P018,KOL001,1,96607,161,59,42,284,14.85,30,6,Overstock,Highly Distributed
P019,DEL001,1,118200,125,37,27,208,19.0,30,6,Overstock,Highly Distributed
P019,PUN001,1,109388,116,36,27,207,17.58,30,6,Overstock,Highly Distributed
P019,AHM001,1,105387,217,85,46,378,16.94,30,6,Overstock,Highly Distributed
P019,CHN001,1,100413,287,86,66,566,16.14,30,6,Overstock,Highly Distributed
P019,HYD001,1,100008,209,81,49,350,16.07,30,6,Overstock,Highly Distributed
P019,KOL001,1,88853,92,30,22,141,14.28,30,6,Overstock,Highly Distributed
P020,CHN001,1,113260,300,105,84,454,18.11,30,6,Overstock,Highly Distributed
P020,DEL001,1,104360,91,31,24,140,16.69,30,6,Overstock,Highly Distributed
P020,PUN001,1,102734,80,24,16,140,16.43,30,6,Overstock,Highly Distributed
P020,AHM001,1,102706,142,54,28,270,16.43,30,6,Overstock,Highly Distributed
P020,HYD001,1,102636,161,64,46,273,16.41,30,6,Overstock,Highly Distributed
P020,KOL001,1,99570,182,61,53,355,15.92,30,6,Overstock,Highly Distributed
P021,DEL001,1,115902,152,59,40,257,18.38,30,6,Overstock,Highly Distributed
P021,AHM001,1,108168,293,110,60,554,17.15,30,6,Overstock,Highly Distributed
P021,PUN001,1,105385,159,59,32,287,16.71,30,6,Overstock,Highly Distributed
P021,CHN001,1,100867,189,71,40,319,15.99,30,6,Overstock,Highly Distributed
P021,KOL001,1,100829,280,102,69,485,15.99,30,6,Overstock,Highly Distributed
P021,HYD001,1,99466,153,56,36,263,15.77,30,6,Overstock,Highly Distributed
P022,HYD001,1,112997,140,46,33,226,17.46,30,6,Overstock,Highly Distributed
P022,PUN001,1,111353,299,119,60,487,17.2,30,6,Overstock,Highly Distributed
P022,DEL001,1,110752,187,68,41,315,17.11,30,6,Overstock,Highly Distributed
P022,CHN001,1,109061,138,44,31,227,16.85,30,6,Overstock,Highly Distributed
P022,AHM001,1,103495,156,54,37,254,15.99,30,6,Overstock,Highly Distributed
P022,KOL001,1,99690,265,105,65,513,15.4,30,6,Overstock,Highly Distributed
P023,AHM001,1,114558,238,90,50,434,17.32,30,6,Overstock,Highly Distributed
P023,DEL001,1,113718,186,73,49,313,17.19,30,6,Overstock,Highly Distributed
P023,KOL001,1,111851,141,49,30,273,16.91,30,6,Overstock,Highly Distributed
P023,PUN001,1,108328,115,40,26,198,16.38,30,6,Overstock,Highly Distributed
P023,CHN001,1,107267,149,53,40,231,16.22,30,6,Overstock,Highly Distributed
P023,HYD001,1,105798,82,31,16,134,15.99,30,6,Overstock,Highly Distributed
P024,DEL001,1,116412,280,99,56,469,17.74,30,6,Overstock,Highly Distributed
P024,KOL001,1,112198,155,58,38,242,17.1,30,6,Overstock,Highly Distributed
P024,PUN001,1,110555,128,41,31,232,16.85,30,6,Overstock,Highly Distributed
P024,AHM001,1,107810,268,104,58,425,16.43,30,6,Overstock,Highly Distributed
P024,CHN001,1,107215,119,44,27,204,16.34,30,6,Overstock,Highly Distributed
P024,HYD001,1,101998,273,86,66,415,15.54,30,6,Overstock,Highly Distributed
P025,HYD001,1,113613,83,26,21,133,17.43,30,6,Overstock,Highly Distributed
P025,KOL001,1,110579,290,113,84,499,16.97,30,6,Overstock,Highly Distributed
P025,PUN001,1,110083,191,68,45,300,16.89,30,6,Overstock,Highly Distributed
P025,CHN001,1,110058,300,112,85,564,16.89,30,6,Overstock,Highly Distributed
P025,DEL001,1,109936,180,54,49,310,16.87,30,6,Overstock,Highly Distributed
P025,AHM001,1,97512,165,64,44,328,14.96,30,6,Overstock,Highly Distributed
P026,CHN001,1,108895,113,36,33,181,17.25,30,6,Overstock,Highly Distributed
P026,HYD001,1,108348,203,75,54,314,17.16,30,6,Overstock,Highly Distributed
P026,PUN001,1,105190,112,36,33,189,16.66,30,6,Overstock,Highly Distributed
P026,AHM001,1,103793,263,89,65,445,16.44,30,6,Overstock,Highly Distributed
P026,DEL001,1,103678,96,28,22,186,16.42,30,6,Overstock,Highly Distributed
P026,KOL001,1,101412,240,74,59,445,16.06,30,6,Overstock,Highly Distributed
P027,PUN001,1,112683,214,70,58,376,17.86,30,6,Overstock,Highly Distributed
P027,AHM001,1,108337,151,51,33,294,17.17,30,6,Overstock,Highly Distributed
P027,DEL001,1,106775,98,31,26,193,16.92,30,6,Overstock,Highly Distributed
P027,HYD001,1,104746,123,46,29,211,16.6,30,6,Overstock,Highly Distributed
P027,KOL001,1,100477,210,79,54,385,15.92,30,6,Overstock,Highly Distributed
P027,CHN001,1,97973,84,33,19,133,15.53,30,6,Overstock,Highly Distributed
P028,DEL001,1,106744,207,81,58,353,17.1,30,6,Overstock,Highly Distributed
P028,PUN001,1,105401,279,100,56,522,16.88,30,6,Overstock,Highly Distributed
P028,KOL001,1,104851,254,76,75,437,16.8,30,6,Overstock,Highly Distributed
P028,CHN001,1,103464,120,43,29,198,16.57,30,6,Overstock,Highly Distributed
P028,HYD001,1,102248,129,47,37,199,16.38,30,6,Overstock,Highly Distributed
P028,AHM001,1,101538,212,78,57,368,16.27,30,6,Overstock,Highly Distributed
P029,HYD001,1,112739,192,76,55,324,17.75,30,6,Overstock,Highly Distributed
P029,PUN001,1,109429,115,40,28,225,17.23,30,6,Overstock,Highly Distributed
P029,DEL001,1,108622,98,33,27,174,17.11,30,6,Overstock,Highly Distributed
P029,KOL001,1,105010,150,57,40,299,16.54,30,6,Overstock,Highly Distributed
P029,CHN001,1,101572,97,33,27,173,16.0,30,6,Overstock,Highly Distributed
P029,AHM001,1,97606,140,49,40,267,15.37,30,6,Overstock,Highly Distributed
P030,PUN001,1,112388,147,52,35,283,17.77,30,6,Overstock,Highly Distributed
P030,CHN001,1,105447,125,46,28,246,16.68,30,6,Overstock,Highly Distributed
P030,HYD001,1,104611,162,53,40,268,16.54,30,6,Overstock,Highly Distributed
P030,KOL001,1,103465,199,73,43,365,16.36,30,6,Overstock,Highly Distributed
P030,AHM001,1,103248,134,46,40,231,16.33,30,6,Overstock,Highly Distributed
P030,DEL001,1,103131,184,64,53,336,16.31,30,6,Overstock,Highly Distributed
