product_id,branch_id,opening_stock,reorder_level,safety_stock,max_stock,current_stock,warehouse_bin,branch_name,city,state,region,warehouse_type,warehouse_capacity,service_center_available,manager_id,total_employees,avg_monthly_revenue,monthly_operational_cost,market_demand_index,stock_utilisation_pct,stock_vs_reorder,stock_vs_safety,stock_status
P004,CHN001,171,58,41,339,103984,A15,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,,Yes,7922,81,4567780,2739000,8,30673.746312684365,103926,103943,Overstock
P004,HYD001,193,62,49,363,109943,D18,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,,No,4390,57,3102455,1887000,7,30287.32782369146,109881,109894,Overstock
P004,KOL001,115,44,33,187,110042,B06,Kolkata East Depot,Kolkata,West Bengal,East,Branch,,No,5981,49,2894770,1743000,6,58845.989304812836,109998,110009,Overstock
P004,AHM001,273,104,77,430,99909,C08,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,,Yes,4772,63,3245890,2018000,7,23234.6511627907,99805,99832,Overstock
P005,DEL001,242,94,63,463,110862,E03,Delhi Central,Delhi,Delhi,North,Central,,Yes,9593,92,5234890,3189000,9,23944.27645788337,110768,110799,Overstock
P005,PUN001,262,89,76,436,108488,B10,Pune Distribution,Pune,Maharashtra,West,Regional,,Yes,6114,74,4389120,2654000,8,24882.56880733945,108399,108412,Overstock
P005,CHN001,172,68,40,336,114267,E05,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,,Yes,7922,81,4567780,2739000,8,34008.03571428572,114199,114227,Overstock
P005,HYD001,178,62,51,341,112865,C13,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,,No,4390,57,3102455,1887000,7,33098.24046920821,112803,112814,Overstock
P005,KOL001,215,83,43,357,104202,B19,Kolkata East Depot,Kolkata,West Bengal,East,Branch,,No,5981,49,2894770,1743000,6,29188.235294117647,104119,104159,Overstock
P005,AHM001,106,37,29,175,108136,B06,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,,Yes,4772,63,3245890,2018000,7,61791.99999999999,108099,108107,Overstock
P006,DEL001,131,43,26,234,99358,B09,Delhi Central,Delhi,Delhi,North,Central,,Yes,9593,92,5234890,3189000,9,42460.68376068376,99315,99332,Overstock
P006,PUN001,210,69,43,356,111016,F02,Pune Distribution,Pune,Maharashtra,West,Regional,,Yes,6114,74,4389120,2654000,8,31184.26966292135,110947,110973,Overstock
P006,CHN001,119,41,31,181,110681,D03,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,,Yes,7922,81,4567780,2739000,8,61149.723756906074,110640,110650,Overstock
P006,HYD001,275,84,62,472,109564,F19,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,,No,4390,57,3102455,1887000,7,23212.711864406778,109480,109502,Overstock
P006,KOL001,105,33,28,181,109176,B13,Kolkata East Depot,Kolkata,West Bengal,East,Branch,,No,5981,49,2894770,1743000,6,60318.2320441989,109143,109148,Overstock
P006,AHM001,170,62,43,291,107359,A01,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,,Yes,4772,63,3245890,2018000,7,36893.127147766325,107297,107316,Overstock
P007,DEL001,205,79,59,383,119439,C04,Delhi Central,Delhi,Delhi,North,Central,,Yes,9593,92,5234890,3189000,9,31185.117493472586,119360,119380,Overstock
P007,PUN001,231,72,58,459,110464,C08,Pune Distribution,Pune,Maharashtra,West,Regional,,Yes,6114,74,4389120,2654000,8,24066.230936819175,110392,110406,Overstock
P007,CHN001,230,77,46,434,108692,E17,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,,Yes,7922,81,4567780,2739000,8,25044.239631336404,108615,108646,Overstock
P007,HYD001,298,93,61,548,112543,C16,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,,No,4390,57,3102455,1887000,7,20537.043795620437,112450,112482,Overstock
P007,KOL001,273,93,62,438,99463,C03,Kolkata East Depot,Kolkata,West Bengal,East,Branch,,No,5981,49,2894770,1743000,6,22708.447488584476,99370,99401,Overstock
P007,AHM001,146,50,38,267,106222,C13,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,,Yes,4772,63,3245890,2018000,7,39783.520599250936,106172,106184,Overstock
P008,DEL001,298,116,69,572,106667,C16,Delhi Central,Delhi,Delhi,North,Central,,Yes,9593,92,5234890,3189000,9,18648.076923076922,106551,106598,Overstock
P008,PUN001,86,33,17,147,99151,D12,Pune Distribution,Pune,Maharashtra,West,Regional,,Yes,6114,74,4389120,2654000,8,67449.65986394558,99118,99134,Overstock
P008,CHN001,265,104,75,477,108381,A08,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,,Yes,7922,81,4567780,2739000,8,22721.383647798742,108277,108306,Overstock
P008,HYD001,270,93,75,467,101753,A08,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,,No,4390,57,3102455,1887000,7,21788.65096359743,101660,101678,Overstock
P008,KOL001,135,43,30,262,99461,D04,Kolkata East Depot,Kolkata,West Bengal,East,Branch,,No,5981,49,2894770,1743000,6,37962.21374045801,99418,99431,Overstock
P008,AHM001,259,85,57,430,109281,D10,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,,Yes,4772,63,3245890,2018000,7,25414.18604651163,109196,109224,Overstock
P009,DEL001,147,57,32,261,102816,D10,Delhi Central,Delhi,Delhi,North,Central,,Yes,9593,92,5234890,3189000,9,39393.10344827586,102759,102784,Overstock
P009,PUN001,186,56,37,345,111320,F09,Pune Distribution,Pune,Maharashtra,West,Regional,,Yes,6114,74,4389120,2654000,8,32266.666666666668,111264,111283,Overstock
P009,CHN001,226,89,53,387,111456,D11,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,,Yes,7922,81,4567780,2739000,8,28800.0,111367,111403,Overstock
P009,HYD001,282,101,82,436,100071,D03,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,,No,4390,57,3102455,1887000,7,22952.06422018349,99970,99989,Overstock
P009,KOL001,104,35,25,201,110547,E10,Kolkata East Depot,Kolkata,West Bengal,East,Branch,,No,5981,49,2894770,1743000,6,54998.50746268656,110512,110522,Overstock
P009,AHM001,183,61,44,333,95731,B15,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,,Yes,4772,63,3245890,2018000,7,28748.048048048047,95670,95687,Overstock
P010,DEL001,133,43,37,220,106895,D11,Delhi Central,Delhi,Delhi,North,Central,,Yes,9593,92,5234890,3189000,9,48588.63636363636,106852,106858,Overstock
P010,PUN001,159,48,45,267,114565,D20,Pune Distribution,Pune,Maharashtra,West,Regional,,Yes,6114,74,4389120,2654000,8,42908.23970037453,114517,114520,Overstock
P010,CHN001,120,44,29,191,113425,B09,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,,Yes,7922,81,4567780,2739000,8,59384.8167539267,113381,113396,Overstock
P010,HYD001,171,62,46,307,110225,F12,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,,No,4390,57,3102455,1887000,7,35903.90879478828,110163,110179,Overstock
P010,KOL001,179,61,46,294,100989,A13,Kolkata East Depot,Kolkata,West Bengal,East,Branch,,No,5981,49,2894770,1743000,6,34350.0,100928,100943,Overstock
P010,AHM001,128,43,27,245,115149,C09,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,,Yes,4772,63,3245890,2018000,7,46999.59183673469,115106,115122,Overstock
P011,DEL001,243,85,64,369,112300,B01,Delhi Central,Delhi,Delhi,North,Central,,Yes,9593,92,5234890,3189000,9,30433.60433604336,112215,112236,Overstock
P011,PUN001,86,31,20,138,108691,F06,Pune Distribution,Pune,Maharashtra,West,Regional,,Yes,6114,74,4389120,2654000,8,78761.59420289854,108660,108671,Overstock
P011,CHN001,155,50,32,233,110667,E15,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,,Yes,7922,81,4567780,2739000,8,47496.56652360515,110617,110635,Overstock
P011,HYD001,148,46,41,244,107771,B01,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,,No,4390,57,3102455,1887000,7,44168.44262295082,107725,107730,Overstock
P011,KOL001,300,113,68,582,109669,B08,Kolkata East Depot,Kolkata,West Bengal,East,Branch,,No,5981,49,2894770,1743000,6,18843.470790378007,109556,109601,Overstock
P011,AHM001,211,66,50,410,101291,D13,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,,Yes,4772,63,3245890,2018000,7,24705.121951219513,101225,101241,Overstock
P012,DEL001,257,98,67,489,119923,D13,Delhi Central,Delhi,Delhi,North,Central,,Yes,9593,92,5234890,3189000,9,24524.130879345605,119825,119856,Overstock
P012,PUN001,177,68,52,308,112603,B05,Pune Distribution,Pune,Maharashtra,West,Regional,,Yes,6114,74,4389120,2654000,8,36559.41558441558,112535,112551,Overstock
P012,CHN001,155,54,32,274,107886,A16,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,,Yes,7922,81,4567780,2739000,8,39374.45255474453,107832,107854,Overstock
P012,HYD001,128,42,28,241,106209,F04,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,,No,4390,57,3102455,1887000,7,44070.124481327795,106167,106181,Overstock
P012,KOL001,188,67,51,368,109625,F17,Kolkata East Depot,Kolkata,West Bengal,East,Branch,,No,5981,49,2894770,1743000,6,29789.402173913044,109558,109574,Overstock
P012,AHM001,103,32,24,156,106861,F11,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,,Yes,4772,63,3245890,2018000,7,68500.64102564103,106829,106837,Overstock
P013,DEL001,126,48,27,249,108520,E18,Delhi Central,Delhi,Delhi,North,Central,,Yes,9593,92,5234890,3189000,9,43582.329317269076,108472,108493,Overstock
P013,PUN001,80,25,16,133,104221,F04,Pune Distribution,Pune,Maharashtra,West,Regional,,Yes,6114,74,4389120,2654000,8,78361.65413533835,104196,104205,Overstock
P013,CHN001,156,56,45,307,106476,D08,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,,Yes,7922,81,4567780,2739000,8,34682.73615635179,106420,106431,Overstock
P013,HYD001,233,86,52,412,111295,D06,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,,No,4390,57,3102455,1887000,7,27013.349514563106,111209,111243,Overstock
P013,KOL001,129,44,26,233,105381,F03,Kolkata East Depot,Kolkata,West Bengal,East,Branch,,No,5981,49,2894770,1743000,6,45227.89699570815,105337,105355,Overstock
P013,AHM001,84,25,22,150,98687,E04,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,,Yes,4772,63,3245890,2018000,7,65791.33333333333,98662,98665,Overstock
P014,DEL001,203,72,44,384,111321,B15,Delhi Central,Delhi,Delhi,North,Central,,Yes,9593,92,5234890,3189000,9,28989.84375,111249,111277,Overstock
P014,PUN001,87,33,20,164,113386,E17,Pune Distribution,Pune,Maharashtra,West,Regional,,Yes,6114,74,4389120,2654000,8,69137.80487804877,113353,113366,Overstock
P014,CHN001,157,60,40,303,114302,F14,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,,Yes,7922,81,4567780,2739000,8,37723.43234323432,114242,114262,Overstock
P014,HYD001,200,71,50,377,111315,C17,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,,No,4390,57,3102455,1887000,7,29526.52519893899,111244,111265,Overstock
P014,KOL001,268,106,60,519,105994,D06,Kolkata East Depot,Kolkata,West Bengal,East,Branch,,No,5981,49,2894770,1743000,6,20422.736030828517,105888,105934,Overstock
P014,AHM001,108,32,27,171,105345,E07,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,,Yes,4772,63,3245890,2018000,7,61605.26315789474,105313,105318,Overstock
P015,DEL001,223,75,60,387,100967,E12,Delhi Central,Delhi,Delhi,North,Central,,Yes,9593,92,5234890,3189000,9,26089.66408268734,100892,100907,Overstock
P015,PUN001,134,43,34,210,106048,A13,Pune Distribution,Pune,Maharashtra,West,Regional,,Yes,6114,74,4389120,2654000,8,50499.04761904762,106005,106014,Overstock
P015,CHN001,239,91,57,370,113851,C20,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,,Yes,7922,81,4567780,2739000,8,30770.540540540544,113760,113794,Overstock
P015,HYD001,149,56,43,226,110035,A16,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,,No,4390,57,3102455,1887000,7,48688.05309734513,109979,109992,Overstock
P015,KOL001,292,116,81,508,96547,B18,Kolkata East Depot,Kolkata,West Bengal,East,Branch,,No,5981,49,2894770,1743000,6,19005.31496062992,96431,96466,Overstock
P015,AHM001,85,28,24,131,105135,A13,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,,Yes,4772,63,3245890,2018000,7,80255.72519083969,105107,105111,Overstock
P016,DEL001,242,84,66,434,104189,A02,Delhi Central,Delhi,Delhi,North,Central,,Yes,9593,92,5234890,3189000,9,24006.68202764977,104105,104123,Overstock
P016,PUN001,217,74,47,371,103006,A07,Pune Distribution,Pune,Maharashtra,West,Regional,,Yes,6114,74,4389120,2654000,8,27764.420485175204,102932,102959,Overstock
P016,CHN001,180,71,45,309,112003,C19,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,,Yes,7922,81,4567780,2739000,8,36246.925566343045,111932,111958,Overstock
P016,HYD001,103,35,24,177,106040,A01,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,,No,4390,57,3102455,1887000,7,59909.60451977401,106005,106016,Overstock
P016,KOL001,148,49,32,277,97829,D04,Kolkata East Depot,Kolkata,West Bengal,East,Branch,,No,5981,49,2894770,1743000,6,35317.3285198556,97780,97797,Overstock
P016,AHM001,95,33,25,164,110893,D04,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,,Yes,4772,63,3245890,2018000,7,67617.68292682926,110860,110868,Overstock
P017,DEL001,243,93,72,479,112971,B15,Delhi Central,Delhi,Delhi,North,Central,,Yes,9593,92,5234890,3189000,9,23584.75991649269,112878,112899,Overstock
P017,PUN001,206,63,56,331,104847,F06,Pune Distribution,Pune,Maharashtra,West,Regional,,Yes,6114,74,4389120,2654000,8,31675.830815709967,104784,104791,Overstock
P017,CHN001,178,59,45,300,106266,C15,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,,Yes,7922,81,4567780,2739000,8,35422.0,106207,106221,Overstock
P017,HYD001,88,26,23,172,117058,F05,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,,No,4390,57,3102455,1887000,7,68056.97674418605,117032,117035,Overstock
P017,KOL001,208,72,56,344,108003,B06,Kolkata East Depot,Kolkata,West Bengal,East,Branch,,No,5981,49,2894770,1743000,6,31396.220930232557,107931,107947,Overstock
P017,AHM001,276,99,82,542,109921,E01,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,,Yes,4772,63,3245890,2018000,7,20280.627306273065,109822,109839,Overstock
P018,DEL001,282,106,74,508,114627,D12,Delhi Central,Delhi,Delhi,North,Central,,Yes,9593,92,5234890,3189000,9,22564.370078740158,114521,114553,Overstock
P018,PUN001,155,55,41,293,111530,A10,Pune Distribution,Pune,Maharashtra,West,Regional,,Yes,6114,74,4389120,2654000,8,38064.84641638226,111475,111489,Overstock
P018,CHN001,283,98,74,564,113318,A15,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,,Yes,7922,81,4567780,2739000,8,20091.843971631206,113220,113244,Overstock
P018,HYD001,210,78,58,322,112953,E13,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,,No,4390,57,3102455,1887000,7,35078.57142857143,112875,112895,Overstock
P018,KOL001,161,59,42,284,96607,B03,Kolkata East Depot,Kolkata,West Bengal,East,Branch,,No,5981,49,2894770,1743000,6,34016.54929577465,96548,96565,Overstock
P018,AHM001,262,89,64,438,101420,F08,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,,Yes,4772,63,3245890,2018000,7,23155.25114155251,101331,101356,Overstock
P019,DEL001,125,37,27,208,118200,D07,Delhi Central,Delhi,Delhi,North,Central,,Yes,9593,92,5234890,3189000,9,56826.92307692307,118163,118173,Overstock
P019,PUN001,116,36,27,207,109388,C04,Pune Distribution,Pune,Maharashtra,West,Regional,,Yes,6114,74,4389120,2654000,8,52844.444444444445,109352,109361,Overstock
P019,CHN001,287,86,66,566,100413,D20,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,,Yes,7922,81,4567780,2739000,8,17740.81272084806,100327,100347,Overstock
P019,HYD001,209,81,49,350,100008,D17,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,,No,4390,57,3102455,1887000,7,28573.71428571429,99927,99959,Overstock
P019,KOL001,92,30,22,141,88853,E11,Kolkata East Depot,Kolkata,West Bengal,East,Branch,,No,5981,49,2894770,1743000,6,63016.312056737595,88823,88831,Overstock
P019,AHM001,217,85,46,378,105387,A03,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,,Yes,4772,63,3245890,2018000,7,27880.158730158728,105302,105341,Overstock
P020,DEL001,91,31,24,140,104360,A07,Delhi Central,Delhi,Delhi,North,Central,,Yes,9593,92,5234890,3189000,9,74542.85714285714,104329,104336,Overstock
P020,PUN001,80,24,16,140,102734,E12,Pune Distribution,Pune,Maharashtra,West,Regional,,Yes,6114,74,4389120,2654000,8,73381.42857142857,102710,102718,Overstock
P020,CHN001,300,105,84,454,113260,F01,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,,Yes,7922,81,4567780,2739000,8,24947.13656387665,113155,113176,Overstock
P020,HYD001,161,64,46,273,102636,A15,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,,No,4390,57,3102455,1887000,7,37595.604395604394,102572,102590,Overstock
P020,KOL001,182,61,53,355,99570,D07,Kolkata East Depot,Kolkata,West Bengal,East,Branch,,No,5981,49,2894770,1743000,6,28047.88732394366,99509,99517,Overstock
P020,AHM001,142,54,28,270,102706,F16,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,,Yes,4772,63,3245890,2018000,7,38039.25925925926,102652,102678,Overstock
P021,DEL001,152,59,40,257,115902,F08,Delhi Central,Delhi,Delhi,North,Central,,Yes,9593,92,5234890,3189000,9,45098.05447470817,115843,115862,Overstock
P021,PUN001,159,59,32,287,105385,C11,Pune Distribution,Pune,Maharashtra,West,Regional,,Yes,6114,74,4389120,2654000,8,36719.51219512195,105326,105353,Overstock
P021,CHN001,189,71,40,319,100867,C11,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,,Yes,7922,81,4567780,2739000,8,31619.749216300945,100796,100827,Overstock
P021,HYD001,153,56,36,263,99466,F08,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,,No,4390,57,3102455,1887000,7,37819.77186311787,99410,99430,Overstock
P021,KOL001,280,102,69,485,100829,C14,Kolkata East Depot,Kolkata,West Bengal,East,Branch,,No,5981,49,2894770,1743000,6,20789.484536082473,100727,100760,Overstock
P021,AHM001,293,110,60,554,108168,E10,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,,Yes,4772,63,3245890,2018000,7,19524.90974729242,108058,108108,Overstock
P022,DEL001,187,68,41,315,110752,E20,Delhi Central,Delhi,Delhi,North,Central,,Yes,9593,92,5234890,3189000,9,35159.36507936508,110684,110711,Overstock
P022,PUN001,299,119,60,487,111353,B16,Pune Distribution,Pune,Maharashtra,West,Regional,,Yes,6114,74,4389120,2654000,8,22865.092402464066,111234,111293,Overstock
P022,CHN001,138,44,31,227,109061,A02,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,,Yes,7922,81,4567780,2739000,8,48044.493392070486,109017,109030,Overstock
P022,HYD001,140,46,33,226,112997,F19,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,,No,4390,57,3102455,1887000,7,49998.67256637168,112951,112964,Overstock
P022,KOL001,265,105,65,513,99690,A01,Kolkata East Depot,Kolkata,West Bengal,East,Branch,,No,5981,49,2894770,1743000,6,19432.748538011696,99585,99625,Overstock
P022,AHM001,156,54,37,254,103495,E03,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,,Yes,4772,63,3245890,2018000,7,40746.06299212598,103441,103458,Overstock
P023,DEL001,186,73,49,313,113718,B18,Delhi Central,Delhi,Delhi,North,Central,,Yes,9593,92,5234890,3189000,9,36331.62939297125,113645,113669,Overstock
P023,PUN001,115,40,26,198,108328,A10,Pune Distribution,Pune,Maharashtra,West,Regional,,Yes,6114,74,4389120,2654000,8,54711.11111111111,108288,108302,Overstock
P023,CHN001,149,53,40,231,107267,B12,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,,Yes,7922,81,4567780,2739000,8,46435.930735930735,107214,107227,Overstock
P023,HYD001,82,31,16,134,105798,C14,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,,No,4390,57,3102455,1887000,7,78953.73134328358,105767,105782,Overstock
P023,KOL001,141,49,30,273,111851,D12,Kolkata East Depot,Kolkata,West Bengal,East,Branch,,No,5981,49,2894770,1743000,6,40971.06227106227,111802,111821,Overstock
P023,AHM001,238,90,50,434,114558,B10,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,,Yes,4772,63,3245890,2018000,7,26395.85253456221,114468,114508,Overstock
P024,DEL001,280,99,56,469,116412,A17,Delhi Central,Delhi,Delhi,North,Central,,Yes,9593,92,5234890,3189000,9,24821.32196162047,116313,116356,Overstock
P024,PUN001,128,41,31,232,110555,C02,Pune Distribution,Pune,Maharashtra,West,Regional,,Yes,6114,74,4389120,2654000,8,47653.01724137931,110514,110524,Overstock
P024,CHN001,119,44,27,204,107215,D14,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,,Yes,7922,81,4567780,2739000,8,52556.372549019616,107171,107188,Overstock
P024,HYD001,273,86,66,415,101998,A14,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,,No,4390,57,3102455,1887000,7,24577.831325301206,101912,101932,Overstock
P024,KOL001,155,58,38,242,112198,B18,Kolkata East Depot,Kolkata,West Bengal,East,Branch,,No,5981,49,2894770,1743000,6,46362.80991735537,112140,112160,Overstock
P024,AHM001,268,104,58,425,107810,C07,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,,Yes,4772,63,3245890,2018000,7,25367.05882352941,107706,107752,Overstock
P025,DEL001,180,54,49,310,109936,F11,Delhi Central,Delhi,Delhi,North,Central,,Yes,9593,92,5234890,3189000,9,35463.22580645161,109882,109887,Overstock
P025,PUN001,191,68,45,300,110083,A15,Pune Distribution,Pune,Maharashtra,West,Regional,,Yes,6114,74,4389120,2654000,8,36694.333333333336,110015,110038,Overstock
P025,CHN001,300,112,85,564,110058,B12,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,,Yes,7922,81,4567780,2739000,8,19513.82978723404,109946,109973,Overstock
P025,HYD001,83,26,21,133,113613,B16,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,,No,4390,57,3102455,1887000,7,85423.30827067669,113587,113592,Overstock
P025,KOL001,290,113,84,499,110579,C08,Kolkata East Depot,Kolkata,West Bengal,East,Branch,,No,5981,49,2894770,1743000,6,22160.120240480963,110466,110495,Overstock
P025,AHM001,165,64,44,328,97512,F08,Ahmedabad West Hub,Ahmedabad,Gujarat,West,Service Hub,,Yes,4772,63,3245890,2018000,7,29729.26829268293,97448,97468,Overstock
P026,DEL001,96,28,22,186,103678,C13,Delhi Central,Delhi,Delhi,North,Central,,Yes,9593,92,5234890,3189000,9,55740.86021505376,103650,103656,Overstock
P026,PUN001,112,36,33,189,105190,B09,Pune Distribution,Pune,Maharashtra,West,Regional,,Yes,6114,74,4389120,2654000,8,55656.084656084655,105154,105157,Overstock
P026,CHN001,113,36,33,181,108895,A03,Chennai South Hub,Chennai,Tamil Nadu,South,Regional,,Yes,7922,81,4567780,2739000,8,60162.98342541437,108859,108862,Overstock
P026,HYD001,203,75,54,314,108348,E17,Hyderabad Logistics,Hyderabad,Telangana,South,Branch,,No,4390,57,3102455,1887000,7,34505.732484076434,108273,108294,Overstock
P026,KOL001,240,74,59,445,101412,A06,Kolkata East Depot,Kolkata,West Bengal,East,Branch,,No,5981,49,2894770,1743000,6,22789.213483146068,101338,101353,Overstock
