customer_id,total_orders,total_order_value,average_order_value,first_order_date,last_order_date,activity_days,purchase_behaviour
C0193,44,57786600,1313331.82,2019-01-10,2024-11-30,2151,Highly Frequent
C0355,40,57761570,1444039.25,2019-01-03,2024-12-18,2176,Highly Frequent
C0270,46,57707880,1254519.13,2019-03-27,2024-12-20,2095,Highly Frequent
C0131,39,57656260,1478365.64,2019-02-21,2024-06-14,1940,Highly Frequent
C0455,40,57607900,1440197.5,2019-04-27,2024-11-27,2041,Highly Frequent
C0415,36,57595000,1599861.11,2019-03-13,2024-10-11,2039,Highly Frequent
C0261,40,57586180,1439654.5,2019-05-06,2024-12-06,2041,Highly Frequent
C0149,42,57543220,1370076.67,2019-02-28,2024-12-12,2114,Highly Frequent
C0425,44,57482400,1306418.18,2019-01-17,2024-12-09,2153,Highly Frequent
C0293,42,57398730,1366636.43,2019-01-19,2024-09-25,2076,Highly Frequent
C0128,39,57387360,1471470.77,2019-01-02,2024-12-18,2177,Highly Frequent
C0499,44,57171990,1299363.41,2019-01-18,2024-11-29,2142,Highly Frequent
C0184,35,57050360,1630010.29,2019-03-12,2024-11-28,2088,Highly Frequent
C0306,47,57049240,1213813.62,2019-07-19,2024-12-16,1977,Highly Frequent
C0428,45,56913820,1264751.56,2019-01-25,2024-08-26,2040,Highly Frequent
C0225,51,56839930,1114508.43,2019-03-17,2024-07-17,1949,Highly Frequent
C0209,46,56741580,1233512.61,2019-10-18,2024-11-22,1862,Highly Frequent
C0460,36,56715420,1575428.33,2019-04-06,2024-11-25,2060,Highly Frequent
C0172,42,56707730,1350184.05,2019-04-26,2024-11-27,2042,Highly Frequent
C0377,40,56674980,1416874.5,2019-01-08,2024-12-07,2160,Highly Frequent
C0264,39,56501370,1448753.08,2019-01-02,2024-11-02,2131,Highly Frequent
C0383,43,56328200,1309958.14,2019-02-18,2024-11-19,2101,Highly Frequent
C0429,44,56178520,1276784.55,2019-02-08,2024-10-21,2082,Highly Frequent
C0054,42,56103080,1335787.62,2019-01-31,2024-12-14,2144,Highly Frequent
C0191,31,56028890,1807383.55,2019-02-03,2024-12-12,2139,Highly Frequent
C0469,44,55971040,1272069.09,2019-01-04,2024-12-18,2175,Highly Frequent
C0247,42,55849110,1329740.71,2019-02-14,2024-11-13,2099,Highly Frequent
C0461,42,55770880,1327878.1,2019-02-27,2024-10-31,2073,Highly Frequent
C0236,47,55730670,1185758.94,2019-03-21,2024-10-25,2045,Highly Frequent
C0085,44,55654550,1264876.14,2019-01-01,2024-09-20,2089,Highly Frequent
C0341,38,55626730,1463861.32,2019-03-10,2024-10-07,2038,Highly Frequent
C0406,37,55494220,1499843.78,2019-02-25,2024-10-11,2055,Highly Frequent
C0326,47,55349670,1177652.55,2019-03-14,2024-12-30,2118,Highly Frequent
C0126,39,55322000,1418512.82,2019-03-05,2024-04-05,1858,Highly Frequent
C0340,39,55130110,1413592.56,2019-01-05,2024-12-04,2160,Highly Frequent
C0263,40,55123450,1378086.25,2019-03-06,2024-11-01,2067,Highly Frequent
C0123,37,55075400,1488524.32,2019-01-16,2024-11-04,2119,Highly Frequent
C0319,37,54752580,1479799.46,2019-05-16,2024-12-08,2033,Highly Frequent
C0189,41,54638690,1332650.98,2019-03-03,2024-11-11,2080,Highly Frequent
C0408,39,54619740,1400506.15,2019-07-06,2024-11-02,1946,Highly Frequent
C0314,45,54595560,1213234.67,2019-01-22,2024-09-26,2074,Highly Frequent
C0331,44,54547840,1239723.64,2019-04-12,2024-12-15,2074,Highly Frequent
C0035,46,54533770,1185516.74,2019-01-07,2024-11-12,2136,Highly Frequent
C0413,46,54533070,1185501.52,2019-02-06,2024-11-08,2102,Highly Frequent
C0010,50,54508210,1090164.2,2019-01-23,2024-11-27,2135,Highly Frequent
C0138,41,54457080,1328221.46,2019-01-10,2024-12-25,2176,Highly Frequent
C0258,31,54371200,1753909.68,2019-02-04,2024-10-10,2075,Highly Frequent
C0268,37,54298750,1467533.78,2019-01-21,2024-10-07,2086,Highly Frequent
C0414,44,54269830,1233405.23,2019-02-16,2024-12-31,2145,Highly Frequent
C0161,43,54232700,1261225.58,2019-03-24,2024-11-17,2065,Highly Frequent
C0176,44,54048740,1228380.45,2019-01-14,2024-08-07,2032,Highly Frequent
C0009,34,54041610,1589459.12,2019-04-14,2024-11-04,2031,Highly Frequent
C0055,37,53940970,1457864.05,2019-04-01,2024-12-11,2081,Highly Frequent
C0162,30,53940730,1798024.33,2019-07-05,2024-10-14,1928,Highly Frequent
C0205,39,53896570,1381963.33,2019-01-10,2024-11-15,2136,Highly Frequent
C0486,42,53820770,1281446.9,2019-01-01,2024-10-07,2106,Highly Frequent
C0358,40,53790030,1344750.75,2019-04-17,2024-10-01,1994,Highly Frequent
C0448,37,53741830,1452481.89,2019-03-13,2024-12-11,2100,Highly Frequent
C0039,40,53722520,1343063.0,2019-04-17,2024-11-28,2052,Highly Frequent
C0398,43,53653050,1247745.35,2019-01-15,2024-12-02,2148,Highly Frequent
C0328,40,53610980,1340274.5,2019-01-03,2024-12-05,2163,Highly Frequent
C0381,34,53603960,1576587.06,2019-07-06,2024-12-21,1995,Highly Frequent
C0230,41,53600640,1307332.68,2019-02-19,2024-10-31,2081,Highly Frequent
C0023,37,53343670,1441720.81,2019-01-05,2024-12-27,2183,Highly Frequent
C0171,36,53338800,1481633.33,2019-04-27,2024-12-05,2049,Highly Frequent
C0213,32,53323570,1666361.56,2019-02-26,2024-08-31,2013,Highly Frequent
C0156,36,53295180,1480421.67,2019-01-14,2024-09-17,2073,Highly Frequent
C0175,41,53235590,1298429.02,2019-01-24,2024-11-04,2111,Highly Frequent
C0467,55,53206760,967395.64,2019-01-02,2024-11-06,2135,Highly Frequent
C0235,43,53090300,1234658.14,2019-05-08,2024-09-10,1952,Highly Frequent
C0396,40,52935440,1323386.0,2019-01-14,2024-12-07,2154,Highly Frequent
C0312,40,52920140,1323003.5,2019-04-16,2024-11-17,2042,Highly Frequent
C0464,39,52911390,1356702.31,2019-01-18,2024-09-13,2065,Highly Frequent
C0438,45,52796800,1173262.22,2019-06-17,2024-09-01,1903,Highly Frequent
C0249,40,52709760,1317744.0,2019-01-16,2024-10-01,2085,Highly Frequent
C0390,35,52697070,1505630.57,2019-03-13,2024-11-09,2068,Highly Frequent
C0101,43,52693260,1225424.65,2019-02-26,2024-10-10,2053,Highly Frequent
C0335,43,52685710,1225249.07,2019-01-31,2024-11-03,2103,Highly Frequent
C0001,40,52640600,1316015.0,2019-01-26,2024-12-25,2160,Highly Frequent
C0493,45,52616240,1169249.78,2019-02-18,2024-11-22,2104,Highly Frequent
C0105,46,52573780,1142908.26,2019-03-29,2024-11-26,2069,Highly Frequent
C0379,44,52506820,1193336.82,2019-03-29,2024-12-15,2088,Highly Frequent
C0365,47,52500540,1117032.77,2019-01-04,2024-11-05,2132,Highly Frequent
C0275,47,52499270,1117005.74,2019-06-17,2024-11-09,1972,Highly Frequent
C0485,34,52472400,1543305.88,2019-01-14,2024-10-01,2087,Highly Frequent
C0231,39,52413100,1343925.64,2019-02-15,2024-11-08,2093,Highly Frequent
C0443,43,52360250,1217680.23,2019-03-27,2024-11-18,2063,Highly Frequent
C0259,37,52219040,1411325.41,2019-02-02,2024-12-13,2141,Highly Frequent
C0031,40,52182080,1304552.0,2019-04-11,2024-08-13,1951,Highly Frequent
C0038,41,52105520,1270866.34,2019-01-08,2024-11-29,2152,Highly Frequent
C0498,30,52056060,1735202.0,2019-03-01,2024-08-19,1998,Highly Frequent
C0064,39,52021770,1333891.54,2019-03-21,2024-12-14,2095,Highly Frequent
C0099,52,52019750,1000379.81,2019-01-10,2024-12-26,2177,Highly Frequent
C0260,38,52018150,1368898.68,2019-01-30,2024-09-05,2045,Highly Frequent
C0302,42,51978350,1237579.76,2019-02-05,2024-12-24,2149,Highly Frequent
C0290,46,51960040,1129566.09,2019-03-04,2024-11-15,2083,Highly Frequent
C0333,42,51934490,1236535.48,2019-01-09,2024-12-02,2154,Highly Frequent
C0157,38,51879830,1365258.68,2019-02-15,2024-12-30,2145,Highly Frequent
C0349,36,51806430,1439067.5,2019-01-31,2024-10-19,2088,Highly Frequent
C0453,36,51744150,1437337.5,2019-05-25,2024-12-31,2047,Highly Frequent
C0056,38,51714180,1360899.47,2019-01-08,2024-11-10,2133,Highly Frequent
C0228,36,51601040,1433362.22,2019-03-27,2024-09-10,1994,Highly Frequent
C0407,43,51590180,1199771.63,2019-01-22,2024-12-25,2164,Highly Frequent
C0310,41,51400980,1253682.44,2019-05-30,2024-11-07,1988,Highly Frequent
C0021,47,51375230,1093090.0,2019-01-16,2024-11-01,2116,Highly Frequent
C0124,47,51329600,1092119.15,2019-01-11,2024-12-22,2172,Highly Frequent
C0492,37,51225690,1384478.11,2019-02-04,2024-11-05,2101,Highly Frequent
C0433,38,51222820,1347968.95,2019-09-11,2024-08-13,1798,Highly Frequent
C0227,39,51113410,1310600.26,2019-02-13,2024-10-24,2080,Highly Frequent
C0198,38,51107370,1344930.79,2019-03-27,2024-10-19,2033,Highly Frequent
C0015,38,51005500,1342250.0,2019-02-18,2024-11-16,2098,Highly Frequent
C0301,47,50854440,1082009.36,2019-01-13,2024-12-19,2167,Highly Frequent
C0273,40,50756990,1268924.75,2019-05-04,2024-12-31,2068,Highly Frequent
C0280,47,50723520,1079223.83,2019-01-12,2024-11-05,2124,Highly Frequent
C0286,39,50682130,1299541.79,2019-01-06,2024-12-29,2184,Highly Frequent
C0395,44,50643860,1150996.82,2019-02-21,2024-12-20,2129,Highly Frequent
C0080,46,50588120,1099741.74,2019-02-20,2024-11-03,2083,Highly Frequent
C0030,38,50515670,1329359.74,2019-01-30,2024-09-02,2042,Highly Frequent
C0047,36,50441290,1401146.94,2019-04-06,2024-08-25,1968,Highly Frequent
C0329,36,50414010,1400389.17,2019-01-03,2024-12-26,2184,Highly Frequent
C0274,42,50332620,1198395.71,2019-01-08,2024-06-27,1997,Highly Frequent
C0211,45,50253990,1116755.33,2019-03-06,2024-11-20,2086,Highly Frequent
C0363,37,50237880,1357780.54,2019-02-24,2024-11-07,2083,Highly Frequent
C0251,39,50171060,1286437.44,2019-01-09,2024-07-06,2005,Highly Frequent
C0050,30,50086150,1669538.33,2019-01-11,2024-12-14,2164,Highly Frequent
C0424,38,50065860,1317522.63,2019-03-22,2024-09-23,2012,Highly Frequent
C0173,36,50058960,1390526.67,2019-03-29,2024-11-08,2051,Highly Frequent
C0315,42,50056680,1191825.71,2019-01-09,2024-12-17,2169,Highly Frequent
C0496,41,49977230,1218956.83,2019-02-17,2024-12-27,2140,Highly Frequent
C0088,39,49923700,1280094.87,2019-01-26,2024-12-12,2147,Highly Frequent
C0190,38,49869830,1312363.95,2019-05-15,2024-12-29,2055,Highly Frequent
C0256,34,49845250,1466036.76,2019-01-03,2024-09-19,2086,Highly Frequent
C0439,43,49820310,1158611.86,2019-03-21,2024-12-29,2110,Highly Frequent
C0152,41,49749000,1213390.24,2019-03-10,2024-11-18,2080,Highly Frequent
C0077,38,49739710,1308939.74,2019-02-05,2024-12-16,2141,Highly Frequent
C0436,38,49724270,1308533.42,2019-02-01,2024-12-15,2144,Highly Frequent
C0217,38,49708160,1308109.47,2019-01-19,2024-12-18,2160,Highly Frequent
C0449,37,49669150,1342409.46,2019-06-25,2024-11-19,1974,Highly Frequent
C0093,41,49642790,1210799.76,2019-01-24,2024-12-01,2138,Highly Frequent
C0419,34,49492260,1455654.71,2019-03-05,2024-09-30,2036,Highly Frequent
C0399,42,49461920,1177664.76,2019-01-03,2024-12-25,2183,Highly Frequent
C0410,42,49311570,1174085.0,2019-01-01,2024-11-27,2157,Highly Frequent
C0378,42,49279070,1173311.19,2019-01-19,2024-12-15,2157,Highly Frequent
C0146,33,49274960,1493180.61,2019-01-20,2024-12-31,2172,Highly Frequent
C0232,41,49272940,1201779.02,2019-01-24,2024-12-29,2166,Highly Frequent
C0376,35,49197710,1405648.86,2019-01-31,2024-12-19,2149,Highly Frequent
C0081,40,49127920,1228198.0,2019-01-03,2024-12-23,2181,Highly Frequent
C0004,47,49040570,1043416.38,2019-03-21,2024-12-31,2112,Highly Frequent
C0024,48,49014090,1021126.88,2019-01-22,2024-09-17,2065,Highly Frequent
C0073,36,48992520,1360903.33,2019-03-23,2024-11-12,2061,Highly Frequent
C0327,45,48891270,1086472.67,2019-02-01,2024-12-06,2135,Highly Frequent
C0354,41,48835850,1191118.29,2019-01-06,2024-12-25,2180,Highly Frequent
C0445,30,48822870,1627429.0,2019-04-04,2024-12-28,2095,Highly Frequent
C0450,43,48802430,1134940.23,2019-01-15,2024-09-12,2067,Highly Frequent
C0158,37,48735540,1317176.76,2019-02-25,2024-09-26,2040,Highly Frequent
C0321,42,48683300,1159126.19,2019-01-04,2024-12-22,2179,Highly Frequent
C0401,38,48565440,1278037.89,2019-01-11,2024-10-25,2114,Highly Frequent
C0367,31,48346630,1559568.71,2019-02-28,2024-11-04,2076,Highly Frequent
C0188,45,48293510,1073189.11,2019-01-28,2024-12-27,2160,Highly Frequent
C0364,38,48290310,1270797.63,2019-01-04,2024-11-18,2145,Highly Frequent
C0458,43,48276200,1122702.33,2019-07-09,2024-12-28,1999,Highly Frequent
C0357,32,48125180,1503911.88,2019-01-05,2024-11-17,2143,Highly Frequent
C0457,35,48077820,1373652.0,2019-01-13,2024-11-15,2133,Highly Frequent
C0222,44,48043620,1091900.45,2019-01-30,2024-12-13,2144,Highly Frequent
C0481,40,47983990,1199599.75,2019-01-03,2024-12-31,2189,Highly Frequent
C0086,30,47920240,1597341.33,2019-01-12,2024-11-22,2141,Highly Frequent
C0059,39,47904570,1228322.31,2019-01-21,2024-12-20,2160,Highly Frequent
C0130,41,47762000,1164926.83,2019-02-17,2024-11-16,2099,Highly Frequent
C0409,45,47755320,1061229.33,2019-01-19,2024-10-09,2090,Highly Frequent
C0096,40,47646050,1191151.25,2019-01-02,2024-12-30,2189,Highly Frequent
C0106,42,47644410,1134390.71,2019-03-29,2024-11-12,2055,Highly Frequent
C0426,40,47615070,1190376.75,2019-02-20,2024-12-03,2113,Highly Frequent
C0427,46,47425980,1030999.57,2019-02-05,2024-11-26,2121,Highly Frequent
C0036,39,47362410,1214420.77,2019-03-26,2024-12-23,2099,Highly Frequent
C0397,41,47355040,1155000.98,2019-02-11,2024-12-17,2136,Highly Frequent
C0442,36,47299810,1313883.61,2019-01-28,2024-10-20,2092,Highly Frequent
C0027,44,47252220,1073914.09,2019-03-25,2024-12-26,2103,Highly Frequent
C0066,38,47238780,1243125.79,2019-01-29,2024-10-11,2082,Highly Frequent
C0181,40,47189990,1179749.75,2019-04-13,2024-12-15,2073,Highly Frequent
C0360,34,47187810,1387876.76,2019-05-25,2024-11-17,2003,Highly Frequent
C0278,45,47124980,1047221.78,2019-03-23,2024-12-03,2082,Highly Frequent
C0112,40,47047550,1176188.75,2019-02-27,2024-12-01,2104,Highly Frequent
C0072,30,47027920,1567597.33,2019-06-15,2024-12-23,2018,Highly Frequent
C0051,37,47017080,1270731.89,2019-02-15,2024-11-15,2100,Highly Frequent
C0148,40,46876850,1171921.25,2019-01-28,2024-12-09,2142,Highly Frequent
C0068,42,46858170,1115670.71,2019-03-11,2024-12-06,2097,Highly Frequent
C0245,37,46663320,1261170.81,2019-01-01,2024-11-30,2160,Highly Frequent
C0266,37,46658690,1261045.68,2019-01-22,2024-09-24,2072,Highly Frequent
C0444,35,46629480,1332270.86,2019-02-25,2024-08-06,1989,Highly Frequent
C0017,40,46619950,1165498.75,2019-01-31,2024-12-21,2151,Highly Frequent
C0164,39,46613620,1195221.03,2019-01-11,2024-11-13,2133,Highly Frequent
C0111,39,46609900,1195125.64,2019-04-09,2024-12-16,2078,Highly Frequent
C0074,45,46570120,1034891.56,2019-01-10,2024-12-31,2182,Highly Frequent
C0296,41,46533710,1134968.54,2019-01-02,2024-11-07,2136,Highly Frequent
C0195,33,46367090,1405063.33,2019-02-15,2024-12-28,2143,Highly Frequent
C0018,36,46340880,1287246.67,2019-05-31,2024-12-24,2034,Highly Frequent
C0202,35,46256330,1321609.43,2019-09-19,2024-09-21,1829,Highly Frequent
C0095,31,46147160,1488618.06,2019-01-16,2024-12-26,2171,Highly Frequent
C0361,35,46126450,1317898.57,2019-01-15,2024-09-26,2081,Highly Frequent
C0370,41,45980090,1121465.61,2019-02-18,2024-12-18,2130,Highly Frequent
C0185,39,45894360,1176778.46,2019-03-25,2024-09-16,2002,Highly Frequent
C0472,37,45819430,1238362.97,2019-04-29,2024-11-23,2035,Highly Frequent
C0330,41,45803070,1117148.05,2019-02-12,2024-08-10,2006,Highly Frequent
C0224,40,45785060,1144626.5,2019-01-30,2024-12-14,2145,Highly Frequent
C0463,36,45761800,1271161.11,2019-01-10,2024-08-22,2051,Highly Frequent
C0029,38,45653420,1201405.79,2019-01-16,2024-06-30,1992,Highly Frequent
C0480,37,45569160,1231598.92,2019-01-24,2024-11-24,2131,Highly Frequent
C0147,36,45513830,1264273.06,2019-02-05,2024-12-22,2147,Highly Frequent
C0477,37,45390380,1226767.03,2019-06-12,2024-10-13,1950,Highly Frequent
C0323,40,45380540,1134513.5,2019-01-11,2024-12-22,2172,Highly Frequent
C0033,34,45334540,1333368.82,2019-03-05,2024-12-12,2109,Highly Frequent
C0393,42,45246830,1077305.48,2019-03-27,2024-12-18,2093,Highly Frequent
C0289,40,45171030,1129275.75,2019-02-07,2024-10-29,2091,Highly Frequent
C0052,37,45097920,1218862.7,2019-02-12,2024-12-11,2129,Highly Frequent
C0098,37,45007740,1216425.41,2019-03-14,2024-12-18,2106,Highly Frequent
C0159,36,44984320,1249564.44,2019-02-02,2024-12-26,2154,Highly Frequent
C0404,35,44973650,1284961.43,2019-02-10,2024-12-26,2146,Highly Frequent
