customer_id,customer_type,industry_segment,city,state,region,customer_rating,total_orders,total_revenue,first_purchase_date,last_purchase_date,customer_lifetime_days,customer_lifetime_years,annual_customer_value,estimated_3_year_clv,clv_segment
C0141,Corporate,Rental,Ahmedabad,Gujarat,West,4,40,59888120,2019-04-06,2024-11-15,2050,5.62,10663006.73,31989020.2,High CLV
C0225,Fleet Owner,Logistics,Delhi,Delhi,North,5,51,56839930,2019-03-17,2024-07-17,1949,5.34,10644727.78,31934183.35,High CLV
C0246,Retail,Manufacturing,Delhi,Delhi,North,2,37,61368980,2019-01-26,2024-11-02,2107,5.77,10631076.27,31893228.81,High CLV
C0234,Corporate,Infrastructure,Surat,Gujarat,West,2,33,63256170,2019-01-09,2024-12-26,2178,5.97,10600781.47,31802344.42,High CLV
C0196,Fleet Owner,Rental,Guwahati,Assam,North East,3,54,61286970,2019-01-09,2024-10-28,2119,5.81,10556745.66,31670236.97,High CLV
C0306,Fleet Owner,Manufacturing,Kolkata,West Bengal,East,1,47,57049240,2019-07-19,2024-12-16,1977,5.42,10532611.33,31597833.99,High CLV
C0116,Dealer,Construction,Delhi,Delhi,North,1,40,60134220,2019-01-06,2024-09-25,2089,5.72,10506936.48,31520809.43,High CLV
C0478,Retail,Rental,Delhi,Delhi,North,1,47,61995630,2019-02-04,2024-12-29,2155,5.9,10500419.93,31501259.79,High CLV
C0276,Dealer,Manufacturing,Indore,Madhya Pradesh,Central,3,49,62626530,2019-01-08,2024-12-29,2182,5.98,10476023.58,31428070.74,High CLV
C0219,Government,Manufacturing,Pune,Maharashtra,West,2,48,62317920,2019-01-09,2024-12-21,2173,5.95,10467575.15,31402725.45,High CLV
C0242,Government,Construction,Chennai,Tamil Nadu,South,3,50,60722930,2019-01-30,2024-11-18,2119,5.81,10459589.17,31378767.51,High CLV
C0002,Fleet Owner,Manufacturing,Hyderabad,Telangana,South,2,56,61160690,2019-01-24,2024-11-28,2135,5.85,10456043.02,31368129.06,High CLV
C0237,Dealer,Infrastructure,Coimbatore,Tamil Nadu,South,5,46,59754510,2019-01-28,2024-10-15,2087,5.72,10450597.1,31351791.3,High CLV
C0186,Fleet Owner,Infrastructure,Kolkata,West Bengal,East,3,42,60717650,2019-02-17,2024-12-11,2124,5.82,10434059.44,31302178.32,High CLV
C0063,Retail,Rental,Delhi,Delhi,North,5,43,60573240,2019-02-28,2024-12-19,2121,5.81,10423966.34,31271899.01,High CLV
C0025,Corporate,Infrastructure,Pune,Maharashtra,West,2,44,58809760,2019-01-29,2024-09-21,2062,5.65,10410069.06,31230207.18,Medium CLV
C0160,Retail,Rental,Ahmedabad,Gujarat,West,2,49,59980970,2019-02-19,2024-11-23,2104,5.76,10405443.94,31216331.82,Medium CLV
C0253,Retail,Rental,Pune,Maharashtra,West,2,40,59006480,2019-03-28,2024-11-27,2071,5.67,10399500.34,31198501.01,Medium CLV
C0433,Dealer,Infrastructure,Chandigarh,Punjab,North,3,38,51222820,2019-09-11,2024-08-13,1798,4.93,10398403.39,31195210.18,Medium CLV
C0154,Fleet Owner,Logistics,Delhi,Delhi,North,5,46,61178520,2019-01-29,2024-12-16,2148,5.88,10395791.34,31187374.02,Medium CLV
C0045,Corporate,Rental,Kolkata,West Bengal,East,4,43,60965470,2019-02-02,2024-12-15,2143,5.87,10383759.47,31151278.42,Medium CLV
C0282,Government,Logistics,Kolkata,West Bengal,East,2,51,61527530,2019-01-17,2024-12-24,2168,5.94,10358647.81,31075943.43,Medium CLV
C0071,Corporate,Rental,Jaipur,Rajasthan,North,2,47,60419160,2019-01-24,2024-11-26,2133,5.84,10338956.12,31016868.35,Medium CLV
C0216,Government,Mining,Kolkata,West Bengal,East,1,46,60089830,2019-01-27,2024-11-20,2124,5.82,10326171.35,30978514.05,Medium CLV
C0343,Corporate,Construction,Pune,Maharashtra,West,1,45,59151480,2019-02-28,2024-11-21,2093,5.73,10315475.49,30946426.47,Medium CLV
C0415,Government,Infrastructure,Guwahati,Assam,North East,1,36,57595000,2019-03-13,2024-10-11,2039,5.59,10310041.69,30930125.06,Medium CLV
C0455,Retail,Logistics,Indore,Madhya Pradesh,Central,1,40,57607900,2019-04-27,2024-11-27,2041,5.59,10302245.71,30906737.14,Medium CLV
C0261,Dealer,Manufacturing,Delhi,Delhi,North,5,40,57586180,2019-05-06,2024-12-06,2041,5.59,10298361.44,30895084.32,Medium CLV
C0192,Fleet Owner,Logistics,Patna,Bihar,East,2,43,59390920,2019-01-19,2024-10-25,2106,5.77,10293298.1,30879894.3,Medium CLV
C0284,Corporate,Manufacturing,Kolkata,West Bengal,East,1,45,61309650,2019-01-09,2024-12-23,2175,5.96,10288745.86,30866237.59,Medium CLV
C0016,Government,Rental,Ranchi,Jharkhand,East,4,41,60898100,2019-01-18,2024-12-18,2161,5.92,10285889.17,30857667.52,Medium CLV
C0255,Retail,Infrastructure,Chennai,Tamil Nadu,South,4,49,60102490,2019-01-05,2024-11-11,2137,5.85,10265516.54,30796549.63,Medium CLV
C0408,Government,Infrastructure,Hyderabad,Telangana,South,4,39,54619740,2019-07-06,2024-11-02,1946,5.33,10244709.71,30734129.14,Medium CLV
C0162,Retail,Mining,Kolkata,West Bengal,East,4,30,53940730,2019-07-05,2024-10-14,1928,5.28,10211808.32,30635424.97,Medium CLV
C0369,Government,Manufacturing,Pune,Maharashtra,West,1,46,59977870,2019-01-26,2024-12-13,2148,5.88,10191770.27,30575310.82,Medium CLV
C0488,Government,Construction,Chennai,Tamil Nadu,South,1,40,58528170,2019-03-01,2024-11-26,2097,5.75,10187306.65,30561919.96,Medium CLV
C0428,Retail,Construction,Delhi,Delhi,North,4,45,56913820,2019-01-25,2024-08-26,2040,5.59,10183109.95,30549329.85,Medium CLV
C0257,Corporate,Logistics,Delhi,Delhi,North,1,45,60172930,2019-01-18,2024-12-23,2166,5.93,10139944.34,30419833.03,Medium CLV
C0374,Corporate,Manufacturing,Pune,Maharashtra,West,5,46,58464410,2019-03-07,2024-12-10,2105,5.77,10137534.28,30412602.83,Medium CLV
C0172,Dealer,Manufacturing,Bengaluru,Karnataka,South,1,42,56707730,2019-04-26,2024-11-27,2042,5.59,10136298.46,30408895.37,Medium CLV
C0438,Corporate,Rental,Kolkata,West Bengal,East,2,45,52796800,2019-06-17,2024-09-01,1903,5.21,10126553.86,30379661.59,Medium CLV
C0471,Fleet Owner,Logistics,Ahmedabad,Gujarat,West,5,42,58365420,2019-02-23,2024-11-27,2104,5.76,10125179.8,30375539.4,Medium CLV
C0032,Government,Logistics,Ahmedabad,Gujarat,West,5,45,58165930,2019-01-23,2024-10-25,2102,5.76,10100173.38,30300520.15,Medium CLV
C0293,Dealer,Logistics,Pune,Maharashtra,West,3,42,57398730,2019-01-19,2024-09-25,2076,5.69,10091780.56,30275341.69,Medium CLV
C0026,Fleet Owner,Mining,Jaipur,Rajasthan,North,5,41,60102980,2019-01-09,2024-12-29,2181,5.98,10058499.63,30175498.9,Medium CLV
C0270,Corporate,Manufacturing,Delhi,Delhi,North,2,46,57707880,2019-03-27,2024-12-20,2095,5.74,10054117.52,30162352.55,Medium CLV
C0460,Dealer,Logistics,Coimbatore,Tamil Nadu,South,1,36,56715420,2019-04-06,2024-11-25,2060,5.64,10049091.41,30147274.22,Medium CLV
C0184,Retail,Rental,Chennai,Tamil Nadu,South,3,35,57050360,2019-03-12,2024-11-28,2088,5.72,9972883.81,29918651.44,Medium CLV
C0269,Government,Mining,Chennai,Tamil Nadu,South,1,48,58480890,2019-01-12,2024-11-22,2141,5.87,9969885.5,29909656.49,Medium CLV
C0341,Fleet Owner,Mining,Delhi,Delhi,North,5,38,55626730,2019-03-10,2024-10-07,2038,5.58,9962589.03,29887767.1,Medium CLV
C0236,Corporate,Mining,Mumbai,Maharashtra,West,1,47,55730670,2019-03-21,2024-10-25,2045,5.6,9947038.9,29841116.7,Medium CLV
C0149,Government,Manufacturing,Surat,Gujarat,West,3,42,57543220,2019-02-28,2024-12-12,2114,5.79,9935324.17,29805972.52,Medium CLV
C0318,Corporate,Logistics,Delhi,Delhi,North,3,41,58005460,2019-01-08,2024-11-09,2132,5.84,9930578.28,29791734.85,Medium CLV
C0235,Fleet Owner,Mining,Bhubaneswar,Odisha,East,5,43,53090300,2019-05-08,2024-09-10,1952,5.35,9927233.35,29781700.05,Medium CLV
C0065,Corporate,Mining,Vadodara,Gujarat,West,4,41,59050070,2019-01-01,2024-12-12,2172,5.95,9923239.2,29769717.61,Medium CLV
C0140,Retail,Logistics,Pune,Maharashtra,West,3,44,58201560,2019-01-12,2024-11-24,2143,5.87,9913004.85,29739014.56,Medium CLV
C0166,Fleet Owner,Manufacturing,Ahmedabad,Gujarat,West,2,34,58111030,2019-01-18,2024-12-08,2151,5.89,9860774.5,29582323.5,Medium CLV
C0406,Dealer,Logistics,Pune,Maharashtra,West,3,37,55494220,2019-02-25,2024-10-11,2055,5.63,9856637.62,29569912.85,Medium CLV
C0447,Fleet Owner,Rental,Kolkata,West Bengal,East,2,39,58830780,2019-01-05,2024-12-23,2179,5.97,9854628.13,29563884.4,Medium CLV
C0429,Fleet Owner,Logistics,Ahmedabad,Gujarat,West,3,44,56178520,2019-02-08,2024-10-21,2082,5.7,9848779.92,29546339.77,Medium CLV
C0358,Government,Infrastructure,Pune,Maharashtra,West,4,40,53790030,2019-04-17,2024-10-01,1994,5.46,9846219.13,29538657.4,Medium CLV
C0319,Dealer,Mining,Bengaluru,Karnataka,South,5,37,54752580,2019-05-16,2024-12-08,2033,5.57,9830148.4,29490445.2,Medium CLV
C0461,Corporate,Infrastructure,Delhi,Delhi,North,5,42,55770880,2019-02-27,2024-10-31,2073,5.68,9819764.21,29459292.62,Medium CLV
C0381,Corporate,Mining,Chennai,Tamil Nadu,South,4,34,53603960,2019-07-06,2024-12-21,1995,5.47,9807240.8,29421722.41,Medium CLV
C0193,Dealer,Infrastructure,Vadodara,Gujarat,West,4,44,57786600,2019-01-10,2024-11-30,2151,5.89,9805722.45,29417167.36,Medium CLV
C0109,Retail,Mining,Chennai,Tamil Nadu,South,1,48,57909360,2019-01-14,2024-12-09,2156,5.91,9803764.56,29411293.69,Medium CLV
C0383,Fleet Owner,Infrastructure,Lucknow,Uttar Pradesh,North,5,43,56328200,2019-02-18,2024-11-19,2101,5.76,9785717.75,29357153.26,Medium CLV
C0031,Government,Mining,Kolkata,West Bengal,East,4,40,52182080,2019-04-11,2024-08-13,1951,5.35,9762408.61,29287225.83,Medium CLV
C0425,Dealer,Manufacturing,Chennai,Tamil Nadu,South,3,44,57482400,2019-01-17,2024-12-09,2153,5.9,9745042.27,29235126.8,Medium CLV
C0499,Corporate,Construction,Bhubaneswar,Odisha,East,5,44,57171990,2019-01-18,2024-11-29,2142,5.87,9742192.51,29226577.52,Medium CLV
C0263,Government,Rental,Chennai,Tamil Nadu,South,3,40,55123450,2019-03-06,2024-11-01,2067,5.66,9733942.55,29201827.65,Medium CLV
C0085,Retail,Mining,Chennai,Tamil Nadu,South,4,44,55654550,2019-01-01,2024-09-20,2089,5.72,9724227.26,29172681.79,Medium CLV
C0275,Fleet Owner,Construction,Vadodara,Gujarat,West,5,47,52499270,2019-06-17,2024-11-09,1972,5.4,9717156.97,29151470.92,Medium CLV
C0009,Corporate,Rental,Ahmedabad,Gujarat,West,4,34,54041610,2019-04-14,2024-11-04,2031,5.56,9712056.94,29136170.83,Medium CLV
C0247,Corporate,Logistics,Bhubaneswar,Odisha,East,2,42,55849110,2019-02-14,2024-11-13,2099,5.75,9711731.85,29135195.55,Medium CLV
C0176,Dealer,Logistics,Chennai,Tamil Nadu,South,2,44,54048740,2019-01-14,2024-08-07,2032,5.57,9708558.12,29125674.36,Medium CLV
C0355,Government,Infrastructure,Hyderabad,Telangana,South,4,40,57761570,2019-01-03,2024-12-18,2176,5.96,9688866.29,29066598.87,Medium CLV
C0264,Retail,Infrastructure,Pune,Maharashtra,West,4,39,56501370,2019-01-02,2024-11-02,2131,5.84,9677616.17,29032848.5,Medium CLV
C0213,Fleet Owner,Rental,Mumbai,Maharashtra,West,4,32,53323570,2019-02-26,2024-08-31,2013,5.52,9668704.94,29006114.83,Medium CLV
C0128,Retail,Mining,Ahmedabad,Gujarat,West,1,39,57387360,2019-01-02,2024-12-18,2177,5.96,9621674.97,28865024.9,Medium CLV
C0314,Retail,Logistics,Kolkata,West Bengal,East,1,45,54595560,2019-01-22,2024-09-26,2074,5.68,9608186.79,28824560.37,Medium CLV
C0331,Dealer,Logistics,Delhi,Delhi,North,2,44,54547840,2019-04-12,2024-12-15,2074,5.68,9599788.62,28799365.86,Medium CLV
C0189,Government,Manufacturing,Visakhapatnam,Andhra Pradesh,South,4,41,54638690,2019-03-03,2024-11-11,2080,5.7,9588039.35,28764118.05,Medium CLV
C0161,Dealer,Mining,Ahmedabad,Gujarat,West,4,43,54232700,2019-03-24,2024-11-17,2065,5.66,9585925.18,28757775.54,Medium CLV
C0377,Dealer,Logistics,Nagpur,Maharashtra,West,3,40,56674980,2019-01-08,2024-12-07,2160,5.92,9577022.08,28731066.25,Medium CLV
C0258,Corporate,Mining,Chennai,Tamil Nadu,South,2,31,54371200,2019-02-04,2024-10-10,2075,5.68,9564090.6,28692271.81,Medium CLV
C0191,Corporate,Manufacturing,Visakhapatnam,Andhra Pradesh,South,2,31,56028890,2019-02-03,2024-12-12,2139,5.86,9560797.03,28682391.09,Medium CLV
C0039,Fleet Owner,Rental,Hyderabad,Telangana,South,4,40,53722520,2019-04-17,2024-11-28,2052,5.62,9555906.34,28667719.01,Medium CLV
C0054,Fleet Owner,Manufacturing,Chennai,Tamil Nadu,South,2,42,56103080,2019-01-31,2024-12-14,2144,5.87,9551130.69,28653392.07,Medium CLV
C0326,Government,Mining,Kolkata,West Bengal,East,4,47,55349670,2019-03-14,2024-12-30,2118,5.8,9538540.86,28615622.59,Medium CLV
C0498,Fleet Owner,Construction,Kolkata,West Bengal,East,3,30,52056060,2019-03-01,2024-08-19,1998,5.47,9509740.69,28529222.07,Medium CLV
C0171,Fleet Owner,Construction,Chennai,Tamil Nadu,South,3,36,53338800,2019-04-27,2024-12-05,2049,5.61,9501543.19,28504629.58,Medium CLV
C0268,Government,Mining,Pune,Maharashtra,West,3,37,54298750,2019-01-21,2024-10-07,2086,5.72,9500979.75,28502939.24,Medium CLV
C0123,Corporate,Infrastructure,Kolkata,West Bengal,East,3,37,55075400,2019-01-16,2024-11-04,2119,5.81,9486796.13,28460388.39,Medium CLV
C0413,Fleet Owner,Manufacturing,Chennai,Tamil Nadu,South,1,46,54533070,2019-02-06,2024-11-08,2102,5.76,9469348.5,28408045.5,Medium CLV
C0055,Dealer,Construction,Delhi,Delhi,North,1,37,53940970,2019-04-01,2024-12-11,2081,5.7,9461054.32,28383162.97,Medium CLV
C0312,Government,Construction,Vadodara,Gujarat,West,4,40,52920140,2019-04-16,2024-11-17,2042,5.59,9459280.66,28377841.97,Medium CLV
