customer_id,total_orders,first_purchase_date,last_purchase_date,total_revenue,retention_status,is_retained,customer_lifetime_days
C0276,49,2019-01-08,2024-12-29,62626530,Retained Customer,True,2182
C0201,49,2019-02-01,2024-12-13,66387120,Retained Customer,True,2142
C0403,49,2019-02-19,2024-12-10,66810710,Retained Customer,True,2121
C0013,49,2019-01-02,2024-10-27,64377720,Retained Customer,True,2125
C0160,49,2019-02-19,2024-11-23,59980970,Retained Customer,True,2104
C0076,49,2019-01-12,2024-12-27,68416560,Retained Customer,True,2176
C0255,49,2019-01-05,2024-11-11,60102490,Retained Customer,True,2137
C0142,48,2019-02-06,2024-12-08,68942040,Retained Customer,True,2132
C0269,48,2019-01-12,2024-11-22,58480890,Retained Customer,True,2141
C0070,48,2019-02-04,2024-12-20,68783440,Retained Customer,True,2146
C0244,48,2019-05-06,2024-12-09,64972160,Retained Customer,True,2044
C0307,48,2019-01-15,2024-11-24,68834490,Retained Customer,True,2140
C0219,48,2019-01-09,2024-12-21,62317920,Retained Customer,True,2173
C0109,48,2019-01-14,2024-12-09,57909360,Retained Customer,True,2156
C0024,48,2019-01-22,2024-09-17,49014090,Retained Customer,True,2065
C0004,47,2019-03-21,2024-12-31,49040570,Retained Customer,True,2112
C0280,47,2019-01-12,2024-11-05,50723520,Retained Customer,True,2124
C0124,47,2019-01-11,2024-12-22,51329600,Retained Customer,True,2172
C0084,47,2019-04-29,2024-12-05,71147780,Retained Customer,True,2047
C0365,47,2019-01-04,2024-11-05,52500540,Retained Customer,True,2132
C0071,47,2019-01-24,2024-11-26,60419160,Retained Customer,True,2133
C0275,47,2019-06-17,2024-11-09,52499270,Retained Customer,True,1972
C0478,47,2019-02-04,2024-12-29,61995630,Retained Customer,True,2155
C0021,47,2019-01-16,2024-11-01,51375230,Retained Customer,True,2116
C0326,47,2019-03-14,2024-12-30,55349670,Retained Customer,True,2118
C0220,47,2019-01-19,2024-11-06,43066280,Retained Customer,True,2118
C0440,47,2019-01-29,2024-10-21,67904760,Retained Customer,True,2092
C0306,47,2019-07-19,2024-12-16,57049240,Retained Customer,True,1977
C0301,47,2019-01-13,2024-12-19,50854440,Retained Customer,True,2167
C0236,47,2019-03-21,2024-10-25,55730670,Retained Customer,True,2045
C0035,46,2019-01-07,2024-11-12,54533770,Retained Customer,True,2136
C0394,46,2019-03-08,2024-11-21,66611310,Retained Customer,True,2085
C0270,46,2019-03-27,2024-12-20,57707880,Retained Customer,True,2095
C0427,46,2019-02-05,2024-11-26,47425980,Retained Customer,True,2121
C0290,46,2019-03-04,2024-11-15,51960040,Retained Customer,True,2083
C0241,46,2019-02-01,2024-10-31,71234710,Retained Customer,True,2099
C0374,46,2019-03-07,2024-12-10,58464410,Retained Customer,True,2105
C0154,46,2019-01-29,2024-12-16,61178520,Retained Customer,True,2148
C0369,46,2019-01-26,2024-12-13,59977870,Retained Customer,True,2148
C0006,46,2019-04-21,2024-09-02,60992880,Retained Customer,True,1961
C0206,46,2019-01-08,2024-12-11,75741580,Retained Customer,True,2164
C0080,46,2019-02-20,2024-11-03,50588120,Retained Customer,True,2083
C0311,46,2019-02-03,2024-09-17,61951490,Retained Customer,True,2053
C0216,46,2019-01-27,2024-11-20,60089830,Retained Customer,True,2124
C0295,46,2019-03-07,2024-10-09,63205470,Retained Customer,True,2043
C0411,46,2019-06-05,2024-12-12,61125740,Retained Customer,True,2017
C0413,46,2019-02-06,2024-11-08,54533070,Retained Customer,True,2102
C0105,46,2019-03-29,2024-11-26,52573780,Retained Customer,True,2069
C0209,46,2019-10-18,2024-11-22,56741580,Retained Customer,True,1862
C0237,46,2019-01-28,2024-10-15,59754510,Retained Customer,True,2087
C0188,45,2019-01-28,2024-12-27,48293510,Retained Customer,True,2160
C0278,45,2019-03-23,2024-12-03,47124980,Retained Customer,True,2082
C0284,45,2019-01-09,2024-12-23,61309650,Retained Customer,True,2175
C0459,45,2019-03-10,2024-12-14,62289100,Retained Customer,True,2106
C0257,45,2019-01-18,2024-12-23,60172930,Retained Customer,True,2166
C0040,45,2019-02-23,2024-12-21,43439870,Retained Customer,True,2128
C0250,45,2019-03-08,2024-12-20,63230590,Retained Customer,True,2114
C0090,45,2019-03-16,2024-10-22,44051020,Retained Customer,True,2047
C0438,45,2019-06-17,2024-09-01,52796800,Retained Customer,True,1903
C0421,45,2019-04-06,2024-09-17,69154590,Retained Customer,True,1991
C0074,45,2019-01-10,2024-12-31,46570120,Retained Customer,True,2182
C0428,45,2019-01-25,2024-08-26,56913820,Retained Customer,True,2040
C0314,45,2019-01-22,2024-09-26,54595560,Retained Customer,True,2074
C0409,45,2019-01-19,2024-10-09,47755320,Retained Customer,True,2090
C0218,45,2019-02-02,2024-10-16,43621310,Retained Customer,True,2083
C0211,45,2019-03-06,2024-11-20,50253990,Retained Customer,True,2086
C0327,45,2019-02-01,2024-12-06,48891270,Retained Customer,True,2135
C0356,45,2019-03-16,2024-12-05,62479450,Retained Customer,True,2091
C0343,45,2019-02-28,2024-11-21,59151480,Retained Customer,True,2093
C0032,45,2019-01-23,2024-10-25,58165930,Retained Customer,True,2102
C0135,45,2019-03-09,2024-08-27,61465530,Retained Customer,True,1998
C0493,45,2019-02-18,2024-11-22,52616240,Retained Customer,True,2104
C0499,44,2019-01-18,2024-11-29,57171990,Retained Customer,True,2142
C0222,44,2019-01-30,2024-12-13,48043620,Retained Customer,True,2144
C0221,44,2019-01-17,2024-09-05,64336800,Retained Customer,True,2058
C0422,44,2019-09-19,2024-11-04,61810690,Retained Customer,True,1873
C0425,44,2019-01-17,2024-12-09,57482400,Retained Customer,True,2153
C0085,44,2019-01-01,2024-09-20,55654550,Retained Customer,True,2089
C0042,44,2019-01-25,2024-10-13,61493750,Retained Customer,True,2088
C0300,44,2019-05-05,2024-11-30,60578170,Retained Customer,True,2036
C0429,44,2019-02-08,2024-10-21,56178520,Retained Customer,True,2082
C0169,44,2019-03-25,2024-10-27,63375830,Retained Customer,True,2043
C0176,44,2019-01-14,2024-08-07,54048740,Retained Customer,True,2032
C0342,44,2019-04-12,2024-10-09,78469470,Retained Customer,True,2007
C0345,44,2019-02-15,2024-11-20,44678620,Retained Customer,True,2105
C0331,44,2019-04-12,2024-12-15,54547840,Retained Customer,True,2074
C0193,44,2019-01-10,2024-11-30,57786600,Retained Customer,True,2151
C0110,44,2019-01-25,2024-06-21,74097790,Retained Customer,True,1974
C0414,44,2019-02-16,2024-12-31,54269830,Retained Customer,True,2145
C0375,44,2019-02-20,2024-11-03,65579710,Retained Customer,True,2083
C0379,44,2019-03-29,2024-12-15,52506820,Retained Customer,True,2088
C0140,44,2019-01-12,2024-11-24,58201560,Retained Customer,True,2143
C0395,44,2019-02-21,2024-12-20,50643860,Retained Customer,True,2129
C0025,44,2019-01-29,2024-09-21,58809760,Retained Customer,True,2062
C0027,44,2019-03-25,2024-12-26,47252220,Retained Customer,True,2103
C0470,44,2019-01-25,2024-09-27,42659850,Retained Customer,True,2072
C0469,44,2019-01-04,2024-12-18,55971040,Retained Customer,True,2175
C0063,43,2019-02-28,2024-12-19,60573240,Retained Customer,True,2121
C0192,43,2019-01-19,2024-10-25,59390920,Retained Customer,True,2106
C0335,43,2019-01-31,2024-11-03,52685710,Retained Customer,True,2103
C0407,43,2019-01-22,2024-12-25,51590180,Retained Customer,True,2164
C0398,43,2019-01-15,2024-12-02,53653050,Retained Customer,True,2148
C0383,43,2019-02-18,2024-11-19,56328200,Retained Customer,True,2101
C0161,43,2019-03-24,2024-11-17,54232700,Retained Customer,True,2065
C0373,43,2019-04-03,2024-09-02,60942770,Retained Customer,True,1979
C0019,43,2019-01-19,2024-12-10,43064130,Retained Customer,True,2152
C0272,43,2019-09-01,2024-12-13,64345280,Retained Customer,True,1930
C0045,43,2019-02-02,2024-12-15,60965470,Retained Customer,True,2143
C0443,43,2019-03-27,2024-11-18,52360250,Retained Customer,True,2063
C0439,43,2019-03-21,2024-12-29,49820310,Retained Customer,True,2110
C0235,43,2019-05-08,2024-09-10,53090300,Retained Customer,True,1952
C0458,43,2019-07-09,2024-12-28,48276200,Retained Customer,True,1999
C0416,43,2019-01-05,2024-10-20,42362580,Retained Customer,True,2115
C0101,43,2019-02-26,2024-10-10,52693260,Retained Customer,True,2053
C0450,43,2019-01-15,2024-09-12,48802430,Retained Customer,True,2067
C0471,42,2019-02-23,2024-11-27,58365420,Retained Customer,True,2104
C0068,42,2019-03-11,2024-12-06,46858170,Retained Customer,True,2097
C0315,42,2019-01-09,2024-12-17,50056680,Retained Customer,True,2169
C0302,42,2019-02-05,2024-12-24,51978350,Retained Customer,True,2149
C0113,42,2019-01-13,2024-12-23,65271430,Retained Customer,True,2171
C0451,42,2019-01-07,2024-07-06,41063830,Retained Customer,True,2007
C0486,42,2019-01-01,2024-10-07,53820770,Retained Customer,True,2106
C0410,42,2019-01-01,2024-11-27,49311570,Retained Customer,True,2157
C0100,42,2019-01-25,2024-11-10,40056040,Retained Customer,True,2116
C0333,42,2019-01-09,2024-12-02,51934490,Retained Customer,True,2154
C0399,42,2019-01-03,2024-12-25,49461920,Retained Customer,True,2183
C0106,42,2019-03-29,2024-11-12,47644410,Retained Customer,True,2055
C0321,42,2019-01-04,2024-12-22,48683300,Retained Customer,True,2179
C0103,42,2019-02-21,2024-08-29,62476630,Retained Customer,True,2016
C0186,42,2019-02-17,2024-12-11,60717650,Retained Customer,True,2124
C0384,42,2019-02-05,2024-09-09,64311810,Retained Customer,True,2043
C0385,42,2019-07-27,2024-09-23,60053350,Retained Customer,True,1885
C0172,42,2019-04-26,2024-11-27,56707730,Retained Customer,True,2042
C0362,42,2019-02-19,2024-10-11,44698950,Retained Customer,True,2061
C0149,42,2019-02-28,2024-12-12,57543220,Retained Customer,True,2114
C0393,42,2019-03-27,2024-12-18,45246830,Retained Customer,True,2093
C0136,42,2019-03-23,2024-11-13,41124050,Retained Customer,True,2062
C0378,42,2019-01-19,2024-12-15,49279070,Retained Customer,True,2157
C0247,42,2019-02-14,2024-11-13,55849110,Retained Customer,True,2099
C0461,42,2019-02-27,2024-10-31,55770880,Retained Customer,True,2073
C0293,42,2019-01-19,2024-09-25,57398730,Retained Customer,True,2076
C0274,42,2019-01-08,2024-06-27,50332620,Retained Customer,True,1997
C0041,42,2019-01-11,2024-06-11,60948700,Retained Customer,True,1978
C0054,42,2019-01-31,2024-12-14,56103080,Retained Customer,True,2144
C0049,42,2019-01-25,2024-12-25,66038070,Retained Customer,True,2161
C0452,42,2019-03-05,2024-12-27,39890320,Retained Customer,True,2124
C0432,41,2019-01-26,2024-10-04,43308880,Retained Customer,True,2078
C0232,41,2019-01-24,2024-12-29,49272940,Retained Customer,True,2166
C0038,41,2019-01-08,2024-11-29,52105520,Retained Customer,True,2152
C0058,41,2019-01-23,2024-12-24,44614910,Retained Customer,True,2162
C0020,41,2019-01-26,2024-10-17,38461450,Retained Customer,True,2091
C0496,41,2019-02-17,2024-12-27,49977230,Retained Customer,True,2140
C0026,41,2019-01-09,2024-12-29,60102980,Retained Customer,True,2181
C0296,41,2019-01-02,2024-11-07,46533710,Retained Customer,True,2136
C0130,41,2019-02-17,2024-11-16,47762000,Retained Customer,True,2099
C0189,41,2019-03-03,2024-11-11,54638690,Retained Customer,True,2080
C0310,41,2019-05-30,2024-11-07,51400980,Retained Customer,True,1988
C0087,41,2019-01-22,2024-12-17,41444460,Retained Customer,True,2156
C0230,41,2019-02-19,2024-10-31,53600640,Retained Customer,True,2081
C0065,41,2019-01-01,2024-12-12,59050070,Retained Customer,True,2172
C0397,41,2019-02-11,2024-12-17,47355040,Retained Customer,True,2136
C0318,41,2019-01-08,2024-11-09,58005460,Retained Customer,True,2132
C0354,41,2019-01-06,2024-12-25,48835850,Retained Customer,True,2180
C0138,41,2019-01-10,2024-12-25,54457080,Retained Customer,True,2176
C0175,41,2019-01-24,2024-11-04,53235590,Retained Customer,True,2111
C0330,41,2019-02-12,2024-08-10,45803070,Retained Customer,True,2006
C0370,41,2019-02-18,2024-12-18,45980090,Retained Customer,True,2130
C0152,41,2019-03-10,2024-11-18,49749000,Retained Customer,True,2080
C0011,41,2019-01-03,2024-11-22,44933810,Retained Customer,True,2150
C0016,41,2019-01-18,2024-12-18,60898100,Retained Customer,True,2161
C0092,41,2019-01-17,2024-07-30,38901670,Retained Customer,True,2021
C0093,41,2019-01-24,2024-12-01,49642790,Retained Customer,True,2138
C0031,40,2019-04-11,2024-08-13,52182080,Retained Customer,True,1951
C0003,40,2019-04-05,2024-10-30,39965740,Retained Customer,True,2035
C0039,40,2019-04-17,2024-11-28,53722520,Retained Customer,True,2052
C0488,40,2019-03-01,2024-11-26,58528170,Retained Customer,True,2097
C0001,40,2019-01-26,2024-12-25,52640600,Retained Customer,True,2160
C0261,40,2019-05-06,2024-12-06,57586180,Retained Customer,True,2041
C0089,40,2019-01-02,2024-11-14,40101850,Retained Customer,True,2143
C0312,40,2019-04-16,2024-11-17,52920140,Retained Customer,True,2042
C0096,40,2019-01-02,2024-12-30,47646050,Retained Customer,True,2189
C0224,40,2019-01-30,2024-12-14,45785060,Retained Customer,True,2145
C0253,40,2019-03-28,2024-11-27,59006480,Retained Customer,True,2071
C0426,40,2019-02-20,2024-12-03,47615070,Retained Customer,True,2113
C0263,40,2019-03-06,2024-11-01,55123450,Retained Customer,True,2067
C0289,40,2019-02-07,2024-10-29,45171030,Retained Customer,True,2091
C0181,40,2019-04-13,2024-12-15,47189990,Retained Customer,True,2073
C0141,40,2019-04-06,2024-11-15,59888120,Retained Customer,True,2050
C0355,40,2019-01-03,2024-12-18,57761570,Retained Customer,True,2176
C0148,40,2019-01-28,2024-12-09,46876850,Retained Customer,True,2142
C0481,40,2019-01-03,2024-12-31,47983990,Retained Customer,True,2189
C0017,40,2019-01-31,2024-12-21,46619950,Retained Customer,True,2151
C0163,40,2019-06-02,2024-08-05,40457330,Retained Customer,True,1891
C0377,40,2019-01-08,2024-12-07,56674980,Retained Customer,True,2160
C0396,40,2019-01-14,2024-12-07,52935440,Retained Customer,True,2154
C0328,40,2019-01-03,2024-12-05,53610980,Retained Customer,True,2163
C0323,40,2019-01-11,2024-12-22,45380540,Retained Customer,True,2172
C0358,40,2019-04-17,2024-10-01,53790030,Retained Customer,True,1994
C0116,40,2019-01-06,2024-09-25,60134220,Retained Customer,True,2089
C0112,40,2019-02-27,2024-12-01,47047550,Retained Customer,True,2104
C0081,40,2019-01-03,2024-12-23,49127920,Retained Customer,True,2181
C0129,40,2019-01-06,2024-12-18,64690070,Retained Customer,True,2173
C0273,40,2019-05-04,2024-12-31,50756990,Retained Customer,True,2068
C0249,40,2019-01-16,2024-10-01,52709760,Retained Customer,True,2085
C0455,40,2019-04-27,2024-11-27,57607900,Retained Customer,True,2041
C0022,39,2019-01-13,2024-11-06,44585750,Retained Customer,True,2124
C0131,39,2019-02-21,2024-06-14,57656260,Retained Customer,True,1940
C0408,39,2019-07-06,2024-11-02,54619740,Retained Customer,True,1946
C0128,39,2019-01-02,2024-12-18,57387360,Retained Customer,True,2177
C0118,39,2019-01-16,2024-12-30,42906280,Retained Customer,True,2175
C0336,39,2019-01-13,2024-10-26,36133900,Retained Customer,True,2113
C0185,39,2019-03-25,2024-09-16,45894360,Retained Customer,True,2002
C0332,39,2019-01-19,2024-11-23,41463910,Retained Customer,True,2135
C0340,39,2019-01-05,2024-12-04,55130110,Retained Customer,True,2160
C0132,39,2019-02-22,2024-10-01,40004370,Retained Customer,True,2048
C0164,39,2019-01-11,2024-11-13,46613620,Retained Customer,True,2133
C0346,39,2019-01-21,2024-11-15,42873560,Retained Customer,True,2125
C0126,39,2019-03-05,2024-04-05,55322000,Retained Customer,True,1858
C0111,39,2019-04-09,2024-12-16,46609900,Retained Customer,True,2078
C0205,39,2019-01-10,2024-11-15,53896570,Retained Customer,True,2136
C0402,39,2019-01-25,2024-07-12,40181870,Retained Customer,True,1995
C0064,39,2019-03-21,2024-12-14,52021770,Retained Customer,True,2095
C0227,39,2019-02-13,2024-10-24,51113410,Retained Customer,True,2080
C0297,39,2019-01-19,2024-07-01,62422580,Retained Customer,True,1990
C0231,39,2019-02-15,2024-11-08,52413100,Retained Customer,True,2093
C0088,39,2019-01-26,2024-12-12,49923700,Retained Customer,True,2147
C0251,39,2019-01-09,2024-07-06,50171060,Retained Customer,True,2005
C0447,39,2019-01-05,2024-12-23,58830780,Retained Customer,True,2179
C0059,39,2019-01-21,2024-12-20,47904570,Retained Customer,True,2160
C0036,39,2019-03-26,2024-12-23,47362410,Retained Customer,True,2099
C0464,39,2019-01-18,2024-09-13,52911390,Retained Customer,True,2065
C0465,39,2019-03-12,2024-12-12,42438980,Retained Customer,True,2102
C0286,39,2019-01-06,2024-12-29,50682130,Retained Customer,True,2184
C0264,39,2019-01-02,2024-11-02,56501370,Retained Customer,True,2131
C0015,38,2019-02-18,2024-11-16,51005500,Retained Customer,True,2098
C0012,38,2019-01-28,2024-10-10,42822150,Retained Customer,True,2082
C0277,38,2019-05-28,2024-09-14,35987190,Retained Customer,True,1936
C0260,38,2019-01-30,2024-09-05,52018150,Retained Customer,True,2045
C0341,38,2019-03-10,2024-10-07,55626730,Retained Customer,True,2038
C0190,38,2019-05-15,2024-12-29,49869830,Retained Customer,True,2055
C0324,38,2019-01-24,2024-08-24,43386470,Retained Customer,True,2039
C0217,38,2019-01-19,2024-12-18,49708160,Retained Customer,True,2160
C0317,38,2019-01-17,2024-12-25,40944770,Retained Customer,True,2169
C0316,38,2019-03-08,2024-09-22,40257180,Retained Customer,True,2025
C0199,38,2019-01-19,2024-10-21,41788400,Retained Customer,True,2102
C0198,38,2019-03-27,2024-10-19,51107370,Retained Customer,True,2033
C0239,38,2019-10-11,2024-10-27,43671220,Retained Customer,True,1843
C0252,38,2019-08-03,2024-11-07,39885550,Retained Customer,True,1923
C0351,38,2019-03-29,2024-09-12,37753190,Retained Customer,True,1994
C0338,38,2019-02-01,2024-11-23,43157630,Retained Customer,True,2122
C0077,38,2019-02-05,2024-12-16,49739710,Retained Customer,True,2141
C0436,38,2019-02-01,2024-12-15,49724270,Retained Customer,True,2144
C0056,38,2019-01-08,2024-11-10,51714180,Retained Customer,True,2133
C0044,38,2019-01-05,2024-11-17,43843570,Retained Customer,True,2143
C0066,38,2019-01-29,2024-10-11,47238780,Retained Customer,True,2082
C0062,38,2019-03-18,2024-10-31,63839240,Retained Customer,True,2054
C0400,38,2019-04-06,2024-10-23,42250310,Retained Customer,True,2027
C0401,38,2019-01-11,2024-10-25,48565440,Retained Customer,True,2114
C0102,38,2019-03-11,2024-10-24,62773480,Retained Customer,True,2054
C0387,38,2019-01-02,2024-10-26,43291870,Retained Customer,True,2124
C0157,38,2019-02-15,2024-12-30,51879830,Retained Customer,True,2145
C0386,38,2019-04-23,2024-11-04,42278620,Retained Customer,True,2022
C0364,38,2019-01-04,2024-11-18,48290310,Retained Customer,True,2145
C0168,38,2019-06-02,2024-12-18,61195700,Retained Customer,True,2026
C0424,38,2019-03-22,2024-09-23,50065860,Retained Customer,True,2012
C0433,38,2019-09-11,2024-08-13,51222820,Retained Customer,True,1798
C0476,38,2019-01-13,2024-09-29,65951870,Retained Customer,True,2086
C0030,38,2019-01-30,2024-09-02,50515670,Retained Customer,True,2042
C0037,38,2019-06-12,2024-10-25,38561970,Retained Customer,True,1962
C0029,38,2019-01-16,2024-06-30,45653420,Retained Customer,True,1992
C0158,37,2019-02-25,2024-09-26,48735540,Retained Customer,True,2040
C0145,37,2019-04-01,2024-12-29,29769500,Retained Customer,True,2099
C0055,37,2019-04-01,2024-12-11,53940970,Retained Customer,True,2081
C0448,37,2019-03-13,2024-12-11,53741830,Retained Customer,True,2100
C0052,37,2019-02-12,2024-12-11,45097920,Retained Customer,True,2129
C0405,37,2019-01-30,2024-06-25,44240650,Retained Customer,True,1973
C0412,37,2019-04-20,2024-05-28,38694470,Retained Customer,True,1865
C0406,37,2019-02-25,2024-10-11,55494220,Retained Customer,True,2055
C0123,37,2019-01-16,2024-11-04,55075400,Retained Customer,True,2119
C0382,37,2019-04-17,2024-11-19,39722420,Retained Customer,True,2043
C0372,37,2019-02-15,2024-07-10,41848360,Retained Customer,True,1972
C0363,37,2019-02-24,2024-11-07,50237880,Retained Customer,True,2083
C0259,37,2019-02-02,2024-12-13,52219040,Retained Customer,True,2141
C0298,37,2019-01-05,2024-11-20,42797160,Retained Customer,True,2146
C0299,37,2019-01-24,2024-08-30,42381340,Retained Customer,True,2045
C0319,37,2019-05-16,2024-12-08,54752580,Retained Customer,True,2033
C0492,37,2019-02-04,2024-11-05,51225690,Retained Customer,True,2101
C0051,37,2019-02-15,2024-11-15,47017080,Retained Customer,True,2100
C0454,37,2019-02-08,2024-11-14,36757440,Retained Customer,True,2106
C0449,37,2019-06-25,2024-11-19,49669150,Retained Customer,True,1974
C0043,37,2019-04-04,2024-06-14,39495710,Retained Customer,True,1898
C0023,37,2019-01-05,2024-12-27,53343670,Retained Customer,True,2183
C0472,37,2019-04-29,2024-11-23,45819430,Retained Customer,True,2035
C0480,37,2019-01-24,2024-11-24,45569160,Retained Customer,True,2131
C0477,37,2019-06-12,2024-10-13,45390380,Retained Customer,True,1950
C0098,37,2019-03-14,2024-12-18,45007740,Retained Customer,True,2106
C0266,37,2019-01-22,2024-09-24,46658690,Retained Customer,True,2072
C0245,37,2019-01-01,2024-11-30,46663320,Retained Customer,True,2160
C0246,37,2019-01-26,2024-11-02,61368980,Retained Customer,True,2107
C0203,37,2019-02-25,2024-11-19,43333790,Retained Customer,True,2094
C0352,37,2019-02-23,2024-11-11,41846330,Retained Customer,True,2088
C0350,37,2019-05-03,2024-11-25,39052200,Retained Customer,True,2033
C0334,37,2019-01-03,2024-08-24,34503010,Retained Customer,True,2060
C0268,37,2019-01-21,2024-10-07,54298750,Retained Customer,True,2086
C0228,36,2019-03-27,2024-09-10,51601040,Retained Customer,True,1994
C0007,36,2019-05-08,2024-11-03,37839490,Retained Customer,True,2006
C0008,36,2019-03-04,2024-07-16,38574950,Retained Customer,True,1961
C0018,36,2019-05-31,2024-12-24,46340880,Retained Customer,True,2034
C0194,36,2019-04-15,2024-12-26,39279180,Retained Customer,True,2082
C0349,36,2019-01-31,2024-10-19,51806430,Retained Customer,True,2088
C0329,36,2019-01-03,2024-12-26,50414010,Retained Customer,True,2184
C0482,36,2019-12-15,2024-12-03,64020490,Retained Customer,True,1815
C0453,36,2019-05-25,2024-12-31,51744150,Retained Customer,True,2047
C0463,36,2019-01-10,2024-08-22,45761800,Retained Customer,True,2051
C0442,36,2019-01-28,2024-10-20,47299810,Retained Customer,True,2092
C0446,36,2019-02-03,2024-10-16,43391360,Retained Customer,True,2082
C0073,36,2019-03-23,2024-11-12,48992520,Retained Customer,True,2061
C0047,36,2019-04-06,2024-08-25,50441290,Retained Customer,True,1968
C0460,36,2019-04-06,2024-11-25,56715420,Retained Customer,True,2060
C0308,36,2019-02-19,2024-12-12,42189220,Retained Customer,True,2123
C0415,36,2019-03-13,2024-10-11,57595000,Retained Customer,True,2039
C0417,36,2019-04-02,2024-09-11,44665420,Retained Customer,True,1989
C0125,36,2019-02-17,2024-12-09,38490080,Retained Customer,True,2122
C0147,36,2019-02-05,2024-12-22,45513830,Retained Customer,True,2147
C0120,36,2019-01-02,2024-11-15,41105250,Retained Customer,True,2144
C0121,36,2019-01-22,2024-12-01,39128960,Retained Customer,True,2140
C0104,36,2019-02-27,2024-12-30,35121810,Retained Customer,True,2133
C0287,36,2019-03-22,2024-11-27,43261120,Retained Customer,True,2077
C0114,36,2019-01-03,2024-09-27,43340450,Retained Customer,True,2094
C0159,36,2019-02-02,2024-12-26,44984320,Retained Customer,True,2154
C0155,36,2019-03-24,2024-12-17,35744630,Retained Customer,True,2095
C0171,36,2019-04-27,2024-12-05,53338800,Retained Customer,True,2049
C0173,36,2019-03-29,2024-11-08,50058960,Retained Customer,True,2051
C0156,36,2019-01-14,2024-09-17,53295180,Retained Customer,True,2073
C0139,36,2019-03-13,2024-11-10,38021440,Retained Customer,True,2069
C0444,35,2019-02-25,2024-08-06,46629480,Retained Customer,True,1989
C0075,35,2019-04-17,2024-10-20,43533480,Retained Customer,True,2013
C0423,35,2019-02-25,2024-12-27,43818650,Retained Customer,True,2132
C0434,35,2019-01-05,2024-10-26,42930130,Retained Customer,True,2121
C0474,35,2019-01-11,2024-11-07,42219110,Retained Customer,True,2127
C0457,35,2019-01-13,2024-11-15,48077820,Retained Customer,True,2133
C0057,35,2019-03-20,2024-12-04,41341790,Retained Customer,True,2086
