customer_id,total_orders,total_revenue,first_purchase_date,last_purchase_date,days_since_last_purchase,churn_status,is_churned
C0213,32,53323570,2019-02-26,2024-08-31,122,At Risk,False
C0438,45,52796800,2019-06-17,2024-09-01,121,At Risk,False
C0238,32,30976180,2019-01-22,2024-09-01,121,At Risk,False
C0373,43,60942770,2019-04-03,2024-09-02,120,At Risk,False
C0006,46,60992880,2019-04-21,2024-09-02,120,At Risk,False
C0030,38,50515670,2019-01-30,2024-09-02,120,At Risk,False
C0313,32,41705840,2019-05-28,2024-09-02,120,At Risk,False
C0283,33,36153120,2019-04-14,2024-09-04,118,At Risk,False
C0221,44,64336800,2019-01-17,2024-09-05,117,At Risk,False
C0260,38,52018150,2019-01-30,2024-09-05,117,At Risk,False
C0091,32,33399030,2019-01-09,2024-09-07,115,At Risk,False
C0061,32,31227160,2019-01-29,2024-09-08,114,At Risk,False
C0384,42,64311810,2019-02-05,2024-09-09,113,At Risk,False
C0235,43,53090300,2019-05-08,2024-09-10,112,At Risk,False
C0228,36,51601040,2019-03-27,2024-09-10,112,At Risk,False
C0417,36,44665420,2019-04-02,2024-09-11,111,At Risk,False
C0450,43,48802430,2019-01-15,2024-09-12,110,At Risk,False
C0351,38,37753190,2019-03-29,2024-09-12,110,At Risk,False
C0464,39,52911390,2019-01-18,2024-09-13,109,At Risk,False
C0144,31,42387320,2019-03-14,2024-09-13,109,At Risk,False
C0277,38,35987190,2019-05-28,2024-09-14,108,At Risk,False
C0185,39,45894360,2019-03-25,2024-09-16,106,At Risk,False
C0024,48,49014090,2019-01-22,2024-09-17,105,At Risk,False
C0311,46,61951490,2019-02-03,2024-09-17,105,At Risk,False
C0156,36,53295180,2019-01-14,2024-09-17,105,At Risk,False
C0421,45,69154590,2019-04-06,2024-09-17,105,At Risk,False
C0053,31,38021810,2019-05-16,2024-09-18,104,At Risk,False
C0256,34,49845250,2019-01-03,2024-09-19,103,At Risk,False
C0292,31,30669960,2019-01-11,2024-09-19,103,At Risk,False
C0094,33,39474600,2019-01-18,2024-09-20,102,At Risk,False
C0085,44,55654550,2019-01-01,2024-09-20,102,At Risk,False
C0202,35,46256330,2019-09-19,2024-09-21,101,At Risk,False
C0025,44,58809760,2019-01-29,2024-09-21,101,At Risk,False
C0316,38,40257180,2019-03-08,2024-09-22,100,At Risk,False
C0424,38,50065860,2019-03-22,2024-09-23,99,At Risk,False
C0385,42,60053350,2019-07-27,2024-09-23,99,At Risk,False
C0266,37,46658690,2019-01-22,2024-09-24,98,At Risk,False
C0116,40,60134220,2019-01-06,2024-09-25,97,At Risk,False
C0293,42,57398730,2019-01-19,2024-09-25,97,At Risk,False
C0254,52,75547750,2019-07-01,2024-09-25,97,At Risk,False
C0361,35,46126450,2019-01-15,2024-09-26,96,At Risk,False
C0158,37,48735540,2019-02-25,2024-09-26,96,At Risk,False
C0314,45,54595560,2019-01-22,2024-09-26,96,At Risk,False
C0265,33,44129000,2019-02-19,2024-09-27,95,At Risk,False
C0470,44,42659850,2019-01-25,2024-09-27,95,At Risk,False
C0114,36,43340450,2019-01-03,2024-09-27,95,At Risk,False
C0226,28,39194740,2019-01-22,2024-09-28,94,At Risk,False
C0476,38,65951870,2019-01-13,2024-09-29,93,At Risk,False
C0419,34,49492260,2019-03-05,2024-09-30,92,At Risk,False
C0132,39,40004370,2019-02-22,2024-10-01,91,At Risk,False
C0249,40,52709760,2019-01-16,2024-10-01,91,At Risk,False
C0358,40,53790030,2019-04-17,2024-10-01,91,At Risk,False
C0485,34,52472400,2019-01-14,2024-10-01,91,At Risk,False
C0083,50,74075280,2019-05-23,2024-10-04,88,Active,False
C0005,51,67256610,2019-02-28,2024-10-04,88,Active,False
C0432,41,43308880,2019-01-26,2024-10-04,88,Active,False
C0048,34,40336880,2019-01-16,2024-10-06,86,Active,False
C0034,33,33729240,2019-01-05,2024-10-06,86,Active,False
C0341,38,55626730,2019-03-10,2024-10-07,85,Active,False
C0268,37,54298750,2019-01-21,2024-10-07,85,Active,False
C0486,42,53820770,2019-01-01,2024-10-07,85,Active,False
C0353,30,28192110,2019-01-16,2024-10-08,84,Active,False
C0078,33,34591140,2019-01-31,2024-10-08,84,Active,False
C0117,35,35972400,2019-01-01,2024-10-08,84,Active,False
C0479,29,31298140,2019-02-22,2024-10-08,84,Active,False
C0409,45,47755320,2019-01-19,2024-10-09,83,Active,False
C0295,46,63205470,2019-03-07,2024-10-09,83,Active,False
C0342,44,78469470,2019-04-12,2024-10-09,83,Active,False
C0012,38,42822150,2019-01-28,2024-10-10,82,Active,False
C0101,43,52693260,2019-02-26,2024-10-10,82,Active,False
C0258,31,54371200,2019-02-04,2024-10-10,82,Active,False
C0430,29,37535780,2019-03-08,2024-10-11,81,Active,False
C0066,38,47238780,2019-01-29,2024-10-11,81,Active,False
C0406,37,55494220,2019-02-25,2024-10-11,81,Active,False
C0362,42,44698950,2019-02-19,2024-10-11,81,Active,False
C0415,36,57595000,2019-03-13,2024-10-11,81,Active,False
C0207,51,79795630,2019-02-10,2024-10-13,79,Active,False
C0042,44,61493750,2019-01-25,2024-10-13,79,Active,False
C0477,37,45390380,2019-06-12,2024-10-13,79,Active,False
C0162,30,53940730,2019-07-05,2024-10-14,78,Active,False
C0237,46,59754510,2019-01-28,2024-10-15,77,Active,False
C0223,34,43216770,2019-03-01,2024-10-15,77,Active,False
C0446,36,43391360,2019-02-03,2024-10-16,76,Active,False
C0218,45,43621310,2019-02-02,2024-10-16,76,Active,False
C0456,29,26909060,2019-02-23,2024-10-16,76,Active,False
C0020,41,38461450,2019-01-26,2024-10-17,75,Active,False
C0288,63,84094790,2019-02-21,2024-10-18,74,Active,False
C0197,50,66821570,2019-02-22,2024-10-18,74,Active,False
C0349,36,51806430,2019-01-31,2024-10-19,73,Active,False
C0441,35,41532900,2019-01-17,2024-10-19,73,Active,False
C0198,38,51107370,2019-03-27,2024-10-19,73,Active,False
C0075,35,43533480,2019-04-17,2024-10-20,72,Active,False
C0416,43,42362580,2019-01-05,2024-10-20,72,Active,False
C0442,36,47299810,2019-01-28,2024-10-20,72,Active,False
C0440,47,67904760,2019-01-29,2024-10-21,71,Active,False
C0233,34,42607030,2019-02-15,2024-10-21,71,Active,False
C0429,44,56178520,2019-02-08,2024-10-21,71,Active,False
C0199,38,41788400,2019-01-19,2024-10-21,71,Active,False
C0090,45,44051020,2019-03-16,2024-10-22,70,Active,False
C0400,38,42250310,2019-04-06,2024-10-23,69,Active,False
C0348,35,43554630,2019-04-15,2024-10-24,68,Active,False
C0227,39,51113410,2019-02-13,2024-10-24,68,Active,False
C0102,38,62773480,2019-03-11,2024-10-24,68,Active,False
C0032,45,58165930,2019-01-23,2024-10-25,67,Active,False
C0037,38,38561970,2019-06-12,2024-10-25,67,Active,False
C0401,38,48565440,2019-01-11,2024-10-25,67,Active,False
C0192,43,59390920,2019-01-19,2024-10-25,67,Active,False
C0236,47,55730670,2019-03-21,2024-10-25,67,Active,False
C0366,30,36772070,2019-03-09,2024-10-26,66,Active,False
C0387,38,43291870,2019-01-02,2024-10-26,66,Active,False
C0336,39,36133900,2019-01-13,2024-10-26,66,Active,False
C0434,35,42930130,2019-01-05,2024-10-26,66,Active,False
C0169,44,63375830,2019-03-25,2024-10-27,65,Active,False
C0239,38,43671220,2019-10-11,2024-10-27,65,Active,False
C0013,49,64377720,2019-01-02,2024-10-27,65,Active,False
C0196,54,61286970,2019-01-09,2024-10-28,64,Active,False
C0289,40,45171030,2019-02-07,2024-10-29,63,Active,False
C0003,40,39965740,2019-04-05,2024-10-30,62,Active,False
C0461,42,55770880,2019-02-27,2024-10-31,61,Active,False
C0230,41,53600640,2019-02-19,2024-10-31,61,Active,False
C0062,38,63839240,2019-03-18,2024-10-31,61,Active,False
C0241,46,71234710,2019-02-01,2024-10-31,61,Active,False
C0263,40,55123450,2019-03-06,2024-11-01,60,Active,False
C0435,57,66153460,2019-03-12,2024-11-01,60,Active,False
C0021,47,51375230,2019-01-16,2024-11-01,60,Active,False
C0408,39,54619740,2019-07-06,2024-11-02,59,Active,False
C0264,39,56501370,2019-01-02,2024-11-02,59,Active,False
C0371,51,71366470,2019-01-03,2024-11-02,59,Active,False
C0246,37,61368980,2019-01-26,2024-11-02,59,Active,False
C0007,36,37839490,2019-05-08,2024-11-03,58,Active,False
C0375,44,65579710,2019-02-20,2024-11-03,58,Active,False
C0080,46,50588120,2019-02-20,2024-11-03,58,Active,False
C0335,43,52685710,2019-01-31,2024-11-03,58,Active,False
C0422,44,61810690,2019-09-19,2024-11-04,57,Active,False
C0009,34,54041610,2019-04-14,2024-11-04,57,Active,False
C0367,31,48346630,2019-02-28,2024-11-04,57,Active,False
C0175,41,53235590,2019-01-24,2024-11-04,57,Active,False
C0123,37,55075400,2019-01-16,2024-11-04,57,Active,False
C0386,38,42278620,2019-04-23,2024-11-04,57,Active,False
C0365,47,52500540,2019-01-04,2024-11-05,56,Active,False
C0122,33,42300750,2019-01-12,2024-11-05,56,Active,False
C0280,47,50723520,2019-01-12,2024-11-05,56,Active,False
C0492,37,51225690,2019-02-04,2024-11-05,56,Active,False
C0220,47,43066280,2019-01-19,2024-11-06,55,Active,False
C0022,39,44585750,2019-01-13,2024-11-06,55,Active,False
C0467,55,53206760,2019-01-02,2024-11-06,55,Active,False
C0252,38,39885550,2019-08-03,2024-11-07,54,Active,False
C0363,37,50237880,2019-02-24,2024-11-07,54,Active,False
C0310,41,51400980,2019-05-30,2024-11-07,54,Active,False
C0296,41,46533710,2019-01-02,2024-11-07,54,Active,False
C0474,35,42219110,2019-01-11,2024-11-07,54,Active,False
C0413,46,54533070,2019-02-06,2024-11-08,53,Active,False
C0231,39,52413100,2019-02-15,2024-11-08,53,Active,False
C0173,36,50058960,2019-03-29,2024-11-08,53,Active,False
C0187,31,38937400,2019-05-02,2024-11-08,53,Active,False
C0325,33,44540760,2019-03-03,2024-11-09,52,Active,False
C0275,47,52499270,2019-06-17,2024-11-09,52,Active,False
C0390,35,52697070,2019-03-13,2024-11-09,52,Active,False
C0318,41,58005460,2019-01-08,2024-11-09,52,Active,False
C0150,34,35468440,2019-07-12,2024-11-09,52,Active,False
C0139,36,38021440,2019-03-13,2024-11-10,51,Active,False
C0056,38,51714180,2019-01-08,2024-11-10,51,Active,False
C0240,50,81776260,2019-02-19,2024-11-10,51,Active,False
C0484,31,41941080,2019-01-30,2024-11-10,51,Active,False
C0100,42,40056040,2019-01-25,2024-11-10,51,Active,False
C0255,49,60102490,2019-01-05,2024-11-11,50,Active,False
C0189,41,54638690,2019-03-03,2024-11-11,50,Active,False
C0352,37,41846330,2019-02-23,2024-11-11,50,Active,False
C0073,36,48992520,2019-03-23,2024-11-12,49,Active,False
C0035,46,54533770,2019-01-07,2024-11-12,49,Active,False
C0279,28,30576800,2019-05-12,2024-11-12,49,Active,False
C0106,42,47644410,2019-03-29,2024-11-12,49,Active,False
C0247,42,55849110,2019-02-14,2024-11-13,48,Active,False
C0164,39,46613620,2019-01-11,2024-11-13,48,Active,False
C0462,52,72302020,2019-01-06,2024-11-13,48,Active,False
C0028,34,33463430,2019-01-22,2024-11-13,48,Active,False
C0136,42,41124050,2019-03-23,2024-11-13,48,Active,False
C0418,32,39210750,2019-03-18,2024-11-14,47,Active,False
C0454,37,36757440,2019-02-08,2024-11-14,47,Active,False
C0089,40,40101850,2019-01-02,2024-11-14,47,Active,False
C0205,39,53896570,2019-01-10,2024-11-15,46,Active,False
C0290,46,51960040,2019-03-04,2024-11-15,46,Active,False
C0212,35,38459600,2019-02-01,2024-11-15,46,Active,False
C0051,37,47017080,2019-02-15,2024-11-15,46,Active,False
C0120,36,41105250,2019-01-02,2024-11-15,46,Active,False
C0346,39,42873560,2019-01-21,2024-11-15,46,Active,False
C0141,40,59888120,2019-04-06,2024-11-15,46,Active,False
C0473,31,40406800,2019-03-04,2024-11-15,46,Active,False
C0457,35,48077820,2019-01-13,2024-11-15,46,Active,False
C0130,41,47762000,2019-02-17,2024-11-16,45,Active,False
C0015,38,51005500,2019-02-18,2024-11-16,45,Active,False
C0044,38,43843570,2019-01-05,2024-11-17,44,Active,False
C0360,34,47187810,2019-05-25,2024-11-17,44,Active,False
C0161,43,54232700,2019-03-24,2024-11-17,44,Active,False
C0312,40,52920140,2019-04-16,2024-11-17,44,Active,False
C0357,32,48125180,2019-01-05,2024-11-17,44,Active,False
C0443,43,52360250,2019-03-27,2024-11-18,43,Active,False
C0364,38,48290310,2019-01-04,2024-11-18,43,Active,False
C0152,41,49749000,2019-03-10,2024-11-18,43,Active,False
C0242,50,60722930,2019-01-30,2024-11-18,43,Active,False
C0382,37,39722420,2019-04-17,2024-11-19,42,Active,False
C0203,37,43333790,2019-02-25,2024-11-19,42,Active,False
C0449,37,49669150,2019-06-25,2024-11-19,42,Active,False
C0383,43,56328200,2019-02-18,2024-11-19,42,Active,False
C0345,44,44678620,2019-02-15,2024-11-20,41,Active,False
C0211,45,50253990,2019-03-06,2024-11-20,41,Active,False
C0298,37,42797160,2019-01-05,2024-11-20,41,Active,False
C0216,46,60089830,2019-01-27,2024-11-20,41,Active,False
C0394,46,66611310,2019-03-08,2024-11-21,40,Active,False
C0343,45,59151480,2019-02-28,2024-11-21,40,Active,False
C0086,30,47920240,2019-01-12,2024-11-22,39,Active,False
C0011,41,44933810,2019-01-03,2024-11-22,39,Active,False
C0420,54,82700390,2019-01-10,2024-11-22,39,Active,False
C0209,46,56741580,2019-10-18,2024-11-22,39,Active,False
C0269,48,58480890,2019-01-12,2024-11-22,39,Active,False
C0493,45,52616240,2019-02-18,2024-11-22,39,Active,False
C0472,37,45819430,2019-04-29,2024-11-23,38,Active,False
C0332,39,41463910,2019-01-19,2024-11-23,38,Active,False
C0338,38,43157630,2019-02-01,2024-11-23,38,Active,False
C0160,49,59980970,2019-02-19,2024-11-23,38,Active,False
C0119,58,65855380,2019-01-07,2024-11-23,38,Active,False
C0307,48,68834490,2019-01-15,2024-11-24,37,Active,False
C0060,50,64410620,2019-01-19,2024-11-24,37,Active,False
C0140,44,58201560,2019-01-12,2024-11-24,37,Active,False
C0134,50,71908050,2019-03-03,2024-11-24,37,Active,False
C0480,37,45569160,2019-01-24,2024-11-24,37,Active,False
C0460,36,56715420,2019-04-06,2024-11-25,36,Active,False
C0350,37,39052200,2019-05-03,2024-11-25,36,Active,False
C0389,33,44362320,2019-04-04,2024-11-25,36,Active,False
C0200,52,73304770,2019-02-09,2024-11-25,36,Active,False
C0495,52,82914040,2019-01-01,2024-11-25,36,Active,False
C0488,40,58528170,2019-03-01,2024-11-26,35,Active,False
C0105,46,52573780,2019-03-29,2024-11-26,35,Active,False
C0427,46,47425980,2019-02-05,2024-11-26,35,Active,False
C0271,28,34224570,2019-06-05,2024-11-26,35,Active,False
C0071,47,60419160,2019-01-24,2024-11-26,35,Active,False
C0253,40,59006480,2019-03-28,2024-11-27,34,Active,False
C0455,40,57607900,2019-04-27,2024-11-27,34,Active,False
C0172,42,56707730,2019-04-26,2024-11-27,34,Active,False
C0410,42,49311570,2019-01-01,2024-11-27,34,Active,False
C0287,36,43261120,2019-03-22,2024-11-27,34,Active,False
C0471,42,58365420,2019-02-23,2024-11-27,34,Active,False
C0010,50,54508210,2019-01-23,2024-11-27,34,Active,False
C0305,33,41460360,2019-05-16,2024-11-27,34,Active,False
C0151,31,35615980,2019-03-03,2024-11-28,33,Active,False
C0039,40,53722520,2019-04-17,2024-11-28,33,Active,False
C0079,33,37415140,2019-01-25,2024-11-28,33,Active,False
C0359,52,78412380,2019-02-12,2024-11-28,33,Active,False
C0115,33,38312450,2019-05-07,2024-11-28,33,Active,False
C0494,32,37868420,2019-02-25,2024-11-28,33,Active,False
C0002,56,61160690,2019-01-24,2024-11-28,33,Active,False
C0184,35,57050360,2019-03-12,2024-11-28,33,Active,False
C0499,44,57171990,2019-01-18,2024-11-29,32,Active,False
C0229,29,36130700,2019-05-15,2024-11-29,32,Active,False
C0038,41,52105520,2019-01-08,2024-11-29,32,Active,False
C0300,44,60578170,2019-05-05,2024-11-30,31,Active,False
C0245,37,46663320,2019-01-01,2024-11-30,31,Active,False
C0391,35,42554570,2019-01-14,2024-11-30,31,Active,False
C0193,44,57786600,2019-01-10,2024-11-30,31,Active,False
C0368,33,42468360,2019-02-17,2024-11-30,31,Active,False
C0093,41,49642790,2019-01-24,2024-12-01,30,Active,False
C0112,40,47047550,2019-02-27,2024-12-01,30,Active,False
C0121,36,39128960,2019-01-22,2024-12-01,30,Active,False
C0303,31,30524560,2019-04-05,2024-12-01,30,Active,False
C0333,42,51934490,2019-01-09,2024-12-02,29,Active,False
C0398,43,53653050,2019-01-15,2024-12-02,29,Active,False
C0426,40,47615070,2019-02-20,2024-12-03,28,Active,False
C0347,27,22852400,2019-03-04,2024-12-03,28,Active,False
C0291,54,73179030,2019-03-13,2024-12-03,28,Active,False
C0278,45,47124980,2019-03-23,2024-12-03,28,Active,False
C0482,36,64020490,2019-12-15,2024-12-03,28,Active,False
C0248,30,35510400,2019-01-10,2024-12-04,27,Active,False
C0262,30,38179240,2019-02-26,2024-12-04,27,Active,False
C0057,35,41341790,2019-03-20,2024-12-04,27,Active,False
C0340,39,55130110,2019-01-05,2024-12-04,27,Active,False
C0183,32,32501510,2019-01-17,2024-12-05,26,Active,False
C0285,51,44949370,2019-02-11,2024-12-05,26,Active,False
C0328,40,53610980,2019-01-03,2024-12-05,26,Active,False
C0171,36,53338800,2019-04-27,2024-12-05,26,Active,False
C0084,47,71147780,2019-04-29,2024-12-05,26,Active,False
C0356,45,62479450,2019-03-16,2024-12-05,26,Active,False
C0261,40,57586180,2019-05-06,2024-12-06,25,Active,False
C0327,45,48891270,2019-02-01,2024-12-06,25,Active,False
C0068,42,46858170,2019-03-11,2024-12-06,25,Active,False
C0500,29,36693490,2019-01-06,2024-12-07,24,Active,False
C0377,40,56674980,2019-01-08,2024-12-07,24,Active,False
C0396,40,52935440,2019-01-14,2024-12-07,24,Active,False
C0166,34,58111030,2019-01-18,2024-12-08,23,Active,False
C0319,37,54752580,2019-05-16,2024-12-08,23,Active,False
C0380,58,71455250,2019-01-29,2024-12-08,23,Active,False
C0142,48,68942040,2019-02-06,2024-12-08,23,Active,False
C0204,33,34104450,2019-03-02,2024-12-08,23,Active,False
C0178,58,76367620,2019-01-22,2024-12-09,22,Active,False
C0148,40,46876850,2019-01-28,2024-12-09,22,Active,False
C0425,44,57482400,2019-01-17,2024-12-09,22,Active,False
C0244,48,64972160,2019-05-06,2024-12-09,22,Active,False
C0046,51,76069120,2019-02-03,2024-12-09,22,Active,False
C0109,48,57909360,2019-01-14,2024-12-09,22,Active,False
C0125,36,38490080,2019-02-17,2024-12-09,22,Active,False
C0322,29,32591500,2019-04-10,2024-12-10,21,Active,False
C0497,33,42503770,2019-06-12,2024-12-10,21,Active,False
C0019,43,43064130,2019-01-19,2024-12-10,21,Active,False
C0403,49,66810710,2019-02-19,2024-12-10,21,Active,False
C0374,46,58464410,2019-03-07,2024-12-10,21,Active,False
C0180,31,26408930,2019-01-04,2024-12-10,21,Active,False
C0243,34,39757700,2019-07-13,2024-12-10,21,Active,False
C0052,37,45097920,2019-02-12,2024-12-11,20,Active,False
C0069,52,64878390,2019-02-18,2024-12-11,20,Active,False
C0055,37,53940970,2019-04-01,2024-12-11,20,Active,False
C0206,46,75741580,2019-01-08,2024-12-11,20,Active,False
C0186,42,60717650,2019-02-17,2024-12-11,20,Active,False
C0107,52,70691460,2019-01-01,2024-12-11,20,Active,False
C0448,37,53741830,2019-03-13,2024-12-11,20,Active,False
C0033,34,45334540,2019-03-05,2024-12-12,19,Active,False
C0065,41,59050070,2019-01-01,2024-12-12,19,Active,False
C0308,36,42189220,2019-02-19,2024-12-12,19,Active,False
C0392,34,37128430,2019-02-11,2024-12-12,19,Active,False
C0388,34,41959050,2019-03-21,2024-12-12,19,Active,False
C0088,39,49923700,2019-01-26,2024-12-12,19,Active,False
C0137,28,44868410,2019-06-13,2024-12-12,19,Active,False
C0465,39,42438980,2019-03-12,2024-12-12,19,Active,False
C0411,46,61125740,2019-06-05,2024-12-12,19,Active,False
C0149,42,57543220,2019-02-28,2024-12-12,19,Active,False
C0153,59,85877020,2019-01-17,2024-12-12,19,Active,False
C0191,31,56028890,2019-02-03,2024-12-12,19,Active,False
C0201,49,66387120,2019-02-01,2024-12-13,18,Active,False
C0369,46,59977870,2019-01-26,2024-12-13,18,Active,False
C0259,37,52219040,2019-02-02,2024-12-13,18,Active,False
C0272,43,64345280,2019-09-01,2024-12-13,18,Active,False
C0466,52,78342990,2019-01-25,2024-12-13,18,Active,False
C0222,44,48043620,2019-01-30,2024-12-13,18,Active,False
C0064,39,52021770,2019-03-21,2024-12-14,17,Active,False
C0054,42,56103080,2019-01-31,2024-12-14,17,Active,False
C0459,45,62289100,2019-03-10,2024-12-14,17,Active,False
C0050,30,50086150,2019-01-11,2024-12-14,17,Active,False
C0224,40,45785060,2019-01-30,2024-12-14,17,Active,False
C0331,44,54547840,2019-04-12,2024-12-15,16,Active,False
C0181,40,47189990,2019-04-13,2024-12-15,16,Active,False
C0378,42,49279070,2019-01-19,2024-12-15,16,Active,False
C0379,44,52506820,2019-03-29,2024-12-15,16,Active,False
C0045,43,60965470,2019-02-02,2024-12-15,16,Active,False
C0436,38,49724270,2019-02-01,2024-12-15,16,Active,False
C0111,39,46609900,2019-04-09,2024-12-16,15,Active,False
C0154,46,61178520,2019-01-29,2024-12-16,15,Active,False
C0097,30,43037580,2019-03-22,2024-12-16,15,Active,False
C0306,47,57049240,2019-07-19,2024-12-16,15,Active,False
C0077,38,49739710,2019-02-05,2024-12-16,15,Active,False
C0315,42,50056680,2019-01-09,2024-12-17,14,Active,False
C0309,32,30418360,2019-03-04,2024-12-17,14,Active,False
C0087,41,41444460,2019-01-22,2024-12-17,14,Active,False
C0155,36,35744630,2019-03-24,2024-12-17,14,Active,False
C0397,41,47355040,2019-02-11,2024-12-17,14,Active,False
C0469,44,55971040,2019-01-04,2024-12-18,13,Active,False
C0475,58,76825820,2019-01-19,2024-12-18,13,Active,False
C0393,42,45246830,2019-03-27,2024-12-18,13,Active,False
C0217,38,49708160,2019-01-19,2024-12-18,13,Active,False
C0355,40,57761570,2019-01-03,2024-12-18,13,Active,False
C0370,41,45980090,2019-02-18,2024-12-18,13,Active,False
C0168,38,61195700,2019-06-02,2024-12-18,13,Active,False
C0082,50,63866170,2019-03-17,2024-12-18,13,Active,False
C0098,37,45007740,2019-03-14,2024-12-18,13,Active,False
C0016,41,60898100,2019-01-18,2024-12-18,13,Active,False
C0128,39,57387360,2019-01-02,2024-12-18,13,Active,False
C0129,40,64690070,2019-01-06,2024-12-18,13,Active,False
C0483,53,85183900,2019-02-20,2024-12-18,13,Active,False
C0376,35,49197710,2019-01-31,2024-12-19,12,Active,False
C0301,47,50854440,2019-01-13,2024-12-19,12,Active,False
C0063,43,60573240,2019-02-28,2024-12-19,12,Active,False
C0059,39,47904570,2019-01-21,2024-12-20,11,Active,False
C0395,44,50643860,2019-02-21,2024-12-20,11,Active,False
C0250,45,63230590,2019-03-08,2024-12-20,11,Active,False
C0170,32,37935380,2019-03-21,2024-12-20,11,Active,False
C0270,46,57707880,2019-03-27,2024-12-20,11,Active,False
C0070,48,68783440,2019-02-04,2024-12-20,11,Active,False
C0219,48,62317920,2019-01-09,2024-12-21,10,Active,False
C0174,34,29047310,2019-01-11,2024-12-21,10,Active,False
C0017,40,46619950,2019-01-31,2024-12-21,10,Active,False
C0014,31,43395470,2019-02-17,2024-12-21,10,Active,False
C0381,34,53603960,2019-07-06,2024-12-21,10,Active,False
C0040,45,43439870,2019-02-23,2024-12-21,10,Active,False
C0437,32,38523930,2019-02-09,2024-12-21,10,Active,False
C0147,36,45513830,2019-02-05,2024-12-22,9,Active,False
C0124,47,51329600,2019-01-11,2024-12-22,9,Active,False
C0321,42,48683300,2019-01-04,2024-12-22,9,Active,False
C0323,40,45380540,2019-01-11,2024-12-22,9,Active,False
C0447,39,58830780,2019-01-05,2024-12-23,8,Active,False
C0257,45,60172930,2019-01-18,2024-12-23,8,Active,False
C0284,45,61309650,2019-01-09,2024-12-23,8,Active,False
C0072,30,47027920,2019-06-15,2024-12-23,8,Active,False
C0113,42,65271430,2019-01-13,2024-12-23,8,Active,False
C0036,39,47362410,2019-03-26,2024-12-23,8,Active,False
C0081,40,49127920,2019-01-03,2024-12-23,8,Active,False
C0018,36,46340880,2019-05-31,2024-12-24,7,Active,False
C0282,51,61527530,2019-01-17,2024-12-24,7,Active,False
C0215,53,62827530,2019-02-28,2024-12-24,7,Active,False
C0058,41,44614910,2019-01-23,2024-12-24,7,Active,False
