cohort_month,cohort_index,active_customers,cohort_size,retention_rate,revenue
2019-04,1,41,41,100.0,80343270
2019-04,2,13,41,31.71,15071550
2019-04,3,15,41,36.59,24637460
2019-04,4,19,41,46.34,39488780
2019-04,5,14,41,34.15,21210760
2019-04,6,11,41,26.83,21856960
2019-04,7,19,41,46.34,28162950
2019-04,8,18,41,43.9,22666950
2019-04,9,13,41,31.71,20839910
2019-04,10,20,41,48.78,25603840
2019-04,11,20,41,48.78,40352900
2019-04,12,12,41,29.27,24170850
2019-04,13,21,41,51.22,32037490
2019-04,14,18,41,43.9,30006360
2019-04,15,18,41,43.9,36745620
2019-04,16,18,41,43.9,24897690
2019-04,17,19,41,46.34,35876870
2019-04,18,18,41,43.9,30515920
2019-04,19,17,41,41.46,30425620
2019-04,20,16,41,39.02,23447680
2019-04,21,17,41,41.46,24631470
2019-04,22,21,41,51.22,38036610
2019-04,23,18,41,43.9,23724480
2019-04,24,14,41,34.15,12741670
2019-04,25,17,41,41.46,24105470
2019-04,26,17,41,41.46,26377480
2019-04,27,17,41,41.46,27468400
2019-04,28,23,41,56.1,37066810
2019-04,29,18,41,43.9,20891880
2019-04,30,19,41,46.34,32329640
2019-04,31,18,41,43.9,28039770
2019-04,32,19,41,46.34,25846180
2019-04,33,15,41,36.59,25238930
2019-04,34,18,41,43.9,40250380
2019-04,35,16,41,39.02,26405090
2019-04,36,19,41,46.34,27868020
2019-04,37,16,41,39.02,25296380
2019-04,38,20,41,48.78,41877060
2019-04,39,14,41,34.15,28432380
2019-04,40,16,41,39.02,33911760
2019-04,41,24,41,58.54,32051380
2019-04,42,19,41,46.34,35554120
2019-04,43,17,41,41.46,39071210
2019-04,44,13,41,31.71,16652330
2019-04,45,9,41,21.95,16730000
2019-04,46,17,41,41.46,28823210
2019-04,47,18,41,43.9,55927990
2019-04,48,15,41,36.59,33130870
2019-04,49,20,41,48.78,33472580
2019-04,50,14,41,34.15,16060140
2019-04,51,13,41,31.71,21672840
2019-04,52,15,41,36.59,25652650
2019-04,53,16,41,39.02,28690370
2019-04,54,22,41,53.66,27620760
2019-04,55,14,41,34.15,24600320
2019-04,56,20,41,48.78,35080450
2019-04,57,21,41,51.22,35689930
2019-04,58,24,41,58.54,36257720
2019-04,59,14,41,34.15,18454030
2019-04,60,16,41,39.02,26885780
2019-04,61,17,41,41.46,19651960
2019-04,62,14,41,34.15,35995660
2019-04,63,18,41,43.9,24699390
2019-04,64,15,41,36.59,24563170
2019-04,65,19,41,46.34,35849520
2019-04,66,19,41,46.34,44291840
2019-04,67,19,41,46.34,25729040
2019-04,68,15,41,36.59,27598580
2019-04,69,13,41,31.71,14817030
2019-05,1,25,25,100.0,42383460
2019-05,2,10,25,40.0,24682770
2019-05,3,14,25,56.0,18158550
2019-05,4,15,25,60.0,33284390
2019-05,5,8,25,32.0,13572550
2019-05,6,9,25,36.0,22899210
2019-05,7,6,25,24.0,8886890
2019-05,8,13,25,52.0,24744560
2019-05,9,10,25,40.0,19663430
2019-05,10,10,25,40.0,18367040
2019-05,11,7,25,28.0,13851970
2019-05,12,13,25,52.0,25708670
2019-05,13,9,25,36.0,9201480
2019-05,14,8,25,32.0,11822230
2019-05,15,15,25,60.0,23651590
2019-05,16,10,25,40.0,17226690
2019-05,17,7,25,28.0,7414040
2019-05,18,8,25,32.0,7188910
2019-05,19,21,25,84.0,33480950
2019-05,20,14,25,56.0,24939260
2019-05,21,10,25,40.0,18541120
2019-05,22,5,25,20.0,11724690
2019-05,23,12,25,48.0,23803440
2019-05,24,10,25,40.0,15693710
2019-05,25,9,25,36.0,11968260
2019-05,26,12,25,48.0,22519910
2019-05,27,8,25,32.0,10725670
2019-05,28,8,25,32.0,8747020
2019-05,29,8,25,32.0,12608060
2019-05,30,10,25,40.0,12393810
2019-05,31,15,25,60.0,25055440
2019-05,32,15,25,60.0,22084730
2019-05,33,8,25,32.0,10819750
2019-05,34,11,25,44.0,16832450
2019-05,35,10,25,40.0,17589260
2019-05,36,10,25,40.0,20422930
2019-05,37,9,25,36.0,10148520
2019-05,38,12,25,48.0,27030780
2019-05,39,9,25,36.0,12760710
2019-05,40,11,25,44.0,21317800
2019-05,41,11,25,44.0,17731600
2019-05,42,9,25,36.0,8224320
2019-05,43,9,25,36.0,14032870
2019-05,44,6,25,24.0,12058580
2019-05,45,11,25,44.0,14105720
2019-05,46,9,25,36.0,25154000
2019-05,47,13,25,52.0,24004380
2019-05,48,10,25,40.0,16506220
2019-05,49,9,25,36.0,16893710
2019-05,50,11,25,44.0,19311270
2019-05,51,8,25,32.0,7537550
2019-05,52,10,25,40.0,10086590
2019-05,53,10,25,40.0,13327880
2019-05,54,10,25,40.0,18651330
2019-05,55,8,25,32.0,11562690
2019-05,56,9,25,36.0,7936800
2019-05,57,13,25,52.0,22837010
2019-05,58,13,25,52.0,19866310
2019-05,59,9,25,36.0,13908730
2019-05,60,12,25,48.0,16118540
2019-05,61,11,25,44.0,22987440
2019-05,62,10,25,40.0,10627930
2019-05,63,10,25,40.0,11458520
2019-05,64,11,25,44.0,18369870
2019-05,65,11,25,44.0,11337130
2019-05,66,4,25,16.0,6519890
2019-05,67,15,25,60.0,19914250
2019-05,68,8,25,32.0,15807450
2019-06,1,13,13,100.0,20651320
2019-06,2,7,13,53.85,13144160
2019-06,3,8,13,61.54,14662010
2019-06,4,3,13,23.08,3078470
2019-06,5,6,13,46.15,5241210
2019-06,6,6,13,46.15,4904330
2019-06,7,7,13,53.85,7460610
2019-06,8,6,13,46.15,12288820
2019-06,9,4,13,30.77,3173110
2019-06,10,3,13,23.08,3289200
2019-06,11,6,13,46.15,12836980
2019-06,12,9,13,69.23,15422520
2019-06,13,8,13,61.54,11138230
2019-06,14,5,13,38.46,4053560
2019-06,15,5,13,38.46,6782640
2019-06,16,6,13,46.15,8784160
2019-06,17,8,13,61.54,5255830
2019-06,18,8,13,61.54,15682450
2019-06,19,5,13,38.46,9037630
2019-06,20,6,13,46.15,3149140
2019-06,21,4,13,30.77,6723150
2019-06,22,8,13,61.54,10710410
2019-06,23,4,13,30.77,4857350
2019-06,24,5,13,38.46,3630030
2019-06,25,7,13,53.85,14232270
2019-06,26,3,13,23.08,3994480
2019-06,27,5,13,38.46,8796250
2019-06,28,4,13,30.77,8304540
2019-06,29,4,13,30.77,7322300
2019-06,30,5,13,38.46,12038280
2019-06,31,4,13,30.77,2904950
2019-06,32,5,13,38.46,8155130
2019-06,33,6,13,46.15,10469170
2019-06,34,4,13,30.77,2088050
2019-06,35,5,13,38.46,9452280
2019-06,36,4,13,30.77,6236240
2019-06,37,6,13,46.15,9377140
2019-06,38,1,13,7.69,465500
2019-06,39,8,13,61.54,12037970
2019-06,40,8,13,61.54,13466760
2019-06,41,5,13,38.46,8497290
2019-06,42,8,13,61.54,13060520
2019-06,43,8,13,61.54,16158030
2019-06,44,5,13,38.46,7882960
2019-06,45,5,13,38.46,9747640
2019-06,46,7,13,53.85,10577320
2019-06,47,5,13,38.46,11461100
2019-06,48,6,13,46.15,8972600
2019-06,49,3,13,23.08,10940680
2019-06,50,6,13,46.15,5910120
2019-06,51,8,13,61.54,14009370
2019-06,52,4,13,30.77,8604400
2019-06,53,6,13,46.15,6127440
2019-06,54,3,13,23.08,6197650
2019-06,55,8,13,61.54,16868830
2019-06,56,7,13,53.85,12828580
2019-06,57,4,13,30.77,7837880
2019-06,58,5,13,38.46,7967320
2019-06,59,2,13,15.38,6258280
2019-06,60,4,13,30.77,6001420
2019-06,61,8,13,61.54,10694580
2019-06,62,6,13,46.15,11092830
2019-06,63,6,13,46.15,10906700
2019-06,64,6,13,46.15,9743770
2019-06,65,7,13,53.85,18184210
2019-06,66,5,13,38.46,10295450
2019-06,67,5,13,38.46,7532420
2019-07,1,9,9,100.0,14479010
2019-07,2,5,9,55.56,9227550
2019-07,3,1,9,11.11,4044890
2019-07,4,3,9,33.33,5616000
2019-07,5,7,9,77.78,11921390
2019-07,6,5,9,55.56,6351820
2019-07,7,5,9,55.56,10614150
2019-07,8,2,9,22.22,2726590
2019-07,9,5,9,55.56,3350190
2019-07,10,2,9,22.22,4677450
2019-07,11,5,9,55.56,15775760
2019-07,12,5,9,55.56,7224520
2019-07,13,5,9,55.56,12820990
2019-07,14,3,9,33.33,9592990
2019-07,15,4,9,44.44,8208870
2019-07,16,6,9,66.67,11835560
2019-07,17,3,9,33.33,4285110
2019-07,18,2,9,22.22,3920240
2019-07,19,3,9,33.33,5249620
2019-07,20,4,9,44.44,9807540
2019-07,21,4,9,44.44,7233430
2019-07,22,4,9,44.44,6525360
2019-07,23,4,9,44.44,5102760
2019-07,24,4,9,44.44,9006930
2019-07,25,3,9,33.33,4020700
2019-07,26,5,9,55.56,10812010
2019-07,27,6,9,66.67,8029080
2019-07,28,6,9,66.67,9855210
2019-07,29,4,9,44.44,6919780
2019-07,30,3,9,33.33,11459340
2019-07,31,4,9,44.44,6461750
2019-07,32,5,9,55.56,2858920
2019-07,33,3,9,33.33,5842840
2019-07,34,2,9,22.22,4256950
2019-07,35,6,9,66.67,13359330
2019-07,36,4,9,44.44,3561880
2019-07,37,4,9,44.44,5602970
2019-07,38,5,9,55.56,6092790
2019-07,39,3,9,33.33,2458720
2019-07,40,5,9,55.56,10369530
2019-07,41,4,9,44.44,5535940
2019-07,42,2,9,22.22,2016320
2019-07,43,3,9,33.33,3921320
2019-07,44,5,9,55.56,8257970
2019-07,45,6,9,66.67,13551270
2019-07,46,3,9,33.33,10108630
2019-07,47,5,9,55.56,8988060
2019-07,48,4,9,44.44,6991750
2019-07,49,2,9,22.22,1821030
2019-07,50,3,9,33.33,8050950
2019-07,51,1,9,11.11,1379460
2019-07,52,3,9,33.33,4048500
2019-07,53,2,9,22.22,1420290
2019-07,54,7,9,77.78,14273340
2019-07,55,5,9,55.56,8581720
2019-07,56,3,9,33.33,5798580
2019-07,57,6,9,66.67,14119070
2019-07,58,4,9,44.44,4656050
2019-07,59,2,9,22.22,1064500
2019-07,60,5,9,55.56,10119580
2019-07,61,3,9,33.33,4062860
2019-07,62,7,9,77.78,11065150
2019-07,63,6,9,66.67,8334190
2019-07,64,3,9,33.33,3072910
2019-07,65,5,9,55.56,7650500
2019-07,66,4,9,44.44,7866650
2019-08,1,1,1,100.0,869850
2019-08,2,1,1,100.0,1268700
2019-08,3,1,1,100.0,2036060
2019-08,5,1,1,100.0,3889630
2019-08,6,1,1,100.0,24650
2019-08,14,1,1,100.0,960240
2019-08,16,1,1,100.0,460210
2019-08,17,1,1,100.0,3028850
2019-08,19,1,1,100.0,2418180
2019-08,25,1,1,100.0,766450
2019-08,26,1,1,100.0,18720
2019-08,27,1,1,100.0,4655790
2019-08,34,1,1,100.0,349300
2019-08,37,1,1,100.0,2087870
2019-08,38,1,1,100.0,821830
2019-08,39,1,1,100.0,458050
2019-08,43,1,1,100.0,351840
2019-08,45,1,1,100.0,23550
2019-08,48,1,1,100.0,1865100
2019-08,49,1,1,100.0,1004280
2019-08,52,1,1,100.0,5194900
2019-08,54,1,1,100.0,220650
2019-08,56,1,1,100.0,791100
2019-08,58,1,1,100.0,700210
2019-08,59,1,1,100.0,3566800
2019-08,63,1,1,100.0,1811270
2019-08,64,1,1,100.0,241470
2019-09,1,4,4,100.0,10858500
2019-09,2,2,4,50.0,1881990
2019-09,3,1,4,25.0,1331100
2019-09,4,2,4,50.0,3473570
2019-09,5,2,4,50.0,4031630
2019-09,6,4,4,100.0,6050790
2019-09,7,2,4,50.0,5497730
2019-09,8,2,4,50.0,2962160
2019-09,9,2,4,50.0,1235410
2019-09,10,2,4,50.0,2671350
2019-09,11,2,4,50.0,3151110
2019-09,12,2,4,50.0,2582870
2019-09,13,1,4,25.0,651850
2019-09,14,3,4,75.0,3447330
2019-09,15,1,4,25.0,960
2019-09,16,3,4,75.0,2213370
2019-09,17,3,4,75.0,4581200
2019-09,18,3,4,75.0,6923740
2019-09,19,3,4,75.0,6489530
2019-09,20,3,4,75.0,2243470
2019-09,21,1,4,25.0,355750
2019-09,22,1,4,25.0,1743100
2019-09,23,1,4,25.0,3404490
2019-09,24,1,4,25.0,1378740
2019-09,25,2,4,50.0,2428490
2019-09,26,2,4,50.0,4904500
2019-09,27,4,4,100.0,6915110
2019-09,28,1,4,25.0,1188250
2019-09,30,2,4,50.0,1811720
2019-09,31,3,4,75.0,8534210
2019-09,32,1,4,25.0,3792200
2019-09,33,3,4,75.0,4796370
2019-09,34,2,4,50.0,6090180
2019-09,35,2,4,50.0,4912920
2019-09,36,1,4,25.0,1628910
2019-09,37,1,4,25.0,4399480
2019-09,38,3,4,75.0,7924910
2019-09,39,3,4,75.0,7040910
2019-09,40,1,4,25.0,926420
2019-09,41,1,4,25.0,267700
2019-09,42,2,4,50.0,1745000
2019-09,43,2,4,50.0,7254180
2019-09,44,1,4,25.0,519900
2019-09,45,2,4,50.0,3072500
2019-09,46,1,4,25.0,289120
2019-09,47,3,4,75.0,3436970
2019-09,48,2,4,50.0,6182600
2019-09,50,1,4,25.0,3202700
2019-09,51,4,4,100.0,10551960
2019-09,52,1,4,25.0,468000
2019-09,53,3,4,75.0,3755750
2019-09,54,3,4,75.0,5997470
2019-09,55,1,4,25.0,252150
2019-09,56,1,4,25.0,1158600
2019-09,57,2,4,50.0,7294080
2019-09,58,3,4,75.0,10599150
2019-09,59,2,4,50.0,2923530
2019-09,60,1,4,25.0,250550
2019-09,61,2,4,50.0,4551430
2019-09,62,2,4,50.0,1304180
2019-09,63,1,4,25.0,235860
2019-09,64,1,4,25.0,1865420
2019-10,1,2,2,100.0,2566570
2019-10,2,1,2,50.0,515560
2019-10,3,1,2,50.0,158200
2019-10,5,1,2,50.0,3336500
2019-10,6,1,2,50.0,1149750
2019-10,7,1,2,50.0,9000
2019-10,8,2,2,100.0,4285580
2019-10,9,1,2,50.0,343660
2019-10,11,1,2,50.0,600930
2019-10,12,1,2,50.0,1473940
2019-10,13,1,2,50.0,1308390
2019-10,14,2,2,100.0,3806530
2019-10,15,1,2,50.0,356200
2019-10,16,1,2,50.0,2318240
2019-10,17,2,2,100.0,2586190
2019-10,18,1,2,50.0,949700
2019-10,19,1,2,50.0,51000
2019-10,20,2,2,100.0,3818300
2019-10,21,1,2,50.0,511100
2019-10,22,1,2,50.0,863940
2019-10,25,2,2,100.0,1552790
2019-10,26,1,2,50.0,962170
2019-10,27,1,2,50.0,1725800
2019-10,29,2,2,100.0,3075980
2019-10,31,2,2,100.0,2265490
2019-10,33,1,2,50.0,2029700
2019-10,34,2,2,100.0,9694520
2019-10,35,1,2,50.0,2862890
2019-10,36,1,2,50.0,5130400
2019-10,37,1,2,50.0,3543450
2019-10,38,1,2,50.0,3807510
2019-10,40,1,2,50.0,343570
2019-10,41,2,2,100.0,2235940
2019-10,42,2,2,100.0,2416830
2019-10,43,1,2,50.0,2558470
2019-10,45,1,2,50.0,1088090
2019-10,47,1,2,50.0,3321690
2019-10,48,2,2,100.0,2638110
2019-10,49,1,2,50.0,2685330
2019-10,50,1,2,50.0,924440
2019-10,52,2,2,100.0,3810420
2019-10,54,1,2,50.0,1410350
2019-10,55,1,2,50.0,940540
2019-10,61,2,2,100.0,7834650
2019-10,62,1,2,50.0,544390
2019-12,1,1,1,100.0,2051800
2019-12,2,1,1,100.0,1318170
2019-12,7,1,1,100.0,1967680
2019-12,8,1,1,100.0,449560
2019-12,9,1,1,100.0,4162440
2019-12,12,1,1,100.0,762780
2019-12,13,1,1,100.0,749760
2019-12,14,1,1,100.0,1857750
2019-12,16,1,1,100.0,6842380
2019-12,22,1,1,100.0,5528430
2019-12,23,1,1,100.0,269220
2019-12,25,1,1,100.0,1122890
2019-12,29,1,1,100.0,439800
2019-12,34,1,1,100.0,781550
2019-12,38,1,1,100.0,4008650
2019-12,39,1,1,100.0,1419500
2019-12,40,1,1,100.0,1553850
2019-12,43,1,1,100.0,3188860
2019-12,44,1,1,100.0,2110900
2019-12,45,1,1,100.0,3524630
2019-12,51,1,1,100.0,2292150
2019-12,52,1,1,100.0,1511470
2019-12,53,1,1,100.0,386400
2019-12,54,1,1,100.0,1713790
2019-12,57,1,1,100.0,2110870
2019-12,60,1,1,100.0,8078810
2019-12,61,1,1,100.0,3816400
