product_id,branch_id,opening_stock,current_stock,reorder_level,safety_stock,max_stock,warehouse_bin,reorder_gap,safety_stock_gap,overstock_quantity,stock_status,risk_level,recommended_action,stock_utilisation_pct,risk_rank
P002,PUN001,113,101623,41,27,180,E01,-101582,-101596,101443,Overstock,Medium Risk,Reduce Inventory,56457.22,2
P008,HYD001,270,101753,93,75,467,A08,-101660,-101678,101286,Overstock,Medium Risk,Reduce Inventory,21788.65,2
P024,HYD001,273,101998,86,66,415,A14,-101912,-101932,101583,Overstock,Medium Risk,Reduce Inventory,24577.83,2
P028,HYD001,129,102248,47,37,199,E08,-102201,-102211,102049,Overstock,Medium Risk,Reduce Inventory,51380.9,2
P003,AHM001,238,102501,82,48,475,C06,-102419,-102453,102026,Overstock,Medium Risk,Reduce Inventory,21579.16,2
P020,HYD001,161,102636,64,46,273,A15,-102572,-102590,102363,Overstock,Medium Risk,Reduce Inventory,37595.6,2
P020,AHM001,142,102706,54,28,270,F16,-102652,-102678,102436,Overstock,Medium Risk,Reduce Inventory,38039.26,2
P020,PUN001,80,102734,24,16,140,E12,-102710,-102718,102594,Overstock,Medium Risk,Reduce Inventory,73381.43,2
P009,DEL001,147,102816,57,32,261,D10,-102759,-102784,102555,Overstock,Medium Risk,Reduce Inventory,39393.1,2
P016,PUN001,217,103006,74,47,371,A07,-102932,-102959,102635,Overstock,Medium Risk,Reduce Inventory,27764.42,2
P030,DEL001,184,103131,64,53,336,E17,-103067,-103078,102795,Overstock,Medium Risk,Reduce Inventory,30693.75,2
P030,AHM001,134,103248,46,40,231,D06,-103202,-103208,103017,Overstock,Medium Risk,Reduce Inventory,44696.1,2
P028,CHN001,120,103464,43,29,198,E04,-103421,-103435,103266,Overstock,Medium Risk,Reduce Inventory,52254.55,2
P030,KOL001,199,103465,73,43,365,C10,-103392,-103422,103100,Overstock,Medium Risk,Reduce Inventory,28346.58,2
P022,AHM001,156,103495,54,37,254,E03,-103441,-103458,103241,Overstock,Medium Risk,Reduce Inventory,40746.06,2
P026,DEL001,96,103678,28,22,186,C13,-103650,-103656,103492,Overstock,Medium Risk,Reduce Inventory,55740.86,2
P026,AHM001,263,103793,89,65,445,E03,-103704,-103728,103348,Overstock,Medium Risk,Reduce Inventory,23324.27,2
P001,KOL001,263,103808,94,58,475,F03,-103714,-103750,103333,Overstock,Medium Risk,Reduce Inventory,21854.32,2
P004,CHN001,171,103984,58,41,339,A15,-103926,-103943,103645,Overstock,Medium Risk,Reduce Inventory,30673.75,2
P016,DEL001,242,104189,84,66,434,A02,-104105,-104123,103755,Overstock,Medium Risk,Reduce Inventory,24006.68,2
P005,KOL001,215,104202,83,43,357,B19,-104119,-104159,103845,Overstock,Medium Risk,Reduce Inventory,29188.24,2
P013,PUN001,80,104221,25,16,133,F04,-104196,-104205,104088,Overstock,Medium Risk,Reduce Inventory,78361.65,2
P020,DEL001,91,104360,31,24,140,A07,-104329,-104336,104220,Overstock,Medium Risk,Reduce Inventory,74542.86,2
P030,HYD001,162,104611,53,40,268,D14,-104558,-104571,104343,Overstock,Medium Risk,Reduce Inventory,39033.96,2
P027,HYD001,123,104746,46,29,211,B02,-104700,-104717,104535,Overstock,Medium Risk,Reduce Inventory,49642.65,2
P017,PUN001,206,104847,63,56,331,F06,-104784,-104791,104516,Overstock,Medium Risk,Reduce Inventory,31675.83,2
P028,KOL001,254,104851,76,75,437,B09,-104775,-104776,104414,Overstock,Medium Risk,Reduce Inventory,23993.36,2
P004,PUN001,171,104859,55,37,265,E16,-104804,-104822,104594,Overstock,Medium Risk,Reduce Inventory,39569.43,2
P003,DEL001,113,104884,44,31,190,B07,-104840,-104853,104694,Overstock,Medium Risk,Reduce Inventory,55202.11,2
P029,KOL001,150,105010,57,40,299,F06,-104953,-104970,104711,Overstock,Medium Risk,Reduce Inventory,35120.4,2
P015,AHM001,85,105135,28,24,131,A13,-105107,-105111,105004,Overstock,Medium Risk,Reduce Inventory,80255.73,2
P026,PUN001,112,105190,36,33,189,B09,-105154,-105157,105001,Overstock,Medium Risk,Reduce Inventory,55656.08,2
P014,AHM001,108,105345,32,27,171,E07,-105313,-105318,105174,Overstock,Medium Risk,Reduce Inventory,61605.26,2
P013,KOL001,129,105381,44,26,233,F03,-105337,-105355,105148,Overstock,Medium Risk,Reduce Inventory,45227.9,2
P021,PUN001,159,105385,59,32,287,C11,-105326,-105353,105098,Overstock,Medium Risk,Reduce Inventory,36719.51,2
P019,AHM001,217,105387,85,46,378,A03,-105302,-105341,105009,Overstock,Medium Risk,Reduce Inventory,27880.16,2
P028,PUN001,279,105401,100,56,522,B17,-105301,-105345,104879,Overstock,Medium Risk,Reduce Inventory,20191.76,2
P030,CHN001,125,105447,46,28,246,F19,-105401,-105419,105201,Overstock,Medium Risk,Reduce Inventory,42864.63,2
P023,HYD001,82,105798,31,16,134,C14,-105767,-105782,105664,Overstock,Medium Risk,Reduce Inventory,78953.73,2
P002,CHN001,267,105885,102,76,465,B04,-105783,-105809,105420,Overstock,Medium Risk,Reduce Inventory,22770.97,2
P014,KOL001,268,105994,106,60,519,D06,-105888,-105934,105475,Overstock,Medium Risk,Reduce Inventory,20422.74,2
P016,HYD001,103,106040,35,24,177,A01,-106005,-106016,105863,Overstock,Medium Risk,Reduce Inventory,59909.6,2
P015,PUN001,134,106048,43,34,210,A13,-106005,-106014,105838,Overstock,Medium Risk,Reduce Inventory,50499.05,2
P012,HYD001,128,106209,42,28,241,F04,-106167,-106181,105968,Overstock,Medium Risk,Reduce Inventory,44070.12,2
P007,AHM001,146,106222,50,38,267,C13,-106172,-106184,105955,Overstock,Medium Risk,Reduce Inventory,39783.52,2
P017,CHN001,178,106266,59,45,300,C15,-106207,-106221,105966,Overstock,Medium Risk,Reduce Inventory,35422.0,2
P013,CHN001,156,106476,56,45,307,D08,-106420,-106431,106169,Overstock,Medium Risk,Reduce Inventory,34682.74,2
P003,HYD001,272,106658,95,72,422,E12,-106563,-106586,106236,Overstock,Medium Risk,Reduce Inventory,25274.41,2
P008,DEL001,298,106667,116,69,572,C16,-106551,-106598,106095,Overstock,Medium Risk,Reduce Inventory,18648.08,2
P001,AHM001,236,106714,77,53,455,C20,-106637,-106661,106259,Overstock,Medium Risk,Reduce Inventory,23453.63,2
P028,DEL001,207,106744,81,58,353,C01,-106663,-106686,106391,Overstock,Medium Risk,Reduce Inventory,30239.09,2
P027,DEL001,98,106775,31,26,193,C04,-106744,-106749,106582,Overstock,Medium Risk,Reduce Inventory,55323.83,2
P012,AHM001,103,106861,32,24,156,F11,-106829,-106837,106705,Overstock,Medium Risk,Reduce Inventory,68500.64,2
P010,DEL001,133,106895,43,37,220,D11,-106852,-106858,106675,Overstock,Medium Risk,Reduce Inventory,48588.64,2
P024,CHN001,119,107215,44,27,204,D14,-107171,-107188,107011,Overstock,Medium Risk,Reduce Inventory,52556.37,2
P023,CHN001,149,107267,53,40,231,B12,-107214,-107227,107036,Overstock,Medium Risk,Reduce Inventory,46435.93,2
P006,AHM001,170,107359,62,43,291,A01,-107297,-107316,107068,Overstock,Medium Risk,Reduce Inventory,36893.13,2
P002,KOL001,288,107584,105,73,511,F18,-107479,-107511,107073,Overstock,Medium Risk,Reduce Inventory,21053.62,2
P011,HYD001,148,107771,46,41,244,B01,-107725,-107730,107527,Overstock,Medium Risk,Reduce Inventory,44168.44,2
P024,AHM001,268,107810,104,58,425,C07,-107706,-107752,107385,Overstock,Medium Risk,Reduce Inventory,25367.06,2
P003,CHN001,191,107840,62,39,365,C09,-107778,-107801,107475,Overstock,Medium Risk,Reduce Inventory,29545.21,2
P012,CHN001,155,107886,54,32,274,A16,-107832,-107854,107612,Overstock,Medium Risk,Reduce Inventory,39374.45,2
P017,KOL001,208,108003,72,56,344,B06,-107931,-107947,107659,Overstock,Medium Risk,Reduce Inventory,31396.22,2
P005,AHM001,106,108136,37,29,175,B06,-108099,-108107,107961,Overstock,Medium Risk,Reduce Inventory,61792.0,2
P021,AHM001,293,108168,110,60,554,E10,-108058,-108108,107614,Overstock,Medium Risk,Reduce Inventory,19524.91,2
P023,PUN001,115,108328,40,26,198,A10,-108288,-108302,108130,Overstock,Medium Risk,Reduce Inventory,54711.11,2
P027,AHM001,151,108337,51,33,294,F10,-108286,-108304,108043,Overstock,Medium Risk,Reduce Inventory,36849.32,2
P026,HYD001,203,108348,75,54,314,E17,-108273,-108294,108034,Overstock,Medium Risk,Reduce Inventory,34505.73,2
P008,CHN001,265,108381,104,75,477,A08,-108277,-108306,107904,Overstock,Medium Risk,Reduce Inventory,22721.38,2
P005,PUN001,262,108488,89,76,436,B10,-108399,-108412,108052,Overstock,Medium Risk,Reduce Inventory,24882.57,2
P013,DEL001,126,108520,48,27,249,E18,-108472,-108493,108271,Overstock,Medium Risk,Reduce Inventory,43582.33,2
P029,DEL001,98,108622,33,27,174,E17,-108589,-108595,108448,Overstock,Medium Risk,Reduce Inventory,62426.44,2
P002,DEL001,166,108628,57,35,261,A06,-108571,-108593,108367,Overstock,Medium Risk,Reduce Inventory,41619.92,2
P011,PUN001,86,108691,31,20,138,F06,-108660,-108671,108553,Overstock,Medium Risk,Reduce Inventory,78761.59,2
P007,CHN001,230,108692,77,46,434,E17,-108615,-108646,108258,Overstock,Medium Risk,Reduce Inventory,25044.24,2
P001,HYD001,226,108772,71,65,417,A10,-108701,-108707,108355,Overstock,Medium Risk,Reduce Inventory,26084.41,2
P026,CHN001,113,108895,36,33,181,A03,-108859,-108862,108714,Overstock,Medium Risk,Reduce Inventory,60162.98,2
P022,CHN001,138,109061,44,31,227,A02,-109017,-109030,108834,Overstock,Medium Risk,Reduce Inventory,48044.49,2
P006,KOL001,105,109176,33,28,181,B13,-109143,-109148,108995,Overstock,Medium Risk,Reduce Inventory,60318.23,2
P008,AHM001,259,109281,85,57,430,D10,-109196,-109224,108851,Overstock,Medium Risk,Reduce Inventory,25414.19,2
P019,PUN001,116,109388,36,27,207,C04,-109352,-109361,109181,Overstock,Medium Risk,Reduce Inventory,52844.44,2
P001,PUN001,198,109389,70,43,349,D16,-109319,-109346,109040,Overstock,Medium Risk,Reduce Inventory,31343.55,2
P029,PUN001,115,109429,40,28,225,C10,-109389,-109401,109204,Overstock,Medium Risk,Reduce Inventory,48635.11,2
P006,HYD001,275,109564,84,62,472,F19,-109480,-109502,109092,Overstock,Medium Risk,Reduce Inventory,23212.71,2
P012,KOL001,188,109625,67,51,368,F17,-109558,-109574,109257,Overstock,Medium Risk,Reduce Inventory,29789.4,2
P011,KOL001,300,109669,113,68,582,B08,-109556,-109601,109087,Overstock,Medium Risk,Reduce Inventory,18843.47,2
P017,AHM001,276,109921,99,82,542,E01,-109822,-109839,109379,Overstock,Medium Risk,Reduce Inventory,20280.63,2
P025,DEL001,180,109936,54,49,310,F11,-109882,-109887,109626,Overstock,Medium Risk,Reduce Inventory,35463.23,2
P004,HYD001,193,109943,62,49,363,D18,-109881,-109894,109580,Overstock,Medium Risk,Reduce Inventory,30287.33,2
P015,HYD001,149,110035,56,43,226,A16,-109979,-109992,109809,Overstock,Medium Risk,Reduce Inventory,48688.05,2
P004,KOL001,115,110042,44,33,187,B06,-109998,-110009,109855,Overstock,Medium Risk,Reduce Inventory,58845.99,2
P025,CHN001,300,110058,112,85,564,B12,-109946,-109973,109494,Overstock,Medium Risk,Reduce Inventory,19513.83,2
P025,PUN001,191,110083,68,45,300,A15,-110015,-110038,109783,Overstock,Medium Risk,Reduce Inventory,36694.33,2
P003,KOL001,234,110093,80,52,386,D02,-110013,-110041,109707,Overstock,Medium Risk,Reduce Inventory,28521.5,2
P004,DEL001,172,110145,57,35,267,A14,-110088,-110110,109878,Overstock,Medium Risk,Reduce Inventory,41252.81,2
P010,HYD001,171,110225,62,46,307,F12,-110163,-110179,109918,Overstock,Medium Risk,Reduce Inventory,35903.91,2
P002,AHM001,102,110279,36,27,179,E04,-110243,-110252,110100,Overstock,Medium Risk,Reduce Inventory,61608.38,2
P007,PUN001,231,110464,72,58,459,C08,-110392,-110406,110005,Overstock,Medium Risk,Reduce Inventory,24066.23,2
P009,KOL001,104,110547,35,25,201,E10,-110512,-110522,110346,Overstock,Medium Risk,Reduce Inventory,54998.51,2
P024,PUN001,128,110555,41,31,232,C02,-110514,-110524,110323,Overstock,Medium Risk,Reduce Inventory,47653.02,2
P025,KOL001,290,110579,113,84,499,C08,-110466,-110495,110080,Overstock,Medium Risk,Reduce Inventory,22160.12,2
P011,CHN001,155,110667,50,32,233,E15,-110617,-110635,110434,Overstock,Medium Risk,Reduce Inventory,47496.57,2
P006,CHN001,119,110681,41,31,181,D03,-110640,-110650,110500,Overstock,Medium Risk,Reduce Inventory,61149.72,2
P022,DEL001,187,110752,68,41,315,E20,-110684,-110711,110437,Overstock,Medium Risk,Reduce Inventory,35159.37,2
P005,DEL001,242,110862,94,63,463,E03,-110768,-110799,110399,Overstock,Medium Risk,Reduce Inventory,23944.28,2
P016,AHM001,95,110893,33,25,164,D04,-110860,-110868,110729,Overstock,Medium Risk,Reduce Inventory,67617.68,2
P006,PUN001,210,111016,69,43,356,F02,-110947,-110973,110660,Overstock,Medium Risk,Reduce Inventory,31184.27,2
P013,HYD001,233,111295,86,52,412,D06,-111209,-111243,110883,Overstock,Medium Risk,Reduce Inventory,27013.35,2
P014,HYD001,200,111315,71,50,377,C17,-111244,-111265,110938,Overstock,Medium Risk,Reduce Inventory,29526.53,2
P009,PUN001,186,111320,56,37,345,F09,-111264,-111283,110975,Overstock,Medium Risk,Reduce Inventory,32266.67,2
P014,DEL001,203,111321,72,44,384,B15,-111249,-111277,110937,Overstock,Medium Risk,Reduce Inventory,28989.84,2
P022,PUN001,299,111353,119,60,487,B16,-111234,-111293,110866,Overstock,Medium Risk,Reduce Inventory,22865.09,2
P009,CHN001,226,111456,89,53,387,D11,-111367,-111403,111069,Overstock,Medium Risk,Reduce Inventory,28800.0,2
P018,PUN001,155,111530,55,41,293,A10,-111475,-111489,111237,Overstock,Medium Risk,Reduce Inventory,38064.85,2
P023,KOL001,141,111851,49,30,273,D12,-111802,-111821,111578,Overstock,Medium Risk,Reduce Inventory,40971.06,2
P016,CHN001,180,112003,71,45,309,C19,-111932,-111958,111694,Overstock,Medium Risk,Reduce Inventory,36246.93,2
P024,KOL001,155,112198,58,38,242,B18,-112140,-112160,111956,Overstock,Medium Risk,Reduce Inventory,46362.81,2
P011,DEL001,243,112300,85,64,369,B01,-112215,-112236,111931,Overstock,Medium Risk,Reduce Inventory,30433.6,2
P030,PUN001,147,112388,52,35,283,A05,-112336,-112353,112105,Overstock,Medium Risk,Reduce Inventory,39713.07,2
P007,HYD001,298,112543,93,61,548,C16,-112450,-112482,111995,Overstock,Medium Risk,Reduce Inventory,20537.04,2
P012,PUN001,177,112603,68,52,308,B05,-112535,-112551,112295,Overstock,Medium Risk,Reduce Inventory,36559.42,2
P027,PUN001,214,112683,70,58,376,C02,-112613,-112625,112307,Overstock,Medium Risk,Reduce Inventory,29968.88,2
P029,HYD001,192,112739,76,55,324,F08,-112663,-112684,112415,Overstock,Medium Risk,Reduce Inventory,34795.99,2
P005,HYD001,178,112865,62,51,341,C13,-112803,-112814,112524,Overstock,Medium Risk,Reduce Inventory,33098.24,2
P018,HYD001,210,112953,78,58,322,E13,-112875,-112895,112631,Overstock,Medium Risk,Reduce Inventory,35078.57,2
P017,DEL001,243,112971,93,72,479,B15,-112878,-112899,112492,Overstock,Medium Risk,Reduce Inventory,23584.76,2
P022,HYD001,140,112997,46,33,226,F19,-112951,-112964,112771,Overstock,Medium Risk,Reduce Inventory,49998.67,2
P020,CHN001,300,113260,105,84,454,F01,-113155,-113176,112806,Overstock,Medium Risk,Reduce Inventory,24947.14,2
P018,CHN001,283,113318,98,74,564,A15,-113220,-113244,112754,Overstock,Medium Risk,Reduce Inventory,20091.84,2
P014,PUN001,87,113386,33,20,164,E17,-113353,-113366,113222,Overstock,Medium Risk,Reduce Inventory,69137.8,2
P010,CHN001,120,113425,44,29,191,B09,-113381,-113396,113234,Overstock,Medium Risk,Reduce Inventory,59384.82,2
P025,HYD001,83,113613,26,21,133,B16,-113587,-113592,113480,Overstock,Medium Risk,Reduce Inventory,85423.31,2
P023,DEL001,186,113718,73,49,313,B18,-113645,-113669,113405,Overstock,Medium Risk,Reduce Inventory,36331.63,2
P015,CHN001,239,113851,91,57,370,C20,-113760,-113794,113481,Overstock,Medium Risk,Reduce Inventory,30770.54,2
P005,CHN001,172,114267,68,40,336,E05,-114199,-114227,113931,Overstock,Medium Risk,Reduce Inventory,34008.04,2
P014,CHN001,157,114302,60,40,303,F14,-114242,-114262,113999,Overstock,Medium Risk,Reduce Inventory,37723.43,2
P023,AHM001,238,114558,90,50,434,B10,-114468,-114508,114124,Overstock,Medium Risk,Reduce Inventory,26395.85,2
P010,PUN001,159,114565,48,45,267,D20,-114517,-114520,114298,Overstock,Medium Risk,Reduce Inventory,42908.24,2
P018,DEL001,282,114627,106,74,508,D12,-114521,-114553,114119,Overstock,Medium Risk,Reduce Inventory,22564.37,2
P010,AHM001,128,115149,43,27,245,C09,-115106,-115122,114904,Overstock,Medium Risk,Reduce Inventory,46999.59,2
P021,DEL001,152,115902,59,40,257,F08,-115843,-115862,115645,Overstock,Medium Risk,Reduce Inventory,45098.05,2
P001,DEL001,196,115928,59,46,340,C15,-115869,-115882,115588,Overstock,Medium Risk,Reduce Inventory,34096.47,2
P024,DEL001,280,116412,99,56,469,A17,-116313,-116356,115943,Overstock,Medium Risk,Reduce Inventory,24821.32,2
P017,HYD001,88,117058,26,23,172,F05,-117032,-117035,116886,Overstock,Medium Risk,Reduce Inventory,68056.98,2
P003,PUN001,218,118139,72,44,359,F09,-118067,-118095,117780,Overstock,Medium Risk,Reduce Inventory,32907.8,2
P019,DEL001,125,118200,37,27,208,D07,-118163,-118173,117992,Overstock,Medium Risk,Reduce Inventory,56826.92,2
P007,DEL001,205,119439,79,59,383,C04,-119360,-119380,119056,Overstock,Medium Risk,Reduce Inventory,31185.12,2
P012,DEL001,257,119923,98,67,489,D13,-119825,-119856,119434,Overstock,Medium Risk,Reduce Inventory,24524.13,2
P002,HYD001,219,121013,78,64,383,A02,-120935,-120949,120630,Overstock,Medium Risk,Reduce Inventory,31596.08,2
