product_id,branch_id,opening_stock,current_stock,reorder_level,safety_stock,max_stock,warehouse_bin,reorder_gap,safety_stock_gap,max_stock_gap,stock_utilisation_pct,stock_health_status,risk_level,stock_health_score,risk_rank
P007,CHN001,230,108692,77,46,434,E17,108615,108646,-108258,25044.24,Overstock,Medium Risk,50,2
P007,HYD001,298,112543,93,61,548,C16,112450,112482,-111995,20537.04,Overstock,Medium Risk,50,2
P007,KOL001,273,99463,93,62,438,C03,99370,99401,-99025,22708.45,Overstock,Medium Risk,50,2
P007,AHM001,146,106222,50,38,267,C13,106172,106184,-105955,39783.52,Overstock,Medium Risk,50,2
P008,DEL001,298,106667,116,69,572,C16,106551,106598,-106095,18648.08,Overstock,Medium Risk,50,2
P008,PUN001,86,99151,33,17,147,D12,99118,99134,-99004,67449.66,Overstock,Medium Risk,50,2
P008,CHN001,265,108381,104,75,477,A08,108277,108306,-107904,22721.38,Overstock,Medium Risk,50,2
P008,HYD001,270,101753,93,75,467,A08,101660,101678,-101286,21788.65,Overstock,Medium Risk,50,2
P008,KOL001,135,99461,43,30,262,D04,99418,99431,-99199,37962.21,Overstock,Medium Risk,50,2
P008,AHM001,259,109281,85,57,430,D10,109196,109224,-108851,25414.19,Overstock,Medium Risk,50,2
P009,DEL001,147,102816,57,32,261,D10,102759,102784,-102555,39393.1,Overstock,Medium Risk,50,2
P009,PUN001,186,111320,56,37,345,F09,111264,111283,-110975,32266.67,Overstock,Medium Risk,50,2
P009,CHN001,226,111456,89,53,387,D11,111367,111403,-111069,28800.0,Overstock,Medium Risk,50,2
P009,HYD001,282,100071,101,82,436,D03,99970,99989,-99635,22952.06,Overstock,Medium Risk,50,2
P009,KOL001,104,110547,35,25,201,E10,110512,110522,-110346,54998.51,Overstock,Medium Risk,50,2
P009,AHM001,183,95731,61,44,333,B15,95670,95687,-95398,28748.05,Overstock,Medium Risk,50,2
P010,DEL001,133,106895,43,37,220,D11,106852,106858,-106675,48588.64,Overstock,Medium Risk,50,2
P010,PUN001,159,114565,48,45,267,D20,114517,114520,-114298,42908.24,Overstock,Medium Risk,50,2
P010,CHN001,120,113425,44,29,191,B09,113381,113396,-113234,59384.82,Overstock,Medium Risk,50,2
P010,HYD001,171,110225,62,46,307,F12,110163,110179,-109918,35903.91,Overstock,Medium Risk,50,2
P010,KOL001,179,100989,61,46,294,A13,100928,100943,-100695,34350.0,Overstock,Medium Risk,50,2
P010,AHM001,128,115149,43,27,245,C09,115106,115122,-114904,46999.59,Overstock,Medium Risk,50,2
P011,DEL001,243,112300,85,64,369,B01,112215,112236,-111931,30433.6,Overstock,Medium Risk,50,2
P011,PUN001,86,108691,31,20,138,F06,108660,108671,-108553,78761.59,Overstock,Medium Risk,50,2
P011,CHN001,155,110667,50,32,233,E15,110617,110635,-110434,47496.57,Overstock,Medium Risk,50,2
P011,HYD001,148,107771,46,41,244,B01,107725,107730,-107527,44168.44,Overstock,Medium Risk,50,2
P011,KOL001,300,109669,113,68,582,B08,109556,109601,-109087,18843.47,Overstock,Medium Risk,50,2
P011,AHM001,211,101291,66,50,410,D13,101225,101241,-100881,24705.12,Overstock,Medium Risk,50,2
P012,DEL001,257,119923,98,67,489,D13,119825,119856,-119434,24524.13,Overstock,Medium Risk,50,2
P012,PUN001,177,112603,68,52,308,B05,112535,112551,-112295,36559.42,Overstock,Medium Risk,50,2
P012,CHN001,155,107886,54,32,274,A16,107832,107854,-107612,39374.45,Overstock,Medium Risk,50,2
P012,HYD001,128,106209,42,28,241,F04,106167,106181,-105968,44070.12,Overstock,Medium Risk,50,2
P012,KOL001,188,109625,67,51,368,F17,109558,109574,-109257,29789.4,Overstock,Medium Risk,50,2
P012,AHM001,103,106861,32,24,156,F11,106829,106837,-106705,68500.64,Overstock,Medium Risk,50,2
P013,DEL001,126,108520,48,27,249,E18,108472,108493,-108271,43582.33,Overstock,Medium Risk,50,2
P013,PUN001,80,104221,25,16,133,F04,104196,104205,-104088,78361.65,Overstock,Medium Risk,50,2
P013,CHN001,156,106476,56,45,307,D08,106420,106431,-106169,34682.74,Overstock,Medium Risk,50,2
P013,HYD001,233,111295,86,52,412,D06,111209,111243,-110883,27013.35,Overstock,Medium Risk,50,2
P013,KOL001,129,105381,44,26,233,F03,105337,105355,-105148,45227.9,Overstock,Medium Risk,50,2
P013,AHM001,84,98687,25,22,150,E04,98662,98665,-98537,65791.33,Overstock,Medium Risk,50,2
P014,DEL001,203,111321,72,44,384,B15,111249,111277,-110937,28989.84,Overstock,Medium Risk,50,2
P014,PUN001,87,113386,33,20,164,E17,113353,113366,-113222,69137.8,Overstock,Medium Risk,50,2
P014,CHN001,157,114302,60,40,303,F14,114242,114262,-113999,37723.43,Overstock,Medium Risk,50,2
P014,HYD001,200,111315,71,50,377,C17,111244,111265,-110938,29526.53,Overstock,Medium Risk,50,2
P014,KOL001,268,105994,106,60,519,D06,105888,105934,-105475,20422.74,Overstock,Medium Risk,50,2
P014,AHM001,108,105345,32,27,171,E07,105313,105318,-105174,61605.26,Overstock,Medium Risk,50,2
P015,DEL001,223,100967,75,60,387,E12,100892,100907,-100580,26089.66,Overstock,Medium Risk,50,2
P015,PUN001,134,106048,43,34,210,A13,106005,106014,-105838,50499.05,Overstock,Medium Risk,50,2
P015,CHN001,239,113851,91,57,370,C20,113760,113794,-113481,30770.54,Overstock,Medium Risk,50,2
P015,HYD001,149,110035,56,43,226,A16,109979,109992,-109809,48688.05,Overstock,Medium Risk,50,2
P015,KOL001,292,96547,116,81,508,B18,96431,96466,-96039,19005.31,Overstock,Medium Risk,50,2
P015,AHM001,85,105135,28,24,131,A13,105107,105111,-105004,80255.73,Overstock,Medium Risk,50,2
P016,DEL001,242,104189,84,66,434,A02,104105,104123,-103755,24006.68,Overstock,Medium Risk,50,2
P016,PUN001,217,103006,74,47,371,A07,102932,102959,-102635,27764.42,Overstock,Medium Risk,50,2
P016,CHN001,180,112003,71,45,309,C19,111932,111958,-111694,36246.93,Overstock,Medium Risk,50,2
P016,HYD001,103,106040,35,24,177,A01,106005,106016,-105863,59909.6,Overstock,Medium Risk,50,2
P016,KOL001,148,97829,49,32,277,D04,97780,97797,-97552,35317.33,Overstock,Medium Risk,50,2
P016,AHM001,95,110893,33,25,164,D04,110860,110868,-110729,67617.68,Overstock,Medium Risk,50,2
P017,DEL001,243,112971,93,72,479,B15,112878,112899,-112492,23584.76,Overstock,Medium Risk,50,2
P017,PUN001,206,104847,63,56,331,F06,104784,104791,-104516,31675.83,Overstock,Medium Risk,50,2
P017,CHN001,178,106266,59,45,300,C15,106207,106221,-105966,35422.0,Overstock,Medium Risk,50,2
P017,HYD001,88,117058,26,23,172,F05,117032,117035,-116886,68056.98,Overstock,Medium Risk,50,2
P017,KOL001,208,108003,72,56,344,B06,107931,107947,-107659,31396.22,Overstock,Medium Risk,50,2
P017,AHM001,276,109921,99,82,542,E01,109822,109839,-109379,20280.63,Overstock,Medium Risk,50,2
P018,DEL001,282,114627,106,74,508,D12,114521,114553,-114119,22564.37,Overstock,Medium Risk,50,2
P018,PUN001,155,111530,55,41,293,A10,111475,111489,-111237,38064.85,Overstock,Medium Risk,50,2
P018,CHN001,283,113318,98,74,564,A15,113220,113244,-112754,20091.84,Overstock,Medium Risk,50,2
P018,HYD001,210,112953,78,58,322,E13,112875,112895,-112631,35078.57,Overstock,Medium Risk,50,2
P018,KOL001,161,96607,59,42,284,B03,96548,96565,-96323,34016.55,Overstock,Medium Risk,50,2
P018,AHM001,262,101420,89,64,438,F08,101331,101356,-100982,23155.25,Overstock,Medium Risk,50,2
P019,DEL001,125,118200,37,27,208,D07,118163,118173,-117992,56826.92,Overstock,Medium Risk,50,2
P019,PUN001,116,109388,36,27,207,C04,109352,109361,-109181,52844.44,Overstock,Medium Risk,50,2
P019,CHN001,287,100413,86,66,566,D20,100327,100347,-99847,17740.81,Overstock,Medium Risk,50,2
P019,HYD001,209,100008,81,49,350,D17,99927,99959,-99658,28573.71,Overstock,Medium Risk,50,2
P019,KOL001,92,88853,30,22,141,E11,88823,88831,-88712,63016.31,Overstock,Medium Risk,50,2
P019,AHM001,217,105387,85,46,378,A03,105302,105341,-105009,27880.16,Overstock,Medium Risk,50,2
P020,DEL001,91,104360,31,24,140,A07,104329,104336,-104220,74542.86,Overstock,Medium Risk,50,2
P020,PUN001,80,102734,24,16,140,E12,102710,102718,-102594,73381.43,Overstock,Medium Risk,50,2
P020,CHN001,300,113260,105,84,454,F01,113155,113176,-112806,24947.14,Overstock,Medium Risk,50,2
P020,HYD001,161,102636,64,46,273,A15,102572,102590,-102363,37595.6,Overstock,Medium Risk,50,2
P020,KOL001,182,99570,61,53,355,D07,99509,99517,-99215,28047.89,Overstock,Medium Risk,50,2
P020,AHM001,142,102706,54,28,270,F16,102652,102678,-102436,38039.26,Overstock,Medium Risk,50,2
P021,DEL001,152,115902,59,40,257,F08,115843,115862,-115645,45098.05,Overstock,Medium Risk,50,2
P021,PUN001,159,105385,59,32,287,C11,105326,105353,-105098,36719.51,Overstock,Medium Risk,50,2
P021,CHN001,189,100867,71,40,319,C11,100796,100827,-100548,31619.75,Overstock,Medium Risk,50,2
P021,HYD001,153,99466,56,36,263,F08,99410,99430,-99203,37819.77,Overstock,Medium Risk,50,2
P021,KOL001,280,100829,102,69,485,C14,100727,100760,-100344,20789.48,Overstock,Medium Risk,50,2
P021,AHM001,293,108168,110,60,554,E10,108058,108108,-107614,19524.91,Overstock,Medium Risk,50,2
P022,DEL001,187,110752,68,41,315,E20,110684,110711,-110437,35159.37,Overstock,Medium Risk,50,2
P022,PUN001,299,111353,119,60,487,B16,111234,111293,-110866,22865.09,Overstock,Medium Risk,50,2
P022,CHN001,138,109061,44,31,227,A02,109017,109030,-108834,48044.49,Overstock,Medium Risk,50,2
P022,HYD001,140,112997,46,33,226,F19,112951,112964,-112771,49998.67,Overstock,Medium Risk,50,2
P022,KOL001,265,99690,105,65,513,A01,99585,99625,-99177,19432.75,Overstock,Medium Risk,50,2
P022,AHM001,156,103495,54,37,254,E03,103441,103458,-103241,40746.06,Overstock,Medium Risk,50,2
P023,DEL001,186,113718,73,49,313,B18,113645,113669,-113405,36331.63,Overstock,Medium Risk,50,2
P023,PUN001,115,108328,40,26,198,A10,108288,108302,-108130,54711.11,Overstock,Medium Risk,50,2
P023,CHN001,149,107267,53,40,231,B12,107214,107227,-107036,46435.93,Overstock,Medium Risk,50,2
P023,HYD001,82,105798,31,16,134,C14,105767,105782,-105664,78953.73,Overstock,Medium Risk,50,2
P023,KOL001,141,111851,49,30,273,D12,111802,111821,-111578,40971.06,Overstock,Medium Risk,50,2
P023,AHM001,238,114558,90,50,434,B10,114468,114508,-114124,26395.85,Overstock,Medium Risk,50,2
P024,DEL001,280,116412,99,56,469,A17,116313,116356,-115943,24821.32,Overstock,Medium Risk,50,2
P024,PUN001,128,110555,41,31,232,C02,110514,110524,-110323,47653.02,Overstock,Medium Risk,50,2
P024,CHN001,119,107215,44,27,204,D14,107171,107188,-107011,52556.37,Overstock,Medium Risk,50,2
P024,HYD001,273,101998,86,66,415,A14,101912,101932,-101583,24577.83,Overstock,Medium Risk,50,2
P024,KOL001,155,112198,58,38,242,B18,112140,112160,-111956,46362.81,Overstock,Medium Risk,50,2
P024,AHM001,268,107810,104,58,425,C07,107706,107752,-107385,25367.06,Overstock,Medium Risk,50,2
P025,DEL001,180,109936,54,49,310,F11,109882,109887,-109626,35463.23,Overstock,Medium Risk,50,2
P025,PUN001,191,110083,68,45,300,A15,110015,110038,-109783,36694.33,Overstock,Medium Risk,50,2
P025,CHN001,300,110058,112,85,564,B12,109946,109973,-109494,19513.83,Overstock,Medium Risk,50,2
P025,HYD001,83,113613,26,21,133,B16,113587,113592,-113480,85423.31,Overstock,Medium Risk,50,2
P025,KOL001,290,110579,113,84,499,C08,110466,110495,-110080,22160.12,Overstock,Medium Risk,50,2
P025,AHM001,165,97512,64,44,328,F08,97448,97468,-97184,29729.27,Overstock,Medium Risk,50,2
P026,DEL001,96,103678,28,22,186,C13,103650,103656,-103492,55740.86,Overstock,Medium Risk,50,2
P026,PUN001,112,105190,36,33,189,B09,105154,105157,-105001,55656.08,Overstock,Medium Risk,50,2
P026,CHN001,113,108895,36,33,181,A03,108859,108862,-108714,60162.98,Overstock,Medium Risk,50,2
P026,HYD001,203,108348,75,54,314,E17,108273,108294,-108034,34505.73,Overstock,Medium Risk,50,2
P026,KOL001,240,101412,74,59,445,A06,101338,101353,-100967,22789.21,Overstock,Medium Risk,50,2
P026,AHM001,263,103793,89,65,445,E03,103704,103728,-103348,23324.27,Overstock,Medium Risk,50,2
P027,DEL001,98,106775,31,26,193,C04,106744,106749,-106582,55323.83,Overstock,Medium Risk,50,2
P027,PUN001,214,112683,70,58,376,C02,112613,112625,-112307,29968.88,Overstock,Medium Risk,50,2
P027,CHN001,84,97973,33,19,133,F12,97940,97954,-97840,73663.91,Overstock,Medium Risk,50,2
P027,HYD001,123,104746,46,29,211,B02,104700,104717,-104535,49642.65,Overstock,Medium Risk,50,2
P027,KOL001,210,100477,79,54,385,F20,100398,100423,-100092,26097.92,Overstock,Medium Risk,50,2
P027,AHM001,151,108337,51,33,294,F10,108286,108304,-108043,36849.32,Overstock,Medium Risk,50,2
P028,DEL001,207,106744,81,58,353,C01,106663,106686,-106391,30239.09,Overstock,Medium Risk,50,2
P028,PUN001,279,105401,100,56,522,B17,105301,105345,-104879,20191.76,Overstock,Medium Risk,50,2
P028,CHN001,120,103464,43,29,198,E04,103421,103435,-103266,52254.55,Overstock,Medium Risk,50,2
P028,HYD001,129,102248,47,37,199,E08,102201,102211,-102049,51380.9,Overstock,Medium Risk,50,2
P028,KOL001,254,104851,76,75,437,B09,104775,104776,-104414,23993.36,Overstock,Medium Risk,50,2
P028,AHM001,212,101538,78,57,368,F04,101460,101481,-101170,27591.85,Overstock,Medium Risk,50,2
P029,DEL001,98,108622,33,27,174,E17,108589,108595,-108448,62426.44,Overstock,Medium Risk,50,2
P029,PUN001,115,109429,40,28,225,C10,109389,109401,-109204,48635.11,Overstock,Medium Risk,50,2
P029,CHN001,97,101572,33,27,173,F11,101539,101545,-101399,58712.14,Overstock,Medium Risk,50,2
P029,HYD001,192,112739,76,55,324,F08,112663,112684,-112415,34795.99,Overstock,Medium Risk,50,2
P029,KOL001,150,105010,57,40,299,F06,104953,104970,-104711,35120.4,Overstock,Medium Risk,50,2
P029,AHM001,140,97606,49,40,267,D10,97557,97566,-97339,36556.55,Overstock,Medium Risk,50,2
P030,DEL001,184,103131,64,53,336,E17,103067,103078,-102795,30693.75,Overstock,Medium Risk,50,2
P030,PUN001,147,112388,52,35,283,A05,112336,112353,-112105,39713.07,Overstock,Medium Risk,50,2
P030,CHN001,125,105447,46,28,246,F19,105401,105419,-105201,42864.63,Overstock,Medium Risk,50,2
P030,HYD001,162,104611,53,40,268,D14,104558,104571,-104343,39033.96,Overstock,Medium Risk,50,2
P030,KOL001,199,103465,73,43,365,C10,103392,103422,-103100,28346.58,Overstock,Medium Risk,50,2
P030,AHM001,134,103248,46,40,231,D06,103202,103208,-103017,44696.1,Overstock,Medium Risk,50,2
