so_id,line_number,product_id,quantity,unit_price,gst_rate,line_total,gst_amount,line_grand_total,customer_id,branch_id,order_date,delivery_date,order_status,payment_terms,total_order_value,total_gst_amount,grand_total,sales_channel
SO-720172,7,P025,13,7850,18,102050,18369.0,120419.0,C0015,PUN001,2021-01-03,2021-01-16,Delivered,Net 15,1411460,360182.80000000005,1771642.8,Dealer Network
SO-720172,8,P021,14,46200,28,646800,181104.00000000003,827904.0,C0015,PUN001,2021-01-03,2021-01-16,Delivered,Net 15,1411460,360182.80000000005,1771642.8,Dealer Network
SO-720172,9,P006,2,11200,28,22400,6272.000000000001,28672.0,C0015,PUN001,2021-01-03,2021-01-16,Delivered,Net 15,1411460,360182.80000000005,1771642.8,Dealer Network
SO-494369,1,P009,5,14900,28,74500,20860.000000000004,95360.0,C0100,KOL001,2022-02-06,2022-02-21,Delivered,Net 30,3841750,1065370.0,4907120.0,Dealer Network
SO-494369,2,P001,19,24500,28,465500,130340.0,595840.0,C0100,KOL001,2022-02-06,2022-02-21,Delivered,Net 30,3841750,1065370.0,4907120.0,Dealer Network
SO-494369,3,P029,14,3950,18,55300,9954.0,65254.0,C0100,KOL001,2022-02-06,2022-02-21,Delivered,Net 30,3841750,1065370.0,4907120.0,Dealer Network
SO-494369,4,P017,13,520,18,6760,1216.8,7976.8,C0100,KOL001,2022-02-06,2022-02-21,Delivered,Net 30,3841750,1065370.0,4907120.0,Dealer Network
SO-494369,5,P002,11,720,18,7920,1425.6,9345.6,C0100,KOL001,2022-02-06,2022-02-21,Delivered,Net 30,3841750,1065370.0,4907120.0,Dealer Network
SO-494369,6,P002,6,720,18,4320,777.6,5097.6,C0100,KOL001,2022-02-06,2022-02-21,Delivered,Net 30,3841750,1065370.0,4907120.0,Dealer Network
SO-494369,7,P020,11,1150,18,12650,2277.0,14927.0,C0100,KOL001,2022-02-06,2022-02-21,Delivered,Net 30,3841750,1065370.0,4907120.0,Dealer Network
SO-494369,8,P003,13,1250,18,16250,2925.0,19175.0,C0100,KOL001,2022-02-06,2022-02-21,Delivered,Net 30,3841750,1065370.0,4907120.0,Dealer Network
SO-494369,9,P010,5,34900,28,174500,48860.00000000001,223360.0,C0100,KOL001,2022-02-06,2022-02-21,Delivered,Net 30,3841750,1065370.0,4907120.0,Dealer Network
SO-494369,10,P015,14,119000,28,1666000,466480.00000000006,2132480.0,C0100,KOL001,2022-02-06,2022-02-21,Delivered,Net 30,3841750,1065370.0,4907120.0,Dealer Network
SO-494369,11,P012,9,2450,28,22050,6174.000000000001,28224.0,C0100,KOL001,2022-02-06,2022-02-21,Delivered,Net 30,3841750,1065370.0,4907120.0,Dealer Network
SO-494369,12,P014,16,83500,28,1336000,374080.00000000006,1710080.0,C0100,KOL001,2022-02-06,2022-02-21,Delivered,Net 30,3841750,1065370.0,4907120.0,Dealer Network
SO-485921,1,P019,9,39800,28,358200,100296.0,458496.0,C0489,CHN001,2024-01-10,2024-01-24,Delivered,Net 30,2629250,722300.0000000001,3351550.0,Counter Sale
SO-485921,2,P017,1,520,18,520,93.6,613.6,C0489,CHN001,2024-01-10,2024-01-24,Delivered,Net 30,2629250,722300.0000000001,3351550.0,Counter Sale
SO-485921,3,P020,14,1150,18,16100,2898.0,18998.0,C0489,CHN001,2024-01-10,2024-01-24,Delivered,Net 30,2629250,722300.0000000001,3351550.0,Counter Sale
SO-485921,4,P028,8,2250,18,18000,3240.0,21240.0,C0489,CHN001,2024-01-10,2024-01-24,Delivered,Net 30,2629250,722300.0000000001,3351550.0,Counter Sale
SO-485921,5,P023,3,12950,28,38850,10878.000000000002,49728.0,C0489,CHN001,2024-01-10,2024-01-24,Delivered,Net 30,2629250,722300.0000000001,3351550.0,Counter Sale
SO-485921,6,P001,17,24500,28,416500,116620.0,533120.0,C0489,CHN001,2024-01-10,2024-01-24,Delivered,Net 30,2629250,722300.0000000001,3351550.0,Counter Sale
SO-485921,7,P030,13,21900,28,284700,79716.00000000001,364416.0,C0489,CHN001,2024-01-10,2024-01-24,Delivered,Net 30,2629250,722300.0000000001,3351550.0,Counter Sale
SO-485921,8,P017,4,520,18,2080,374.4,2454.4,C0489,CHN001,2024-01-10,2024-01-24,Delivered,Net 30,2629250,722300.0000000001,3351550.0,Counter Sale
SO-485921,9,P015,9,119000,28,1071000,299880.0,1370880.0,C0489,CHN001,2024-01-10,2024-01-24,Delivered,Net 30,2629250,722300.0000000001,3351550.0,Counter Sale
SO-485921,10,P022,19,16900,28,321100,89908.00000000001,411008.0,C0489,CHN001,2024-01-10,2024-01-24,Delivered,Net 30,2629250,722300.0000000001,3351550.0,Counter Sale
SO-485921,11,P016,9,10200,18,91800,16524.0,108324.0,C0489,CHN001,2024-01-10,2024-01-24,Delivered,Net 30,2629250,722300.0000000001,3351550.0,Counter Sale
SO-485921,12,P017,20,520,18,10400,1872.0,12272.0,C0489,CHN001,2024-01-10,2024-01-24,Delivered,Net 30,2629250,722300.0000000001,3351550.0,Counter Sale
SO-889434,1,P010,9,34900,28,314100,87948.00000000001,402048.0,C0242,CHN001,2023-10-22,2023-11-05,Delivered,Advance,1293500,345095.00000000006,1638595.0,Online
SO-889434,2,P004,10,39800,28,398000,111440.0,509440.0,C0242,CHN001,2023-10-22,2023-11-05,Delivered,Advance,1293500,345095.00000000006,1638595.0,Online
SO-889434,3,P013,13,1450,18,18850,3393.0,22243.0,C0242,CHN001,2023-10-22,2023-11-05,Delivered,Advance,1293500,345095.00000000006,1638595.0,Online
SO-889434,4,P017,16,520,18,8320,1497.6,9817.6,C0242,CHN001,2023-10-22,2023-11-05,Delivered,Advance,1293500,345095.00000000006,1638595.0,Online
SO-889434,5,P012,1,2450,28,2450,686.0000000000001,3136.0,C0242,CHN001,2023-10-22,2023-11-05,Delivered,Advance,1293500,345095.00000000006,1638595.0,Online
SO-889434,6,P006,6,11200,28,67200,18816.0,86016.0,C0242,CHN001,2023-10-22,2023-11-05,Delivered,Advance,1293500,345095.00000000006,1638595.0,Online
SO-889434,7,P030,14,21900,28,306600,85848.00000000001,392448.0,C0242,CHN001,2023-10-22,2023-11-05,Delivered,Advance,1293500,345095.00000000006,1638595.0,Online
SO-889434,8,P012,14,2450,28,34300,9604.000000000002,43904.0,C0242,CHN001,2023-10-22,2023-11-05,Delivered,Advance,1293500,345095.00000000006,1638595.0,Online
SO-889434,9,P026,13,310,18,4030,725.4,4755.4,C0242,CHN001,2023-10-22,2023-11-05,Delivered,Advance,1293500,345095.00000000006,1638595.0,Online
SO-889434,10,P025,17,7850,18,133450,24021.0,157471.0,C0242,CHN001,2023-10-22,2023-11-05,Delivered,Advance,1293500,345095.00000000006,1638595.0,Online
SO-889434,11,P028,1,2250,18,2250,405.0,2655.0,C0242,CHN001,2023-10-22,2023-11-05,Delivered,Advance,1293500,345095.00000000006,1638595.0,Online
SO-889434,12,P029,1,3950,18,3950,711.0,4661.0,C0242,CHN001,2023-10-22,2023-11-05,Delivered,Advance,1293500,345095.00000000006,1638595.0,Online
SO-835154,1,P002,4,720,18,2880,518.4,3398.4,C0021,HYD001,2021-10-03,2021-10-12,Delivered,Net 15,2523030,680905.4000000001,3203935.4,Field Sales
SO-835154,2,P016,11,10200,18,112200,20196.0,132396.0,C0021,HYD001,2021-10-03,2021-10-12,Delivered,Net 15,2523030,680905.4000000001,3203935.4,Field Sales
SO-835154,3,P004,20,39800,28,796000,222880.00000000003,1018880.0,C0021,HYD001,2021-10-03,2021-10-12,Delivered,Net 15,2523030,680905.4000000001,3203935.4,Field Sales
SO-835154,4,P020,5,1150,18,5750,1035.0,6785.0,C0021,HYD001,2021-10-03,2021-10-12,Delivered,Net 15,2523030,680905.4000000001,3203935.4,Field Sales
SO-835154,5,P025,12,7850,18,94200,16956.0,111156.0,C0021,HYD001,2021-10-03,2021-10-12,Delivered,Net 15,2523030,680905.4000000001,3203935.4,Field Sales
SO-835154,6,P013,19,1450,18,27550,4959.0,32509.0,C0021,HYD001,2021-10-03,2021-10-12,Delivered,Net 15,2523030,680905.4000000001,3203935.4,Field Sales
SO-835154,7,P025,1,7850,18,7850,1413.0,9263.0,C0021,HYD001,2021-10-03,2021-10-12,Delivered,Net 15,2523030,680905.4000000001,3203935.4,Field Sales
SO-835154,8,P003,4,1250,18,5000,900.0,5900.0,C0021,HYD001,2021-10-03,2021-10-12,Delivered,Net 15,2523030,680905.4000000001,3203935.4,Field Sales
SO-835154,9,P014,16,83500,28,1336000,374080.00000000006,1710080.0,C0021,HYD001,2021-10-03,2021-10-12,Delivered,Net 15,2523030,680905.4000000001,3203935.4,Field Sales
SO-835154,10,P018,12,11300,28,135600,37968.0,173568.0,C0021,HYD001,2021-10-03,2021-10-12,Delivered,Net 15,2523030,680905.4000000001,3203935.4,Field Sales
SO-802509,1,P024,12,10300,28,123600,34608.0,158208.0,C0325,KOL001,2024-10-06,2024-10-11,Delivered,Net 30,979280,269720.4,1249000.4,Dealer Network
SO-802509,2,P002,16,720,18,11520,2073.6,13593.6,C0325,KOL001,2024-10-06,2024-10-11,Delivered,Net 30,979280,269720.4,1249000.4,Dealer Network
SO-802509,3,P027,5,480,18,2400,432.0,2832.0,C0325,KOL001,2024-10-06,2024-10-11,Delivered,Net 30,979280,269720.4,1249000.4,Dealer Network
SO-802509,4,P008,14,580,18,8120,1461.6,9581.6,C0325,KOL001,2024-10-06,2024-10-11,Delivered,Net 30,979280,269720.4,1249000.4,Dealer Network
SO-802509,5,P006,9,11200,28,100800,28224.000000000004,129024.0,C0325,KOL001,2024-10-06,2024-10-11,Delivered,Net 30,979280,269720.4,1249000.4,Dealer Network
SO-802509,6,P008,7,580,18,4060,730.8,4790.8,C0325,KOL001,2024-10-06,2024-10-11,Delivered,Net 30,979280,269720.4,1249000.4,Dealer Network
SO-802509,7,P007,11,1450,18,15950,2871.0,18821.0,C0325,KOL001,2024-10-06,2024-10-11,Delivered,Net 30,979280,269720.4,1249000.4,Dealer Network
SO-802509,8,P028,1,2250,18,2250,405.0,2655.0,C0325,KOL001,2024-10-06,2024-10-11,Delivered,Net 30,979280,269720.4,1249000.4,Dealer Network
SO-802509,9,P021,6,46200,28,277200,77616.00000000001,354816.0,C0325,KOL001,2024-10-06,2024-10-11,Delivered,Net 30,979280,269720.4,1249000.4,Dealer Network
SO-802509,10,P027,1,480,18,480,86.39999999999999,566.4,C0325,KOL001,2024-10-06,2024-10-11,Delivered,Net 30,979280,269720.4,1249000.4,Dealer Network
SO-802509,11,P010,11,34900,28,383900,107492.0,491392.0,C0325,KOL001,2024-10-06,2024-10-11,Delivered,Net 30,979280,269720.4,1249000.4,Dealer Network
SO-802509,12,P001,2,24500,28,49000,13720.000000000002,62720.0,C0325,KOL001,2024-10-06,2024-10-11,Delivered,Net 30,979280,269720.4,1249000.4,Dealer Network
SO-627758,1,P006,5,11200,28,56000,15680.000000000002,71680.0,C0285,PUN001,2021-01-03,2021-01-10,Delivered,Net 15,87400,21332.0,108732.0,Counter Sale
SO-627758,2,P025,4,7850,18,31400,5652.0,37052.0,C0285,PUN001,2021-01-03,2021-01-10,Delivered,Net 15,87400,21332.0,108732.0,Counter Sale
SO-679314,1,P021,3,46200,28,138600,38808.00000000001,177408.0,C0047,PUN001,2020-02-12,2020-02-20,Delivered,Net 60,207320,56247.600000000006,263567.6,Counter Sale
SO-679314,2,P005,6,8450,28,50700,14196.000000000002,64896.0,C0047,PUN001,2020-02-12,2020-02-20,Delivered,Net 60,207320,56247.600000000006,263567.6,Counter Sale
SO-679314,3,P013,12,1450,18,17400,3132.0,20532.0,C0047,PUN001,2020-02-12,2020-02-20,Delivered,Net 60,207320,56247.600000000006,263567.6,Counter Sale
SO-679314,4,P026,2,310,18,620,111.6,731.6,C0047,PUN001,2020-02-12,2020-02-20,Delivered,Net 60,207320,56247.600000000006,263567.6,Counter Sale
SO-344627,1,P015,13,119000,28,1547000,433160.00000000006,1980160.0,C0493,CHN001,2019-07-26,2019-08-04,Delivered,Advance,2386600,658828.0000000001,3045428.0,Field Sales
SO-344627,2,P022,9,16900,28,152100,42588.00000000001,194688.0,C0493,CHN001,2019-07-26,2019-08-04,Delivered,Advance,2386600,658828.0000000001,3045428.0,Field Sales
SO-344627,3,P024,19,10300,28,195700,54796.00000000001,250496.0,C0493,CHN001,2019-07-26,2019-08-04,Delivered,Advance,2386600,658828.0000000001,3045428.0,Field Sales
SO-344627,4,P023,8,12950,28,103600,29008.000000000004,132608.0,C0493,CHN001,2019-07-26,2019-08-04,Delivered,Advance,2386600,658828.0000000001,3045428.0,Field Sales
SO-344627,5,P001,12,24500,28,294000,82320.00000000001,376320.0,C0493,CHN001,2019-07-26,2019-08-04,Delivered,Advance,2386600,658828.0000000001,3045428.0,Field Sales
SO-344627,6,P025,12,7850,18,94200,16956.0,111156.0,C0493,CHN001,2019-07-26,2019-08-04,Delivered,Advance,2386600,658828.0000000001,3045428.0,Field Sales
SO-201505,1,P027,15,480,18,7200,1296.0,8496.0,C0053,DEL001,2024-06-22,2024-06-30,Delivered,Net 60,860700,235836.00000000003,1096536.0,Counter Sale
SO-201505,2,P002,12,720,18,8640,1555.2,10195.2,C0053,DEL001,2024-06-22,2024-06-30,Delivered,Net 60,860700,235836.00000000003,1096536.0,Counter Sale
SO-201505,3,P011,18,27600,28,496800,139104.0,635904.0,C0053,DEL001,2024-06-22,2024-06-30,Delivered,Net 60,860700,235836.00000000003,1096536.0,Counter Sale
SO-201505,4,P002,18,720,18,12960,2332.8,15292.8,C0053,DEL001,2024-06-22,2024-06-30,Delivered,Net 60,860700,235836.00000000003,1096536.0,Counter Sale
SO-201505,5,P008,5,580,18,2900,522.0,3422.0,C0053,DEL001,2024-06-22,2024-06-30,Delivered,Net 60,860700,235836.00000000003,1096536.0,Counter Sale
SO-201505,6,P028,5,2250,18,11250,2025.0,13275.0,C0053,DEL001,2024-06-22,2024-06-30,Delivered,Net 60,860700,235836.00000000003,1096536.0,Counter Sale
SO-201505,7,P004,6,39800,28,238800,66864.0,305664.0,C0053,DEL001,2024-06-22,2024-06-30,Delivered,Net 60,860700,235836.00000000003,1096536.0,Counter Sale
SO-201505,8,P027,15,480,18,7200,1296.0,8496.0,C0053,DEL001,2024-06-22,2024-06-30,Delivered,Net 60,860700,235836.00000000003,1096536.0,Counter Sale
SO-201505,9,P013,1,1450,18,1450,261.0,1711.0,C0053,DEL001,2024-06-22,2024-06-30,Delivered,Net 60,860700,235836.00000000003,1096536.0,Counter Sale
SO-201505,10,P001,3,24500,28,73500,20580.000000000004,94080.0,C0053,DEL001,2024-06-22,2024-06-30,Delivered,Net 60,860700,235836.00000000003,1096536.0,Counter Sale
SO-256526,1,P004,14,39800,28,557200,156016.00000000003,713216.0,C0096,CHN001,2021-10-08,2021-10-15,Delivered,Net 15,1252800,327774.00000000006,1580574.0,Counter Sale
SO-256526,2,P016,20,10200,18,204000,36720.0,240720.0,C0096,CHN001,2021-10-08,2021-10-15,Delivered,Net 15,1252800,327774.00000000006,1580574.0,Counter Sale
SO-256526,3,P007,18,1450,18,26100,4698.0,30798.0,C0096,CHN001,2021-10-08,2021-10-15,Delivered,Net 15,1252800,327774.00000000006,1580574.0,Counter Sale
SO-256526,4,P001,19,24500,28,465500,130340.0,595840.0,C0096,CHN001,2021-10-08,2021-10-15,Delivered,Net 15,1252800,327774.00000000006,1580574.0,Counter Sale
SO-635095,1,P021,20,46200,28,924000,258720.00000000003,1182720.0,C0365,KOL001,2021-12-24,2021-12-27,Delivered,Net 60,1326890,368645.20000000007,1695535.2,Counter Sale
SO-635095,2,P005,9,8450,28,76050,21294.000000000004,97344.0,C0365,KOL001,2021-12-24,2021-12-27,Delivered,Net 60,1326890,368645.20000000007,1695535.2,Counter Sale
SO-635095,3,P017,2,520,18,1040,187.2,1227.2,C0365,KOL001,2021-12-24,2021-12-27,Delivered,Net 60,1326890,368645.20000000007,1695535.2,Counter Sale
SO-635095,4,P009,20,14900,28,298000,83440.00000000001,381440.0,C0365,KOL001,2021-12-24,2021-12-27,Delivered,Net 60,1326890,368645.20000000007,1695535.2,Counter Sale
SO-635095,5,P026,10,310,18,3100,558.0,3658.0,C0365,KOL001,2021-12-24,2021-12-27,Delivered,Net 60,1326890,368645.20000000007,1695535.2,Counter Sale
SO-635095,6,P007,11,1450,18,15950,2871.0,18821.0,C0365,KOL001,2021-12-24,2021-12-27,Delivered,Net 60,1326890,368645.20000000007,1695535.2,Counter Sale
