product_id,order_date,quantity,7_day_avg_demand,30_day_avg_demand,next_day_forecast
P001,2019-03-05,16.0,18.14,16.3,18.14
P001,2019-03-06,14.0,18.86,16.77,18.86
P001,2019-03-07,38.0,18.57,17.8,18.57
P001,2019-03-08,62.0,26.29,19.37,26.29
P001,2019-03-09,12.0,26.0,19.77,26.0
P001,2019-03-10,2.0,22.71,19.83,22.71
P001,2019-03-11,21.0,23.57,20.53,23.57
P001,2019-03-12,34.0,26.14,20.87,26.14
P001,2019-03-13,37.0,29.43,22.1,29.43
P001,2019-03-14,6.0,24.86,21.33,24.86
P001,2019-03-15,0.0,16.0,20.17,16.0
P001,2019-03-16,45.0,20.71,21.67,20.71
P001,2019-03-17,14.0,22.43,21.8,22.43
P001,2019-03-18,0.0,19.43,21.8,19.43
P001,2019-03-19,4.0,15.14,20.0,15.14
P001,2019-03-20,9.0,11.14,19.97,11.14
P001,2019-03-21,30.0,14.57,20.13,14.57
P001,2019-03-22,49.0,21.57,20.97,21.57
P001,2019-03-23,6.0,16.0,21.13,16.0
P001,2019-03-24,66.0,23.43,22.27,23.43
P001,2019-03-25,35.0,28.43,23.03,28.43
P001,2019-03-26,0.0,27.86,23.03,27.86
P001,2019-03-27,0.0,26.57,21.7,26.57
P001,2019-03-28,16.0,24.57,20.9,24.57
P001,2019-03-29,42.0,23.57,22.0,23.57
P001,2019-03-30,0.0,22.71,20.67,22.71
P001,2019-03-31,22.0,16.43,21.13,16.43
P001,2019-04-01,31.0,15.86,21.7,15.86
P001,2019-04-02,36.0,21.0,22.07,21.0
P001,2019-04-03,37.0,26.29,22.8,26.29
P001,2019-04-04,36.0,29.14,23.47,29.14
P001,2019-04-05,18.0,25.71,23.6,25.71
P001,2019-04-06,22.0,28.86,23.07,28.86
P001,2019-04-07,25.0,29.29,21.83,29.29
P001,2019-04-08,42.0,30.86,22.83,30.86
P001,2019-04-09,38.0,31.14,24.03,31.14
P001,2019-04-10,0.0,25.86,23.33,25.86
P001,2019-04-11,4.0,21.29,22.33,21.29
P001,2019-04-12,6.0,19.57,21.3,19.57
P001,2019-04-13,26.0,20.14,21.97,20.14
P001,2019-04-14,37.0,21.86,23.2,21.86
P001,2019-04-15,19.0,18.57,22.33,18.57
P001,2019-04-16,15.0,15.29,22.37,15.29
P001,2019-04-17,29.0,19.43,23.33,19.43
P001,2019-04-18,21.0,21.86,23.9,21.86
P001,2019-04-19,7.0,22.0,23.83,22.0
P001,2019-04-20,4.0,18.86,22.97,18.86
P001,2019-04-21,6.0,14.43,21.53,14.43
P001,2019-04-22,16.0,14.0,21.87,14.0
P001,2019-04-23,2.0,12.14,19.73,12.14
P001,2019-04-24,0.0,8.0,18.57,8.0
P001,2019-04-25,17.0,7.43,19.13,7.43
P001,2019-04-26,3.0,6.86,19.23,6.86
P001,2019-04-27,0.0,6.29,18.7,6.29
P001,2019-04-28,47.0,12.14,18.87,12.14
P001,2019-04-29,5.0,10.57,19.03,10.57
P001,2019-04-30,0.0,10.29,18.3,10.29
P001,2019-05-01,70.0,20.29,19.6,20.29
P001,2019-05-02,6.0,18.71,18.6,18.71
P001,2019-05-03,30.0,22.57,18.37,22.57
P001,2019-05-04,29.0,26.71,18.13,26.71
P001,2019-05-05,9.0,21.29,17.83,21.29
P001,2019-05-06,39.0,26.14,18.4,26.14
P001,2019-05-07,19.0,28.86,18.2,28.86
P001,2019-05-08,65.0,28.14,18.97,28.14
P001,2019-05-09,2.0,27.57,17.77,27.57
P001,2019-05-10,36.0,28.43,18.97,28.43
P001,2019-05-11,61.0,33.0,20.87,33.0
P001,2019-05-12,21.0,34.71,21.37,34.71
P001,2019-05-13,36.0,34.29,21.7,34.29
P001,2019-05-14,12.0,33.29,20.87,33.29
P001,2019-05-15,7.0,25.0,20.47,25.0
P001,2019-05-16,0.0,24.71,19.97,24.71
P001,2019-05-17,28.0,23.57,19.93,23.57
P001,2019-05-18,16.0,17.14,19.77,17.14
P001,2019-05-19,76.0,25.0,22.07,25.0
P001,2019-05-20,4.0,20.43,22.07,20.43
P001,2019-05-21,38.0,24.14,23.13,24.14
P001,2019-05-22,12.0,24.86,23.0,24.86
P001,2019-05-23,2.0,25.14,23.0,25.14
P001,2019-05-24,28.0,25.14,23.93,25.14
P001,2019-05-25,13.0,24.71,23.8,24.71
P001,2019-05-26,26.0,17.57,24.57,17.57
P001,2019-05-27,16.0,19.29,25.1,19.29
P001,2019-05-28,15.0,16.0,24.03,16.0
P001,2019-05-29,31.0,18.71,24.9,18.71
P001,2019-05-30,1.0,18.57,24.93,18.57
P001,2019-05-31,0.0,14.57,22.6,14.57
P001,2019-06-01,12.0,14.43,22.8,14.43
P001,2019-06-02,0.0,10.71,21.8,10.71
P001,2019-06-03,29.0,12.57,21.8,12.57
P001,2019-06-04,44.0,16.71,22.97,16.71
P001,2019-06-05,45.0,18.71,23.17,18.71
P001,2019-06-06,10.0,20.0,22.87,20.0
P001,2019-06-07,17.0,22.43,21.27,22.43
P001,2019-06-08,40.0,26.43,22.53,26.43
P001,2019-06-09,36.0,31.57,22.53,31.57
P001,2019-06-10,47.0,34.14,22.07,34.14
P001,2019-06-11,38.0,33.29,22.63,33.29
P001,2019-06-12,41.0,32.71,22.8,32.71
P001,2019-06-13,20.0,34.14,23.07,34.14
P001,2019-06-14,0.0,31.71,22.83,31.71
P001,2019-06-15,23.0,29.29,23.6,29.29
P001,2019-06-16,1.0,24.29,22.7,24.29
P001,2019-06-17,35.0,22.57,23.33,22.57
P001,2019-06-18,23.0,20.43,21.57,20.43
P001,2019-06-19,0.0,14.57,21.43,14.57
P001,2019-06-20,12.0,13.43,20.57,13.43
P001,2019-06-21,8.0,14.57,20.43,14.57
P001,2019-06-22,23.0,14.57,21.13,14.57
P001,2019-06-23,10.0,15.86,20.53,15.86
P001,2019-06-24,14.0,12.86,20.57,12.86
P001,2019-06-25,70.0,19.57,22.03,19.57
P001,2019-06-26,41.0,25.43,22.87,25.43
P001,2019-06-27,31.0,28.14,23.4,28.14
P001,2019-06-28,18.0,29.57,22.97,29.57
P001,2019-06-29,13.0,28.14,23.37,28.14
P001,2019-06-30,31.0,31.14,24.4,31.14
P001,2019-07-01,37.0,34.43,25.23,34.43
P001,2019-07-02,6.0,25.29,25.43,25.29
P001,2019-07-03,25.0,23.0,25.3,23.0
P001,2019-07-04,1.0,18.71,23.87,18.71
P001,2019-07-05,81.0,27.71,25.07,27.71
P001,2019-07-06,23.0,29.14,25.5,29.14
P001,2019-07-07,0.0,24.71,24.93,24.71
P001,2019-07-08,42.0,25.43,25.0,25.43
P001,2019-07-09,101.0,39.0,27.17,39.0
P001,2019-07-10,35.0,40.43,26.77,40.43
P001,2019-07-11,0.0,40.29,25.5,40.29
P001,2019-07-12,0.0,28.71,24.13,28.71
P001,2019-07-13,27.0,29.29,24.37,29.29
P001,2019-07-14,32.0,33.86,25.43,33.86
P001,2019-07-15,38.0,33.29,25.93,33.29
P001,2019-07-16,34.0,23.71,27.03,23.71
P001,2019-07-17,0.0,18.71,25.87,18.71
P001,2019-07-18,20.0,21.57,25.77,21.57
P001,2019-07-19,3.0,22.0,25.87,22.0
P001,2019-07-20,57.0,26.29,27.37,26.29
P001,2019-07-21,19.0,24.43,27.73,24.43
P001,2019-07-22,4.0,19.57,27.1,19.57
P001,2019-07-23,2.0,15.0,26.83,15.0
P001,2019-07-24,30.0,19.29,27.37,19.29
P001,2019-07-25,35.0,21.43,26.2,21.43
P001,2019-07-26,61.0,29.71,26.87,29.71
P001,2019-07-27,0.0,21.57,25.83,21.57
P001,2019-07-28,86.0,31.14,28.1,31.14
P001,2019-07-29,31.0,35.0,28.7,35.0
P001,2019-07-30,17.0,37.14,28.23,37.14
P001,2019-07-31,13.0,34.71,27.43,34.71
P001,2019-08-01,19.0,32.43,27.87,32.43
P001,2019-08-02,18.0,26.29,27.63,26.29
P001,2019-08-03,0.0,26.29,27.6,26.29
P001,2019-08-04,30.0,18.29,25.9,18.29
P001,2019-08-05,53.0,21.43,26.9,21.43
P001,2019-08-06,1.0,19.14,26.93,19.14
P001,2019-08-07,19.0,20.0,26.17,20.0
P001,2019-08-08,83.0,29.14,25.57,29.14
P001,2019-08-09,37.0,31.86,25.63,31.86
P001,2019-08-10,45.0,38.29,27.13,38.29
P001,2019-08-11,22.0,37.14,27.87,37.14
P001,2019-08-12,22.0,32.71,27.7,32.71
P001,2019-08-13,2.0,32.86,26.7,32.86
P001,2019-08-14,16.0,32.43,25.97,32.43
P001,2019-08-15,19.0,23.29,25.47,23.29
P001,2019-08-16,4.0,18.57,25.6,18.57
P001,2019-08-17,55.0,20.0,26.77,20.0
P001,2019-08-18,30.0,21.14,27.67,21.14
P001,2019-08-19,12.0,19.71,26.17,19.71
P001,2019-08-20,15.0,21.57,26.03,21.57
P001,2019-08-21,0.0,19.29,25.9,19.29
P001,2019-08-22,0.0,16.57,25.83,16.57
P001,2019-08-23,24.0,19.43,25.63,19.43
P001,2019-08-24,0.0,11.57,24.47,11.57
P001,2019-08-25,0.0,7.29,22.43,7.29
P001,2019-08-26,6.0,6.43,22.63,6.43
P001,2019-08-27,13.0,6.14,20.2,6.14
P001,2019-08-28,15.0,8.29,19.67,8.29
P001,2019-08-29,19.0,11.0,19.73,11.0
P001,2019-08-30,0.0,7.57,19.3,7.57
P001,2019-08-31,43.0,13.71,20.1,13.71
P001,2019-09-01,5.0,14.43,19.67,14.43
P001,2019-09-02,36.0,18.71,20.87,18.71
P001,2019-09-03,16.0,19.14,20.4,19.14
P001,2019-09-04,18.0,19.57,19.23,19.57
P001,2019-09-05,22.0,20.0,19.93,20.0
P001,2019-09-06,8.0,21.14,19.57,21.14
P001,2019-09-07,6.0,15.86,17.0,15.86
P001,2019-09-08,16.0,17.43,16.3,17.43
P001,2019-09-09,73.0,22.71,17.23,22.71
P001,2019-09-10,43.0,26.57,17.93,26.57
P001,2019-09-11,47.0,30.71,18.77,30.71
P001,2019-09-12,0.0,27.57,18.7,27.57
P001,2019-09-13,11.0,28.0,18.53,28.0
P001,2019-09-14,14.0,29.14,18.37,29.14
P001,2019-09-15,19.0,29.57,18.87,29.57
P001,2019-09-16,42.0,25.14,18.43,25.14
P001,2019-09-17,0.0,19.0,17.43,19.0
P001,2019-09-18,12.0,14.0,17.43,14.0
P001,2019-09-19,18.0,16.57,17.53,16.57
P001,2019-09-20,20.0,17.86,18.2,17.86
P001,2019-09-21,69.0,25.71,20.5,25.71
P001,2019-09-22,17.0,25.43,20.27,25.43
P001,2019-09-23,0.0,19.43,20.27,19.43
P001,2019-09-24,15.0,21.57,20.77,21.57
P001,2019-09-25,4.0,20.43,20.7,20.43
P001,2019-09-26,0.0,17.86,20.27,17.86
P001,2019-09-27,0.0,15.0,19.77,15.0
P001,2019-09-28,18.0,7.71,19.73,7.71
P001,2019-09-29,0.0,5.29,19.73,5.29
P001,2019-09-30,31.0,9.71,19.33,9.71
P001,2019-10-01,26.0,11.29,20.03,11.29
P001,2019-10-02,0.0,10.71,18.83,10.71
P001,2019-10-03,2.0,11.0,18.37,11.0
P001,2019-10-04,18.0,13.57,18.37,13.57
P001,2019-10-05,0.0,11.0,17.63,11.0
P001,2019-10-06,46.0,17.57,18.9,17.57
P001,2019-10-07,85.0,25.29,21.53,25.29
P001,2019-10-08,35.0,26.57,22.17,26.57
P001,2019-10-09,0.0,26.57,19.73,26.57
P001,2019-10-10,0.0,26.29,18.3,26.29
P001,2019-10-11,55.0,31.57,18.57,31.57
P001,2019-10-12,36.0,36.71,19.77,36.71
P001,2019-10-13,19.0,32.86,20.03,32.86
P001,2019-10-14,10.0,22.14,19.9,22.14
P001,2019-10-15,6.0,18.0,19.47,18.0
P001,2019-10-16,33.0,22.71,19.17,22.71
P001,2019-10-17,13.0,24.57,19.6,24.57
P001,2019-10-18,0.0,16.71,19.2,16.71
P001,2019-10-19,8.0,12.71,18.87,12.71
P001,2019-10-20,21.0,13.0,18.9,13.0
P001,2019-10-21,48.0,18.43,18.2,18.43
P001,2019-10-22,31.0,22.0,18.67,22.0
P001,2019-10-23,0.0,17.29,18.67,17.29
P001,2019-10-24,0.0,15.43,18.17,15.43
P001,2019-10-25,0.0,15.43,18.03,15.43
P001,2019-10-26,24.0,17.71,18.83,17.71
P001,2019-10-27,39.0,20.29,20.13,20.29
P001,2019-10-28,12.0,15.14,19.93,15.14
P001,2019-10-29,13.0,12.57,20.37,12.57
P001,2019-10-30,43.0,18.71,20.77,18.71
P001,2019-10-31,31.0,23.14,20.93,23.14
P001,2019-11-01,14.0,25.14,21.4,25.14
P001,2019-11-02,43.0,27.86,22.77,27.86
P001,2019-11-03,9.0,23.57,22.47,23.57
P001,2019-11-04,32.0,26.43,23.53,26.43
P001,2019-11-05,1.0,24.71,22.03,24.71
P001,2019-11-06,55.0,26.43,21.03,26.43
P001,2019-11-07,0.0,22.0,19.87,22.0
P001,2019-11-08,55.0,27.86,21.7,27.86
P001,2019-11-09,0.0,21.71,21.7,21.71
P001,2019-11-10,4.0,21.0,20.0,21.0
P001,2019-11-11,1.0,16.57,18.83,16.57
P001,2019-11-12,3.0,16.86,18.3,16.86
P001,2019-11-13,28.0,13.0,18.9,13.0
P001,2019-11-14,15.0,15.14,19.2,15.14
P001,2019-11-15,54.0,15.0,19.9,15.0
P001,2019-11-16,2.0,15.29,19.53,15.29
P001,2019-11-17,44.0,21.0,21.0,21.0
P001,2019-11-18,30.0,25.14,21.73,25.14
P001,2019-11-19,20.0,27.57,21.7,27.57
P001,2019-11-20,6.0,24.43,20.3,24.43
P001,2019-11-21,2.0,22.57,19.33,22.57
P001,2019-11-22,17.0,17.29,19.9,17.29
P001,2019-11-23,0.0,17.0,19.9,17.0
P001,2019-11-24,18.0,13.29,20.5,13.29
P001,2019-11-25,19.0,11.71,20.33,11.71
P001,2019-11-26,18.0,11.43,19.63,11.43
P001,2019-11-27,23.0,13.86,20.0,13.86
P001,2019-11-28,27.0,17.43,20.47,17.43
P001,2019-11-29,47.0,21.71,20.6,21.71
P001,2019-11-30,0.0,21.71,19.57,21.71
P001,2019-12-01,21.0,22.14,19.8,22.14
P001,2019-12-02,0.0,19.43,18.37,19.43
P001,2019-12-03,26.0,20.57,18.93,20.57
P001,2019-12-04,18.0,19.86,18.47,19.86
P001,2019-12-05,24.0,19.43,19.23,19.43
P001,2019-12-06,66.0,22.14,19.6,22.14
P001,2019-12-07,3.0,22.57,19.7,22.57
P001,2019-12-08,45.0,26.0,19.37,26.0
P001,2019-12-09,51.0,33.29,21.07,33.29
P001,2019-12-10,7.0,30.57,21.17,30.57
P001,2019-12-11,66.0,37.43,23.33,37.43
P001,2019-12-12,13.0,35.86,23.67,35.86
P001,2019-12-13,0.0,26.43,22.73,26.43
P001,2019-12-14,0.0,26.0,22.23,26.0
P001,2019-12-15,0.0,19.57,20.43,19.57
P001,2019-12-16,27.0,16.14,21.27,16.14
P001,2019-12-17,39.0,20.71,21.1,20.71
P001,2019-12-18,35.0,16.29,21.27,16.29
P001,2019-12-19,0.0,14.43,20.6,14.43
P001,2019-12-20,12.0,16.14,20.8,16.14
P001,2019-12-21,18.0,18.71,21.33,18.71
P001,2019-12-22,21.0,21.71,21.47,21.71
P001,2019-12-23,1.0,18.0,21.5,18.0
P001,2019-12-24,0.0,12.43,20.9,12.43
P001,2019-12-25,0.0,7.43,20.27,7.43
P001,2019-12-26,11.0,9.0,20.03,9.0
P001,2019-12-27,29.0,11.43,20.23,11.43
P001,2019-12-28,20.0,11.71,20.0,11.71
P001,2019-12-29,0.0,8.71,18.43,8.71
P001,2019-12-30,18.0,11.14,19.03,11.14
P001,2019-12-31,15.0,13.29,18.83,13.29
P001,2020-01-01,16.0,15.57,19.37,15.57
P001,2020-01-02,3.0,14.43,18.6,14.43
P001,2020-01-03,61.0,19.0,20.03,19.0
P001,2020-01-04,9.0,17.43,19.53,17.43
P001,2020-01-05,27.0,21.29,18.23,21.29
P001,2020-01-06,10.0,20.14,18.47,20.14
P001,2020-01-07,29.0,22.14,17.93,22.14
P001,2020-01-08,17.0,22.29,16.8,22.29
P001,2020-01-09,7.0,22.86,16.8,22.86
P001,2020-01-10,30.0,18.43,15.6,18.43
P001,2020-01-11,25.0,20.71,16.0,20.71
P001,2020-01-12,0.0,16.86,16.0,16.86
P001,2020-01-13,15.0,17.57,16.5,17.57
P001,2020-01-14,44.0,19.71,17.97,19.71
P001,2020-01-15,45.0,23.71,18.57,23.71
P001,2020-01-16,6.0,23.57,17.47,23.57
P001,2020-01-17,23.0,22.57,17.07,22.57
P001,2020-01-18,47.0,25.71,18.63,25.71
P001,2020-01-19,0.0,25.71,18.23,25.71
P001,2020-01-20,30.0,27.86,18.63,27.86
P001,2020-01-21,1.0,21.71,17.97,21.71
P001,2020-01-22,15.0,17.43,18.43,17.43
P001,2020-01-23,28.0,20.57,19.37,20.57
P001,2020-01-24,10.0,18.71,19.7,18.71
P001,2020-01-25,0.0,12.0,19.33,12.0
P001,2020-01-26,17.0,14.43,18.93,14.43
P001,2020-01-27,48.0,17.0,19.87,17.0
P001,2020-01-28,35.0,21.86,21.03,21.86
P001,2020-01-29,82.0,31.43,23.17,31.43
P001,2020-01-30,55.0,35.29,24.5,35.29
P001,2020-01-31,42.0,39.86,25.37,39.86
P001,2020-02-01,57.0,48.0,27.17,48.0
P001,2020-02-02,14.0,47.57,25.6,47.57
P001,2020-02-03,12.0,42.43,25.7,42.43
P001,2020-02-04,0.0,37.43,24.8,37.43
P001,2020-02-05,15.0,27.86,24.97,27.86
P001,2020-02-06,20.0,22.86,24.67,22.86
P001,2020-02-07,14.0,18.86,24.57,18.86
P001,2020-02-08,25.0,14.29,25.17,14.29
P001,2020-02-09,21.0,15.29,24.87,15.29
P001,2020-02-10,0.0,13.57,24.03,13.57
P001,2020-02-11,18.0,16.14,24.63,16.14
P001,2020-02-12,12.0,15.71,24.53,15.71
P001,2020-02-13,14.0,14.86,23.53,14.86
P001,2020-02-14,0.0,12.86,22.03,12.86
P001,2020-02-15,48.0,16.14,23.43,16.14
P001,2020-02-16,34.0,18.0,23.8,18.0
P001,2020-02-17,0.0,18.0,22.23,18.0
P001,2020-02-18,8.0,16.57,22.5,16.57
P001,2020-02-19,7.0,15.86,21.73,15.86
P001,2020-02-20,9.0,15.14,22.0,15.14
P001,2020-02-21,8.0,16.29,21.77,16.29
P001,2020-02-22,55.0,17.29,22.67,17.29
P001,2020-02-23,25.0,16.0,23.17,16.0
P001,2020-02-24,0.0,16.0,23.17,16.0
P001,2020-02-25,14.0,16.86,23.07,16.86
P001,2020-02-26,6.0,16.71,21.67,16.71
P001,2020-02-27,0.0,15.43,20.5,15.43
P001,2020-02-28,2.0,14.57,17.83,14.57
P001,2020-02-29,12.0,8.43,16.4,8.43
P001,2020-03-01,40.0,10.57,16.33,10.57
P001,2020-03-02,15.0,12.71,14.93,12.71
P001,2020-03-03,0.0,10.71,14.47,10.71
P001,2020-03-04,51.0,17.14,15.77,17.14
P001,2020-03-05,31.0,21.57,16.8,21.57
P001,2020-03-06,14.0,23.29,16.77,23.29
P001,2020-03-07,5.0,22.29,16.27,22.29
P001,2020-03-08,15.0,18.71,16.3,18.71
P001,2020-03-09,20.0,19.43,16.13,19.43
P001,2020-03-10,13.0,21.29,15.87,21.29
P001,2020-03-11,12.0,15.71,16.27,15.71
P001,2020-03-12,39.0,16.86,16.97,16.86
P001,2020-03-13,29.0,19.0,17.53,19.0
P001,2020-03-14,29.0,22.43,18.03,22.43
P001,2020-03-15,5.0,21.0,18.2,21.0
P001,2020-03-16,8.0,19.29,16.87,19.29
P001,2020-03-17,56.0,25.43,17.6,25.43
P001,2020-03-18,14.0,25.71,18.07,25.71
P001,2020-03-19,8.0,21.29,18.07,21.29
P001,2020-03-20,19.0,19.86,18.47,19.86
P001,2020-03-21,0.0,15.71,18.17,15.71
P001,2020-03-22,27.0,18.86,18.8,18.86
P001,2020-03-23,18.0,20.29,17.57,20.29
P001,2020-03-24,23.0,15.57,17.5,15.57
P001,2020-03-25,23.0,16.86,18.27,16.86
P001,2020-03-26,2.0,16.0,17.87,16.0
P001,2020-03-27,24.0,16.71,18.47,16.71
P001,2020-03-28,1.0,16.86,18.5,16.86
P001,2020-03-29,0.0,13.0,18.43,13.0
P001,2020-03-30,67.0,20.0,20.27,20.0
P001,2020-03-31,0.0,16.71,18.93,16.71
P001,2020-04-01,2.0,13.71,18.5,13.71
P001,2020-04-02,12.0,15.14,18.9,15.14
P001,2020-04-03,21.0,14.71,17.9,14.71
P001,2020-04-04,46.0,21.14,18.4,21.14
P001,2020-04-05,0.0,21.14,17.93,21.14
P001,2020-04-06,18.0,14.14,18.37,14.14
P001,2020-04-07,11.0,15.71,18.23,15.71
P001,2020-04-08,22.0,18.57,18.3,18.57
P001,2020-04-09,20.0,19.71,18.53,19.71
P001,2020-04-10,12.0,18.43,18.53,18.43
P001,2020-04-11,5.0,12.57,17.4,12.57
P001,2020-04-12,51.0,19.86,18.13,19.86
P001,2020-04-13,44.0,23.57,18.63,23.57
P001,2020-04-14,63.0,31.0,20.57,31.0
P001,2020-04-15,16.0,30.14,20.83,30.14
P001,2020-04-16,0.0,27.29,18.97,27.29
P001,2020-04-17,20.0,28.43,19.17,28.43
P001,2020-04-18,11.0,29.29,19.27,29.29
P001,2020-04-19,12.0,23.71,19.03,23.71
P001,2020-04-20,24.0,20.86,19.83,20.86
P001,2020-04-21,56.0,19.86,20.8,19.86
P001,2020-04-22,51.0,24.86,21.9,24.86
P001,2020-04-23,20.0,27.71,21.8,27.71
P001,2020-04-24,13.0,26.71,21.47,26.71
P001,2020-04-25,19.0,27.86,22.03,27.86
P001,2020-04-26,21.0,29.14,21.93,29.14
P001,2020-04-27,56.0,33.71,23.77,33.71
P001,2020-04-28,0.0,25.71,23.77,25.71
P001,2020-04-29,0.0,18.43,21.53,18.43
P001,2020-04-30,17.0,18.0,22.1,18.0
P001,2020-05-01,19.0,18.86,22.67,18.86
P001,2020-05-02,17.0,18.57,22.83,18.57
P001,2020-05-03,35.0,20.57,23.3,20.57
P001,2020-05-04,54.0,20.29,23.57,20.29
P001,2020-05-05,6.0,21.14,23.77,21.14
P001,2020-05-06,7.0,22.14,23.4,22.14
P001,2020-05-07,16.0,22.0,23.57,22.0
P001,2020-05-08,32.0,23.86,23.9,23.86
P001,2020-05-09,24.0,24.86,24.03,24.86
P001,2020-05-10,49.0,26.86,25.27,26.86
P001,2020-05-11,26.0,22.86,25.97,22.86
P001,2020-05-12,19.0,24.71,24.9,24.71
P001,2020-05-13,26.0,27.43,24.3,27.43
P001,2020-05-14,17.0,27.57,22.77,27.57
P001,2020-05-15,42.0,29.0,23.63,29.0
P001,2020-05-16,21.0,28.57,24.33,28.57
P001,2020-05-17,80.0,33.0,26.33,33.0
P001,2020-05-18,20.0,32.14,26.63,32.14
P001,2020-05-19,33.0,34.14,27.33,34.14
P001,2020-05-20,15.0,32.57,27.03,32.57
P001,2020-05-21,27.0,34.0,26.07,34.0
P001,2020-05-22,18.0,30.57,24.97,30.57
P001,2020-05-23,0.0,27.57,24.3,27.57
P001,2020-05-24,27.0,20.0,24.77,20.0
P001,2020-05-25,55.0,25.0,25.97,25.0
P001,2020-05-26,0.0,20.29,25.27,20.29
P001,2020-05-27,24.0,21.57,24.2,21.57
P001,2020-05-28,8.0,18.86,24.47,18.86
P001,2020-05-29,16.0,18.57,25.0,18.57
P001,2020-05-30,0.0,18.57,24.43,18.57
P001,2020-05-31,12.0,16.43,24.2,16.43
P001,2020-06-01,9.0,9.86,23.93,9.86
P001,2020-06-02,0.0,9.86,22.77,9.86
P001,2020-06-03,20.0,9.29,21.63,9.29
P001,2020-06-04,30.0,12.43,22.43,12.43
P001,2020-06-05,23.0,13.43,22.97,13.43
P001,2020-06-06,42.0,19.43,23.83,19.43
P001,2020-06-07,43.0,23.86,24.2,23.86
P001,2020-06-08,6.0,23.43,23.6,23.43
P001,2020-06-09,3.0,23.86,22.07,23.86
P001,2020-06-10,0.0,21.0,21.2,21.0
P001,2020-06-11,13.0,18.57,21.0,18.57
P001,2020-06-12,18.0,17.86,20.73,17.86
P001,2020-06-13,35.0,16.86,21.33,16.86
P001,2020-06-14,20.0,13.57,20.6,13.57
P001,2020-06-15,0.0,12.71,19.9,12.71
P001,2020-06-16,22.0,15.43,17.97,15.43
P001,2020-06-17,15.0,17.57,17.8,17.57
P001,2020-06-18,0.0,15.71,16.7,15.71
