product_id,total_quantity_sold,total_sales_value,product_name,category,brand,usage_frequency,current_stock,reorder_level,safety_stock,max_stock,stock_to_sales_ratio
P018,45027,651270528.0,Wheel Rim WR-24,Undercarriage,CAT,Medium,101420,89,64,438,2.252426321984587
P018,45027,651270528.0,Wheel Rim WR-24,Undercarriage,CAT,Medium,96607,59,42,284,2.1455349012814535
P018,45027,651270528.0,Wheel Rim WR-24,Undercarriage,CAT,Medium,114627,106,74,508,2.545739223132787
P018,45027,651270528.0,Wheel Rim WR-24,Undercarriage,CAT,Medium,111530,55,41,293,2.476958269482755
P018,45027,651270528.0,Wheel Rim WR-24,Undercarriage,CAT,Medium,112953,78,58,322,2.5085615297488175
P018,45027,651270528.0,Wheel Rim WR-24,Undercarriage,CAT,Medium,113318,98,74,564,2.5166677771115107
P014,45035,4813340800.0,Transmission Assembly TA-800,Transmission,Volvo,Low,111321,72,44,384,2.4718774286665925
P014,45035,4813340800.0,Transmission Assembly TA-800,Transmission,Volvo,Low,113386,33,20,164,2.5177306539358275
P014,45035,4813340800.0,Transmission Assembly TA-800,Transmission,Volvo,Low,114302,60,40,303,2.5380703896969026
P014,45035,4813340800.0,Transmission Assembly TA-800,Transmission,Volvo,Low,111315,71,50,377,2.471744198956367
P014,45035,4813340800.0,Transmission Assembly TA-800,Transmission,Volvo,Low,105994,106,60,519,2.353591650938159
P014,45035,4813340800.0,Transmission Assembly TA-800,Transmission,Volvo,Low,105345,32,27,171,2.339180637282114
P015,45222,6888215040.0,Engine Block EB-600,Engine,Komatsu,Low,100967,75,60,387,2.232696475166954
P015,45222,6888215040.0,Engine Block EB-600,Engine,Komatsu,Low,106048,43,34,210,2.3450532926451726
P015,45222,6888215040.0,Engine Block EB-600,Engine,Komatsu,Low,113851,91,57,370,2.5176020520985363
P015,45222,6888215040.0,Engine Block EB-600,Engine,Komatsu,Low,110035,56,43,226,2.4332183450532927
P015,45222,6888215040.0,Engine Block EB-600,Engine,Komatsu,Low,105135,28,24,131,2.324864004245721
P015,45222,6888215040.0,Engine Block EB-600,Engine,Komatsu,Low,96547,116,81,508,2.1349564371323693
P020,45340,61526380.0,Pivot Pin PP-12,Pins & Bushes,JCB,High,113260,105,84,454,2.498014997794442
P020,45340,61526380.0,Pivot Pin PP-12,Pins & Bushes,JCB,High,102636,64,46,273,2.26369651521835
P020,45340,61526380.0,Pivot Pin PP-12,Pins & Bushes,JCB,High,102706,54,28,270,2.265240405822673
P020,45340,61526380.0,Pivot Pin PP-12,Pins & Bushes,JCB,High,99570,61,53,355,2.1960741067490077
P020,45340,61526380.0,Pivot Pin PP-12,Pins & Bushes,JCB,High,104360,31,24,140,2.301720335244817
P020,45340,61526380.0,Pivot Pin PP-12,Pins & Bushes,JCB,High,102734,24,16,140,2.2658579620644024
P002,45342,38522563.2,Engine Oil Filter OF-90,Filters,JCB,High,110279,36,27,179,2.432160028229897
P002,45342,38522563.2,Engine Oil Filter OF-90,Filters,JCB,High,107584,105,73,511,2.372722861805831
P002,45342,38522563.2,Engine Oil Filter OF-90,Filters,JCB,High,121013,78,64,383,2.668894181994619
P002,45342,38522563.2,Engine Oil Filter OF-90,Filters,JCB,High,105885,102,76,465,2.335252084160381
P002,45342,38522563.2,Engine Oil Filter OF-90,Filters,JCB,High,108628,57,35,261,2.3957478717304044
P002,45342,38522563.2,Engine Oil Filter OF-90,Filters,JCB,High,101623,41,27,180,2.2412553482422477
P008,45376,31055334.4,Bucket Tooth BT-10,Attachments,Komatsu,High,99461,43,30,262,2.1919296544428772
P008,45376,31055334.4,Bucket Tooth BT-10,Attachments,Komatsu,High,109281,85,57,430,2.408343617771509
P008,45376,31055334.4,Bucket Tooth BT-10,Attachments,Komatsu,High,99151,33,17,147,2.1850978490832156
P008,45376,31055334.4,Bucket Tooth BT-10,Attachments,Komatsu,High,106667,116,69,572,2.350736071932299
P008,45376,31055334.4,Bucket Tooth BT-10,Attachments,Komatsu,High,101753,93,75,467,2.2424409379407617
P008,45376,31055334.4,Bucket Tooth BT-10,Attachments,Komatsu,High,108381,104,75,477,2.3885093441466854
P001,45389,1423399040.0,Hydraulic Pump HP-300,Hydraulic,CAT,Medium,103808,94,58,475,2.287073960651259
P001,45389,1423399040.0,Hydraulic Pump HP-300,Hydraulic,CAT,Medium,106714,77,53,455,2.3510982837251317
P001,45389,1423399040.0,Hydraulic Pump HP-300,Hydraulic,CAT,Medium,115928,59,46,340,2.5540990107735353
P001,45389,1423399040.0,Hydraulic Pump HP-300,Hydraulic,CAT,Medium,109389,70,43,349,2.410033267972416
P001,45389,1423399040.0,Hydraulic Pump HP-300,Hydraulic,CAT,Medium,108772,71,65,417,2.3964396659983698
P001,45389,1423399040.0,Hydraulic Pump HP-300,Hydraulic,CAT,Medium,99373,62,44,311,2.189363061534733
P004,45575,2321772800.0,Track Chain TC-45,Undercarriage,Volvo,Low,110145,57,35,267,2.4167855183763027
P004,45575,2321772800.0,Track Chain TC-45,Undercarriage,Volvo,Low,104859,55,37,265,2.3008008776741633
P004,45575,2321772800.0,Track Chain TC-45,Undercarriage,Volvo,Low,103984,58,41,339,2.2816017553483268
P004,45575,2321772800.0,Track Chain TC-45,Undercarriage,Volvo,Low,109943,62,49,363,2.4123532638507954
P004,45575,2321772800.0,Track Chain TC-45,Undercarriage,Volvo,Low,99909,104,77,430,2.192188699945145
P004,45575,2321772800.0,Track Chain TC-45,Undercarriage,Volvo,Low,110042,44,33,187,2.4145255074053757
P017,45578,27966660.8,Fan Belt FB-30,Belts,Tata Hitachi,High,117058,26,23,172,2.5683004958532627
P017,45578,27966660.8,Fan Belt FB-30,Belts,Tata Hitachi,High,106266,59,45,300,2.3315195927859933
P017,45578,27966660.8,Fan Belt FB-30,Belts,Tata Hitachi,High,112971,93,72,479,2.478630040809162
P017,45578,27966660.8,Fan Belt FB-30,Belts,Tata Hitachi,High,104847,63,56,331,2.3003861512133046
P017,45578,27966660.8,Fan Belt FB-30,Belts,Tata Hitachi,High,109921,99,82,542,2.4117117907762515
P017,45578,27966660.8,Fan Belt FB-30,Belts,Tata Hitachi,High,108003,72,56,344,2.369630084689982
P025,45598,422374274.0,Cabin Glass CG-20,Cabin,JCB,Low,110083,68,45,300,2.4142067634545374
P025,45598,422374274.0,Cabin Glass CG-20,Cabin,JCB,Low,109936,54,49,310,2.4109829378481513
P025,45598,422374274.0,Cabin Glass CG-20,Cabin,JCB,Low,113613,26,21,133,2.4916224395806834
P025,45598,422374274.0,Cabin Glass CG-20,Cabin,JCB,Low,110058,112,85,564,2.4136584937935877
P025,45598,422374274.0,Cabin Glass CG-20,Cabin,JCB,Low,97512,64,44,328,2.1385148471424187
P025,45598,422374274.0,Cabin Glass CG-20,Cabin,JCB,Low,110579,113,84,499,2.425084433527786
P027,45678,25872019.2,O-Ring Set OR-50,Seals,Generic,High,104746,46,29,211,2.2931389290249133
P027,45678,25872019.2,O-Ring Set OR-50,Seals,Generic,High,97973,33,19,133,2.144861859100661
P027,45678,25872019.2,O-Ring Set OR-50,Seals,Generic,High,100477,79,54,385,2.1996803712947153
P027,45678,25872019.2,O-Ring Set OR-50,Seals,Generic,High,108337,51,33,294,2.371754455098735
P027,45678,25872019.2,O-Ring Set OR-50,Seals,Generic,High,112683,70,58,376,2.466898725863654
P027,45678,25872019.2,O-Ring Set OR-50,Seals,Generic,High,106775,31,26,193,2.337558562108674
P003,45684,67383900.0,Air Filter AF-120,Filters,Komatsu,High,106658,95,72,422,2.3346904824446195
P003,45684,67383900.0,Air Filter AF-120,Filters,Komatsu,High,107840,62,39,365,2.3605638735662375
P003,45684,67383900.0,Air Filter AF-120,Filters,Komatsu,High,102501,82,48,475,2.2436958234830575
P003,45684,67383900.0,Air Filter AF-120,Filters,Komatsu,High,110093,80,52,386,2.4098809211102354
P003,45684,67383900.0,Air Filter AF-120,Filters,Komatsu,High,118139,72,44,359,2.586003852552316
P003,45684,67383900.0,Air Filter AF-120,Filters,Komatsu,High,104884,44,31,190,2.2958585062603976
P022,45819,991156608.0,Control Valve CV-75,Hydraulic,CAT,Medium,99690,105,65,513,2.175734957113861
P022,45819,991156608.0,Control Valve CV-75,Hydraulic,CAT,Medium,103495,54,37,254,2.2587791091032106
P022,45819,991156608.0,Control Valve CV-75,Hydraulic,CAT,Medium,111353,119,60,487,2.4302800148410046
P022,45819,991156608.0,Control Valve CV-75,Hydraulic,CAT,Medium,110752,68,41,315,2.417163185578035
P022,45819,991156608.0,Control Valve CV-75,Hydraulic,CAT,Medium,112997,46,33,226,2.466160326502106
P022,45819,991156608.0,Control Valve CV-75,Hydraulic,CAT,Medium,109061,44,31,227,2.380257098583557
P030,45897,1286584704.0,Fuel Pump FP-350,Engine,Volvo,Medium,105447,46,28,246,2.2974704229034577
P030,45897,1286584704.0,Fuel Pump FP-350,Engine,Volvo,Medium,104611,53,40,268,2.2792557247750396
P030,45897,1286584704.0,Fuel Pump FP-350,Engine,Volvo,Medium,103131,64,53,336,2.2470096084711417
P030,45897,1286584704.0,Fuel Pump FP-350,Engine,Volvo,Medium,112388,52,35,283,2.4487003507854546
P030,45897,1286584704.0,Fuel Pump FP-350,Engine,Volvo,Medium,103465,73,43,365,2.2542867725559406
P030,45897,1286584704.0,Fuel Pump FP-350,Engine,Volvo,Medium,103248,46,40,231,2.249558794692464
P019,45971,2341946624.0,Swing Motor SWM-350,Hydraulic,Volvo,Medium,105387,85,46,378,2.29246699005895
P019,45971,2341946624.0,Swing Motor SWM-350,Hydraulic,Volvo,Medium,88853,30,22,141,1.9328054643144592
P019,45971,2341946624.0,Swing Motor SWM-350,Hydraulic,Volvo,Medium,109388,36,27,207,2.379500119640643
P019,45971,2341946624.0,Swing Motor SWM-350,Hydraulic,Volvo,Medium,118200,37,27,208,2.571186182593374
P019,45971,2341946624.0,Swing Motor SWM-350,Hydraulic,Volvo,Medium,100008,81,49,350,2.1754584411911857
P019,45971,2341946624.0,Swing Motor SWM-350,Hydraulic,Volvo,Medium,100413,86,66,566,2.1842683430858583
P012,45972,144168192.0,Brake Pad BP-40,Brakes,JCB,Medium,119923,98,67,489,2.6086095884451406
P012,45972,144168192.0,Brake Pad BP-40,Brakes,JCB,Medium,112603,68,52,308,2.4493822326633605
P012,45972,144168192.0,Brake Pad BP-40,Brakes,JCB,Medium,109625,67,51,368,2.3846036718002264
P012,45972,144168192.0,Brake Pad BP-40,Brakes,JCB,Medium,106861,32,24,156,2.3244801183328985
P012,45972,144168192.0,Brake Pad BP-40,Brakes,JCB,Medium,106209,42,28,241,2.3102975724353954
P012,45972,144168192.0,Brake Pad BP-40,Brakes,JCB,Medium,107886,54,32,274,2.346776298616549
P028,46164,122565420.0,Light Assembly LA-18,Electrical,Generic,Medium,101538,78,57,368,2.1995061086560956
P028,46164,122565420.0,Light Assembly LA-18,Electrical,Generic,Medium,104851,76,75,437,2.2712719868295643
P028,46164,122565420.0,Light Assembly LA-18,Electrical,Generic,Medium,106744,81,58,353,2.3122779655142534
P028,46164,122565420.0,Light Assembly LA-18,Electrical,Generic,Medium,105401,100,56,522,2.283186032406204
P028,46164,122565420.0,Light Assembly LA-18,Electrical,Generic,Medium,103464,43,29,198,2.2412269300753835
P028,46164,122565420.0,Light Assembly LA-18,Electrical,Generic,Medium,102248,47,37,199,2.2148860584004852
P016,46306,557339016.0,Radiator RD-250,Cooling,JCB,Medium,104189,84,66,434,2.2500107977367945
P016,46306,557339016.0,Radiator RD-250,Cooling,JCB,Medium,103006,74,47,371,2.2244633524813198
P016,46306,557339016.0,Radiator RD-250,Cooling,JCB,Medium,97829,49,32,277,2.1126635857124345
P016,46306,557339016.0,Radiator RD-250,Cooling,JCB,Medium,110893,33,25,164,2.3947868526756793
P016,46306,557339016.0,Radiator RD-250,Cooling,JCB,Medium,112003,71,45,309,2.4187578283591757
P016,46306,557339016.0,Radiator RD-250,Cooling,JCB,Medium,106040,35,24,177,2.289984019349544
P021,46364,2741781504.0,Boom Cylinder BC-400,Hydraulic,Komatsu,Medium,105385,59,32,287,2.2729919765335174
P021,46364,2741781504.0,Boom Cylinder BC-400,Hydraulic,Komatsu,Medium,115902,59,40,257,2.499827452333707
P021,46364,2741781504.0,Boom Cylinder BC-400,Hydraulic,Komatsu,Medium,100829,102,69,485,2.1747260805797604
P021,46364,2741781504.0,Boom Cylinder BC-400,Hydraulic,Komatsu,Medium,108168,110,60,554,2.3330169959451297
P021,46364,2741781504.0,Boom Cylinder BC-400,Hydraulic,Komatsu,Medium,100867,71,40,319,2.175545681994651
P021,46364,2741781504.0,Boom Cylinder BC-400,Hydraulic,Komatsu,Medium,99466,56,36,263,2.145328271935122
P007,46468,79506748.0,Hydraulic Hose HH-60,Hydraulic,JCB,High,112543,93,61,548,2.4219462856159075
P007,46468,79506748.0,Hydraulic Hose HH-60,Hydraulic,JCB,High,108692,77,46,434,2.3390720495825086
P007,46468,79506748.0,Hydraulic Hose HH-60,Hydraulic,JCB,High,119439,79,59,383,2.5703494878195747
P007,46468,79506748.0,Hydraulic Hose HH-60,Hydraulic,JCB,High,110464,72,58,459,2.3772058190582768
P007,46468,79506748.0,Hydraulic Hose HH-60,Hydraulic,JCB,High,106222,50,38,267,2.2859171903245246
P007,46468,79506748.0,Hydraulic Hose HH-60,Hydraulic,JCB,High,99463,93,62,438,2.140462253593871
P011,46612,1646708736.0,Hydraulic Cylinder HC-200,Hydraulic,Tata Hitachi,Medium,108691,31,20,138,2.3318244228953917
P011,46612,1646708736.0,Hydraulic Cylinder HC-200,Hydraulic,Tata Hitachi,Medium,112300,85,64,369,2.4092508366944134
P011,46612,1646708736.0,Hydraulic Cylinder HC-200,Hydraulic,Tata Hitachi,Medium,110667,50,32,233,2.374216939843817
P011,46612,1646708736.0,Hydraulic Cylinder HC-200,Hydraulic,Tata Hitachi,Medium,107771,46,41,244,2.3120870162189995
P011,46612,1646708736.0,Hydraulic Cylinder HC-200,Hydraulic,Tata Hitachi,Medium,109669,113,68,582,2.352806144340513
P011,46612,1646708736.0,Hydraulic Cylinder HC-200,Hydraulic,Tata Hitachi,Medium,101291,66,50,410,2.173067021367888
P006,46731,669935616.0,Alternator ALT-500,Electrical,CAT,Medium,109564,84,62,472,2.344567845755494
P006,46731,669935616.0,Alternator ALT-500,Electrical,CAT,Medium,110681,41,31,181,2.3684706083755964
P006,46731,669935616.0,Alternator ALT-500,Electrical,CAT,Medium,111016,69,43,356,2.3756392972544993
P006,46731,669935616.0,Alternator ALT-500,Electrical,CAT,Medium,99358,43,26,234,2.1261689242686868
P006,46731,669935616.0,Alternator ALT-500,Electrical,CAT,Medium,107359,62,43,291,2.2973828935824185
P006,46731,669935616.0,Alternator ALT-500,Electrical,CAT,Medium,109176,33,28,181,2.3362650060987353
P010,46964,2097975808.0,Turbocharger TB-900,Engine,CAT,Medium,115149,43,27,245,2.4518567413337875
P010,46964,2097975808.0,Turbocharger TB-900,Engine,CAT,Medium,100989,61,46,294,2.1503492036453453
P010,46964,2097975808.0,Turbocharger TB-900,Engine,CAT,Medium,114565,48,45,267,2.43942168469466
P010,46964,2097975808.0,Turbocharger TB-900,Engine,CAT,Medium,106895,43,37,220,2.276105101780087
P010,46964,2097975808.0,Turbocharger TB-900,Engine,CAT,Medium,110225,62,46,307,2.3470104761093604
P010,46964,2097975808.0,Turbocharger TB-900,Engine,CAT,Medium,113425,44,29,191,2.415147772762116
P029,47066,219374626.0,Pressure Sensor PS-90,Sensors,CAT,Medium,108622,33,27,174,2.307865550503548
P029,47066,219374626.0,Pressure Sensor PS-90,Sensors,CAT,Medium,109429,40,28,225,2.325011685717928
P029,47066,219374626.0,Pressure Sensor PS-90,Sensors,CAT,Medium,105010,57,40,299,2.2311222538562867
P029,47066,219374626.0,Pressure Sensor PS-90,Sensors,CAT,Medium,97606,49,40,267,2.0738112437853227
P029,47066,219374626.0,Pressure Sensor PS-90,Sensors,CAT,Medium,101572,33,27,173,2.1580758934262523
P029,47066,219374626.0,Pressure Sensor PS-90,Sensors,CAT,Medium,112739,76,55,324,2.395338460884715
