product_id,total_quantity_sold,total_sales_value,product_name,category,unit_cost,current_stock,cost_of_goods_sold,inventory_turnover_ratio
P008,45376,31055334.4,Bucket Tooth BT-10,Attachments,340,106667,15427840,0.42539867062915426
P001,45389,1423399040.0,Hydraulic Pump HP-300,Hydraulic,18950,106714,860121550,0.425333133422044
P011,46612,1646708736.0,Hydraulic Cylinder HC-200,Hydraulic,21500,109669,1002158000,0.4250243915782947
P014,45035,4813340800.0,Transmission Assembly TA-800,Transmission,68500,105994,3084897500,0.4248825405211616
P003,45684,67383900.0,Air Filter AF-120,Filters,820,107840,37460880,0.42362759643916914
P013,44081,75422591.0,Seal Kit SK-15,Seals,950,104221,41876950,0.42295698563629214
P006,46731,669935616.0,Alternator ALT-500,Electrical,8650,110681,404223150,0.42221338802504493
P017,45578,27966660.8,Fan Belt FB-30,Belts,320,108003,14584960,0.4220067961075155
P027,45678,25872019.2,O-Ring Set OR-50,Seals,260,108337,11876280,0.4216288064096292
P002,45342,38522563.2,Engine Oil Filter OF-90,Filters,450,107584,20403900,0.4214567221891731
P011,46612,1646708736.0,Hydraulic Cylinder HC-200,Hydraulic,21500,110667,1002158000,0.4211915024352336
P006,46731,669935616.0,Alternator ALT-500,Electrical,8650,111016,404223150,0.42093932406139656
P007,46468,79506748.0,Hydraulic Hose HH-60,Hydraulic,980,110464,45538640,0.4206619351100811
P019,45971,2341946624.0,Swing Motor SWM-350,Hydraulic,31200,109388,1434295200,0.4202563352470106
P022,45819,991156608.0,Control Valve CV-75,Hydraulic,12800,109061,586483200,0.4201226836357635
P023,44437,736587712.0,Idler Wheel IW-55,Undercarriage,9200,105798,408820400,0.42001739163311214
P012,45972,144168192.0,Brake Pad BP-40,Brakes,1800,109625,82749600,0.4193568985176739
P008,45376,31055334.4,Bucket Tooth BT-10,Attachments,340,108381,15427840,0.4186711693008922
P013,44081,75422591.0,Seal Kit SK-15,Seals,950,105381,41876950,0.4183012117933973
P016,46306,557339016.0,Radiator RD-250,Cooling,7800,110893,361186800,0.4175736971675399
P029,47066,219374626.0,Pressure Sensor PS-90,Sensors,2750,112739,129431500,0.41747753661111064
P002,45342,38522563.2,Engine Oil Filter OF-90,Filters,450,108628,20403900,0.41740619361490594
P001,45389,1423399040.0,Hydraulic Pump HP-300,Hydraulic,18950,108772,860121550,0.4172856985253558
P005,45026,487001216.0,Fuel Injector FI-220,Engine,6350,108136,285915100,0.41638307316712286
P008,45376,31055334.4,Bucket Tooth BT-10,Attachments,340,109281,15427840,0.41522314034461616
P011,46612,1646708736.0,Hydraulic Cylinder HC-200,Hydraulic,21500,112300,1002158000,0.41506678539626
P005,45026,487001216.0,Fuel Injector FI-220,Engine,6350,108488,285915100,0.41503207728043656
P003,45684,67383900.0,Air Filter AF-120,Filters,820,110093,37460880,0.41495826255983576
P001,45389,1423399040.0,Hydraulic Pump HP-300,Hydraulic,18950,109389,860121550,0.41493203155710356
P025,45598,422374274.0,Cabin Glass CG-20,Cabin,5600,109936,255348800,0.4147685926357153
P017,45578,27966660.8,Fan Belt FB-30,Belts,320,109921,14584960,0.4146432437841723
P004,45575,2321772800.0,Track Chain TC-45,Undercarriage,32500,109943,1481187500,0.4145329852741875
P025,45598,422374274.0,Cabin Glass CG-20,Cabin,5600,110058,255348800,0.41430881898635263
P023,44437,736587712.0,Idler Wheel IW-55,Undercarriage,9200,107267,408820400,0.4142653378951588
P025,45598,422374274.0,Cabin Glass CG-20,Cabin,5600,110083,255348800,0.4142147288863857
P004,45575,2321772800.0,Track Chain TC-45,Undercarriage,32500,110042,1481187500,0.4141600479816797
P010,46964,2097975808.0,Turbocharger TB-900,Engine,28900,113425,1357259600,0.41405333921093235
P013,44081,75422591.0,Seal Kit SK-15,Seals,950,106476,41876950,0.41399939892557946
P026,44844,16403935.2,Grease Cartridge GC-5,Lubricants,180,108348,8071920,0.41388858123823236
P004,45575,2321772800.0,Track Chain TC-45,Undercarriage,32500,110145,1481187500,0.4137727540968723
P022,45819,991156608.0,Control Valve CV-75,Hydraulic,12800,110752,586483200,0.41370810459404794
P016,46306,557339016.0,Radiator RD-250,Cooling,7800,112003,361186800,0.4134353544101497
P007,46468,79506748.0,Hydraulic Hose HH-60,Hydraulic,980,112543,45538640,0.4128910727455284
P025,45598,422374274.0,Cabin Glass CG-20,Cabin,5600,110579,255348800,0.4123567766031525
P026,44844,16403935.2,Grease Cartridge GC-5,Lubricants,180,108895,8071920,0.4118095413012535
P022,45819,991156608.0,Control Valve CV-75,Hydraulic,12800,111353,586483200,0.4114752184494356
P002,45342,38522563.2,Engine Oil Filter OF-90,Filters,450,110279,20403900,0.41115715594084096
P015,45222,6888215040.0,Engine Block EB-600,Engine,95500,110035,4318701000,0.41097832507838417
P024,44022,580386048.0,Track Roller TR-60,Undercarriage,7400,107215,325762800,0.4105955323415567
P023,44437,736587712.0,Idler Wheel IW-55,Undercarriage,9200,108328,408820400,0.4102078871575216
P010,46964,2097975808.0,Turbocharger TB-900,Engine,28900,114565,1357259600,0.4099332256797451
P030,45897,1286584704.0,Fuel Pump FP-350,Engine,16400,112388,752710800,0.4083798982097733
P024,44022,580386048.0,Track Roller TR-60,Undercarriage,7400,107810,325762800,0.4083294685094147
P012,45972,144168192.0,Brake Pad BP-40,Brakes,1800,112603,82749600,0.4082662096036518
P010,46964,2097975808.0,Turbocharger TB-900,Engine,28900,115149,1357259600,0.4078541715516418
P009,44946,857210112.0,Starter Motor SM-700,Electrical,11450,110547,514631700,0.40657819750875196
P013,44081,75422591.0,Seal Kit SK-15,Seals,950,108520,41876950,0.4062016218208625
P005,45026,487001216.0,Fuel Injector FI-220,Engine,6350,110862,285915100,0.4061445761397052
P022,45819,991156608.0,Control Valve CV-75,Hydraulic,12800,112997,586483200,0.4054886412913617
P027,45678,25872019.2,O-Ring Set OR-50,Seals,260,112683,11876280,0.405367269242033
P014,45035,4813340800.0,Transmission Assembly TA-800,Transmission,68500,111315,3084897500,0.4045726092620042
P014,45035,4813340800.0,Transmission Assembly TA-800,Transmission,68500,111321,3084897500,0.4045508035321278
P009,44946,857210112.0,Starter Motor SM-700,Electrical,11450,111320,514631700,0.40375494071146245
P018,45027,651270528.0,Wheel Rim WR-24,Undercarriage,8200,111530,369221400,0.40372097193580203
P017,45578,27966660.8,Fan Belt FB-30,Belts,320,112971,14584960,0.4034486726682069
P009,44946,857210112.0,Starter Motor SM-700,Electrical,11450,111456,514631700,0.4032622739018088
P025,45598,422374274.0,Cabin Glass CG-20,Cabin,5600,113613,255348800,0.40134491651483545
P020,45340,61526380.0,Pivot Pin PP-12,Pins & Bushes,750,113260,34005000,0.4003178527282359
P021,46364,2741781504.0,Boom Cylinder BC-400,Hydraulic,35600,115902,1650558400,0.40002760953219096
P005,45026,487001216.0,Fuel Injector FI-220,Engine,6350,112865,285915100,0.3989367828822044
P018,45027,651270528.0,Wheel Rim WR-24,Undercarriage,8200,112953,369221400,0.3986348304161908
P024,44022,580386048.0,Track Roller TR-60,Undercarriage,7400,110555,325762800,0.3981909456831441
P018,45027,651270528.0,Wheel Rim WR-24,Undercarriage,8200,113318,369221400,0.39735081805185407
P023,44437,736587712.0,Idler Wheel IW-55,Undercarriage,9200,111851,408820400,0.39728746278531263
P015,45222,6888215040.0,Engine Block EB-600,Engine,95500,113851,4318701000,0.39720336228930797
P014,45035,4813340800.0,Transmission Assembly TA-800,Transmission,68500,113386,3084897500,0.39718307374808176
P013,44081,75422591.0,Seal Kit SK-15,Seals,950,111295,41876950,0.3960734983602138
P005,45026,487001216.0,Fuel Injector FI-220,Engine,6350,114267,285915100,0.3940420243814925
P014,45035,4813340800.0,Transmission Assembly TA-800,Transmission,68500,114302,3084897500,0.3940001049850396
P018,45027,651270528.0,Wheel Rim WR-24,Undercarriage,8200,114627,369221400,0.3928132115470177
P024,44022,580386048.0,Track Roller TR-60,Undercarriage,7400,112198,325762800,0.3923599351147079
P001,45389,1423399040.0,Hydraulic Pump HP-300,Hydraulic,18950,115928,860121550,0.39152749982747914
P023,44437,736587712.0,Idler Wheel IW-55,Undercarriage,9200,113718,408820400,0.39076487451414904
P017,45578,27966660.8,Fan Belt FB-30,Belts,320,117058,14584960,0.38936253822891215
P007,46468,79506748.0,Hydraulic Hose HH-60,Hydraulic,980,119439,45538640,0.38905215214460936
P019,45971,2341946624.0,Swing Motor SWM-350,Hydraulic,31200,118200,1434295200,0.38892554991539763
P023,44437,736587712.0,Idler Wheel IW-55,Undercarriage,9200,114558,408820400,0.38789957925243107
P003,45684,67383900.0,Air Filter AF-120,Filters,820,118139,37460880,0.3866970263841746
P012,45972,144168192.0,Brake Pad BP-40,Brakes,1800,119923,82749600,0.38334598033738315
P024,44022,580386048.0,Track Roller TR-60,Undercarriage,7400,116412,325762800,0.3781568910421606
P002,45342,38522563.2,Engine Oil Filter OF-90,Filters,450,121013,20403900,0.37468701709733665
